Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0
0,0,-0.0044,0.129226474436509,-5.83442723137583e-05
0.01,0,-0.0048,0.129228765966939,-4.01421903659877e-05
0.02,0,-0.0112,0.129227563569648,-4.96930733165135e-05
0.03,0,-0.0138,0.12922525596572,-6.80228211421334e-05
0.04,0,-0.0041,0.129226537726694,-5.78415460192609e-05
0.05,0,0.0105,0.129235025315622,9.57714836544093e-06
0.06,0,0.0178,0.129236301195801,1.97117518437422e-05
0.07,0.0002,0.012,0.129242397398398,6.81353347037167e-05
0.08,0.0004,-0.0006,0.12924848018061,0.000116452437065758
0.09,0.0005,-0.0081,0.129241394268936,6.01672311777387e-05
0.1,0.0007,-0.0072,0.129242694405003,7.04945316916752e-05
0.11,0.0014,-0.005,0.129251279639747,0.00013868930100055
0.12,0.0022,-0.0074,0.129240814688638,5.55634841124785e-05
0.13,0.0034,-0.0121,0.129246967242597,0.000104434770338848
0.14,0.0048,-0.0088,0.129239932343595,4.85548052547673e-05
0.15,0.0068,0.0054,0.129244929708484,8.82501098465396e-05
0.16,0.0094,0.0251,0.129235611272102,1.42315319316023e-05
0.17,0.0125,0.0421,0.129235883506695,1.63939526634627e-05
0.18,0.0162,0.0538,0.12924925531111,0.000122609506505094
0.19,0.0202,0.0652,0.129256680405223,0.00018158911961276
0.2,0.0243,0.0799,0.129252169843965,0.000145760440128626
0.21,0.0287,0.0973,0.129254922548422,0.000167625951860057
0.22,0.0332,0.1147,0.129255320027164,0.000170783240215033
0.23,0.0378,0.1332,0.129254583165849,0.00016493013855224
0.24,0.0426,0.1532,0.129255020778466,0.000168406221399579
0.25,0.0473,0.1763,0.129253101245066,0.000153158820309455
0.26,0.0523,0.2019,0.129251199072454,0.000138049332756064
0.27,0.0575,0.229,0.129252879031385,0.000151393714460985
0.28,0.0626,0.2582,0.129258116166715,0.000192993798133448
0.29,0.0676,0.2888,0.129250260521245,0.000130594163105438
0.3,0.0728,0.3183,0.129249563363316,0.000125056448334311
0.31,0.0782,0.3457,0.129246630175752,0.000101757360267332
0.32,0.0836,0.3693,0.129235480652946,1.31939946261045e-05
0.33,0.0892,0.3917,0.129237551022304,2.96394102615684e-05
0.34,0.0948,0.4164,0.12923970685879,4.67637256280453e-05
0.35,0.1008,0.4446,0.12922408050536,-7.73597252407223e-05
0.36,0.107,0.4709,0.129226368224495,-5.91879350463815e-05
0.37,0.1131,0.4969,0.129225098780346,-6.92713745796657e-05
0.38,0.1195,0.5236,0.129202647133338,-0.000247608265277979
0.39,0.126,0.5554,0.129202970694724,-0.000245038179018673
0.4,0.1326,0.5916,0.129194892179076,-0.000309206679565891
0.41,0.1394,0.6273,0.129213112431656,-0.000164480993195445
0.42,0.1464,0.6593,0.129210939589879,-0.000181740197057317
0.43,0.1535,0.6894,0.129207548658336,-0.000208674837454868
0.44,0.1607,0.723,0.129208974551892,-0.000197348771387776
0.45,0.1681,0.7629,0.129216370241559,-0.000138603698069752
0.46,0.1759,0.803,0.129219019287739,-0.000117561883174702
0.47,0.1837,0.8375,0.129221648107132,-9.66807103943042e-05
0.48,0.1916,0.868,0.129239556749641,4.55713729272259e-05
0.49,0.1997,0.9002,0.129245402934843,9.20090680112913e-05
0.5,0.2079,0.9369,0.129242839000208,7.16430873047749e-05
0.51,0.2162,0.9759,0.129234273373998,3.60430925944277e-06
0.52,0.2249,1.0138,0.129236357731106,2.01608246224155e-05
0.53,0.2337,1.05,0.129237171786866,2.66270557051945e-05
0.54,0.2428,1.0889,0.129227240323133,-5.22606844425269e-05
0.55,0.2519,1.1315,0.129218545294686,-0.000121326890600018
0.56,0.2613,1.1766,0.129234920462171,8.74427403517389e-06
0.57,0.2706,1.2195,0.129229767661309,-3.21855273895687e-05
0.58,0.28,1.2606,0.129230519105846,-2.6216647796803e-05
0.59,0.2898,1.3034,0.129228902616772,-3.9056753028758e-05
0.6,0.3,1.3479,0.129227278865694,-5.19545332636217e-05
0.61,0.3101,1.3919,0.129223327715948,-8.33392716429557e-05
0.62,0.3204,1.4325,0.129236087913022,1.80175983525038e-05
0.63,0.3308,1.4713,0.129232084497845,-1.3782409031425e-05
0.64,0.3412,1.5114,0.129231726073164,-1.66294525640292e-05
0.65,0.3519,1.5536,0.129231417122275,-1.90835149021224e-05
0.66,0.3629,1.5953,0.129228792737955,-3.99295427584088e-05
0.67,0.3739,1.6382,0.129239332079472,4.37867644238779e-05
0.68,0.3851,1.6851,0.129245078948838,8.94355641252977e-05
0.69,0.3963,1.7344,0.129241313018848,5.95218419298628e-05
0.7,0.4076,1.7847,0.129250654316837,0.000133722189142547
0.71,0.4195,1.833,0.129257603017278,0.000188917699490306
0.72,0.4315,1.8795,0.12926686998868,0.000262528142635533
0.73,0.4437,1.9256,0.129272464502966,0.000306967249489184
0.74,0.4558,1.9724,0.129267221467272,0.000265320052192
0.75,0.4683,2.0197,0.129265507667338,0.00025170678190559
0.76,0.4808,2.0662,0.129262483878965,0.000227687870735994
0.77,0.4937,2.1107,0.12924985683189,0.000127387548724601
0.78,0.5069,2.1538,0.129253878747744,0.000159334744313664
0.79,0.5203,2.2002,0.129264976054179,0.000247484007625608
0.8,0.534,2.2494,0.129265093224941,0.000248414732585022
0.81,0.5477,2.3034,0.129265096242652,0.000248438703237148
0.82,0.5615,2.3589,0.129272226890536,0.000305079812037529
0.83,0.5754,2.4121,0.129284054825338,0.00039903339950983
0.84,0.5893,2.4643,0.129288525609364,0.000434546581714808
0.85,0.6034,2.5146,0.12928810057811,0.000431170389796358
0.86,0.6174,2.5637,0.12929344370357,0.000473612998535993
0.87,0.6317,2.6113,0.12929987251394,0.000524679765485982
0.88,0.6462,2.6567,0.129299152737744,0.000518962271238966
0.89,0.661,2.7037,0.12930918600199,0.000598660989631603
0.9,0.6759,2.7524,0.12933091274927,0.000771247414335088
0.91,0.6909,2.8026,0.129351227229513,0.000932616888185037
0.92,0.7062,2.8544,0.129362859545312,0.00102501959647954
0.93,0.7217,2.9067,0.129371866797243,0.0010965700954557
0.94,0.7374,2.9589,0.129384379975238,0.00119597089962036
0.948,0.75,3.0017,0.129390743225638,0.00124651878269263
