Tempo,Spostamento,Forza,Voltaggio,R_sensore
2.028,-0.0777,-0.0991,0.119942783114447,7373.4452968767
2.038,-0.0748,-0.0251,0.119847426078799,7367.43929191349
2.048,-0.0374,0.065,0.119535447983114,7347.79118109047
2.058,0.0269,0.1248,0.11893826608818,7310.1881868349
2.068,0.1081,0.1389,0.118079370403377,7256.12188495168
2.078,0.1962,0.106,0.116993449484053,7187.79188234086
2.088,0.2846,0.0541,0.11556156163227,7097.73885516847
2.098,0.3709,0.0198,0.113470898217636,6966.34947960798
2.108,0.4536,0.0332,0.111050518105066,6814.37915341414
2.118,0.5323,0.1146,0.108357328095685,6645.45646709113
2.128,0.6068,0.2662,0.106012588649156,6498.54074429836
2.138,0.678,0.4783,0.103320449437148,6330.03130204459
2.148,0.7467,0.7345,0.10080307326454,6172.62837799682
2.158,0.8135,1.0174,0.0975679844746717,5970.58669038269
2.168,0.879,1.3086,0.0944297586772983,5774.84904090398
2.178,0.9435,1.5946,0.0916886236866792,5604.08356298378
2.188,1.0071,1.869,0.0883643745309568,5397.24734909575
2.198,1.0699,2.1296,0.0848170438086304,5176.83947258512
2.208,1.1317,2.3788,0.0812943709662289,4958.27828075564
2.218,1.1932,2.6174,0.0777130115384616,4736.39662136507
2.228,1.2543,2.8505,0.0746148268761726,4544.71016500318
2.238,1.3155,3.0758,0.0709100795497186,4315.81168293482
2.248,1.3766,3.2919,0.0678704953564728,4128.26722975788
2.258,1.4379,3.499,0.0652525906660413,3966.92587806729
2.268,1.4987,3.6985,0.0622632681050657,3782.90327041218
2.278,1.5592,3.8942,0.0604183698405253,3669.44253770181
2.288,1.6194,4.0901,0.059354619934334,3604.06072699424
2.298,1.6793,4.2852,0.0578287382270169,3510.32381299577
2.308,1.7394,4.4753,0.0571032167448405,3465.77437778713
2.318,1.7996,4.661,0.055935048358349,3394.072422518
2.328,1.8601,4.8439,0.0554035611163227,3361.46104951879
2.338,1.9204,5.0293,0.0550195995778612,3337.90602525933
2.348,1.9804,5.2158,0.0539861498592871,3274.5247887499
2.358,2.0401,5.3993,0.053590997467167,3250.29718163573
2.368,2.0999,5.5791,0.0530359795028143,3216.27442304405
2.378,2.1597,5.7571,0.0522562504221388,3168.4897036107
2.388,2.2198,5.9392,0.051641687054409,3130.83757006686
2.398,2.28,6.1278,0.0511392659943715,3100.06294840585
2.408,2.34,6.3172,0.050788270825516,3078.56727119577
2.418,2.4001,6.5048,0.0506537293621013,3070.32847929467
2.428,2.46,6.6889,0.0500486378048781,3033.28058051968
2.438,2.5201,6.8731,0.0499787568949343,3029.00257031524
2.448,2.5802,7.0619,0.0502336021106942,3044.60441600527
2.458,2.64,7.2541,0.0503289493902439,3050.44207235007
2.468,2.6995,7.4471,0.0504317815196998,3056.73824222091
2.478,2.7591,7.6378,0.0499278030956848,3025.88332713059
2.488,2.8193,7.8303,0.0495907243433396,3005.249965121
2.498,2.8796,8.0259,0.0494030907129456,2993.76569845152
2.508,2.9399,8.2228,0.0494519475140713,2996.75593427917
2.518,3.0001,8.422,0.0498322339118199,3020.03303321572
2.52,3.0122,8.4621,0.0497580487804878,3015.49192569646
2.522,3.024,8.5021,0.0494784593339587,2998.37859067079
2.532,3.0666,8.6908,0.0489380530956848,2965.30645064643
2.542,3.0634,8.7959,0.0488767657598499,2961.55620335823
2.552,3.0255,8.8105,0.0487388256097561,2953.11581593704
2.562,2.9606,8.7197,0.0482093875703565,2920.72452231792
2.572,2.8788,8.5158,0.0477932967636022,2895.27273159063
2.582,2.7905,8.2104,0.0477971530487805,2895.5085964344
2.592,2.7018,7.8217,0.0477841204971857,2894.71147824738
2.602,2.6156,7.3774,0.047820540478424,2896.9390670897
