Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0,Strain_Percentuale,DeltaR_Percentuale
0,0,-0.1349,0.0941136148335591,-0.000291974360539579,0,-0.0291974360539579
0.01,0,-0.1471,0.0941197421847173,-0.000225638776835941,0,-0.0225638776835941
0.02,0.0001,-0.1426,0.0941258192128936,-0.000159847833294579,0.0002,-0.0159847833294579
0.03,0.0002,-0.1277,0.0941318459180879,-9.46015339648192e-05,0.0004,-0.00946015339648192
0.04,0.0005,-0.119,0.0941378223003001,-2.98998828612303e-05,0.001,-0.00298998828612303
0.05,0.0009,-0.1216,0.0941437483595304,3.42571160344802e-05,0.0018,0.00342571160344802
0.06,0.0017,-0.1281,0.0941496240957787,9.78694587742557e-05,0.0034,0.00978694587742557
0.07,0.0025,-0.1261,0.0941554495090451,0.00016093714144369,0.005,0.016093714144369
0.08,0.0035,-0.1154,0.0941612245993294,0.000223460160161555,0.007,0.0223460160161555
0.09,0.005,-0.1056,0.0941669493666317,0.00028543851108043,0.01,0.028543851108043
0.1,0.0067,-0.1027,0.0941726238109521,0.000346872190386072,0.0134,0.0346872190386072
0.11,0.0087,-0.103,0.0941782479322905,0.000407761194297888,0.0174,0.0407761194297888
0.12,0.0111,-0.0984,0.0941838217306468,0.000468105519069255,0.0222,0.0468105519069255
0.13,0.0136,-0.0859,0.0941893452060212,0.000527905160986091,0.0272,0.0527905160986091
0.14,0.0162,-0.0713,0.0941948183584137,0.000587160116368915,0.0324,0.0587160116368915
0.15,0.0189,-0.0597,0.0942002411878241,0.000645870381570633,0.0378,0.0645870381570633
0.16,0.0214,-0.0489,0.0942056136942525,0.000704035952978433,0.0428,0.0704035952978433
0.17,0.0238,-0.0335,0.094210935877699,0.000761656827012838,0.0476,0.0761656827012838
0.18,0.0261,-0.014,0.0942162077381634,0.000818733000128338,0.0522,0.0818733000128338
0.19,0.0283,0.005,0.0942214292756459,0.000875264468811654,0.0566,0.0875264468811654
0.2,0.0303,0.0201,0.0942266004901464,0.000931251229584102,0.0606,0.0931251229584102
0.21,0.0323,0.0308,0.0942317213816649,0.000986693279000336,0.0646,0.0986693279000336
0.22,0.0344,0.038,0.0942367919502014,0.00104159061364834,0.0688,0.104159061364834
0.23,0.0364,0.0442,0.0942418121957559,0.00109594323014976,0.0728,0.109594323014976
0.24,0.0382,0.0514,0.0942467821183285,0.00114975112515926,0.0764,0.114975112515926
0.25,0.0401,0.0602,0.094251701717919,0.00120301429536592,0.0802,0.120301429536592
0.26,0.0421,0.0696,0.0942565709945276,0.00125573273749155,0.0842,0.125573273749155
0.27,0.0439,0.0788,0.0942613899481542,0.00130790644829176,0.0878,0.130790644829176
0.28,0.0459,0.0861,0.0942661585787988,0.00135953542455613,0.0918,0.135953542455613
0.29,0.0479,0.093,0.0942708768864614,0.00141061966310647,0.0958,0.141061966310647
0.3,0.0498,0.1007,0.094275544871142,0.00146115916079949,0.0996,0.146115916079949
0.31,0.0517,0.1097,0.0942801625328406,0.00151115391452494,0.1034,0.151115391452494
0.32,0.0535,0.1175,0.0942847298715573,0.00156060392120558,0.107,0.156060392120558
0.33,0.0551,0.1251,0.094289246887292,0.00160950917779844,0.1102,0.160950917779844
0.34,0.0569,0.1322,0.0942937135800446,0.00165786968129375,0.1138,0.165786968129375
0.35,0.0586,0.1395,0.0942981299498153,0.0017056854287149,0.1172,0.17056854287149
0.36,0.0602,0.1468,0.094302495996604,0.00175295641711957,0.1204,0.175295641711957
0.37,0.062,0.1535,0.0943068117204107,0.00179968264359815,0.124,0.179968264359815
0.38,0.0636,0.1605,0.0943110771212355,0.00184586410527529,0.1272,0.184586410527529
0.39,0.0653,0.1681,0.0943152921990782,0.00189150079930868,0.1306,0.189150079930868
0.4,0.0669,0.176,0.0943194569539389,0.00193659272288919,0.1338,0.193659272288919
0.41,0.0687,0.1822,0.0943235713858177,0.00198113987324258,0.1374,0.198113987324258
0.42,0.0704,0.1879,0.0943276354947145,0.00202514224762639,0.1408,0.202514224762639
0.43,0.0719,0.1946,0.0943316492806293,0.00206859984333291,0.1438,0.206859984333291
0.44,0.0735,0.2021,0.0943356127435621,0.00211151265768727,0.147,0.211151265768727
0.45,0.0752,0.2069,0.0943395258835129,0.00215388068804939,0.1504,0.215388068804939
0.46,0.0767,0.2108,0.0943433887004817,0.00219570393180999,0.1534,0.219570393180999
0.47,0.0784,0.2181,0.0943472011944686,0.00223698238639641,0.1568,0.223698238639641
0.48,0.08,0.2302,0.0943509633654734,0.00227771604926779,0.16,0.227771604926779
0.49,0.0817,0.2413,0.0943546752134963,0.00231790491791722,0.1634,0.231790491791722
0.5,0.0833,0.2453,0.0943583367385372,0.00235754898987094,0.1666,0.235754898987094
0.51,0.085,0.2442,0.0943619479405961,0.00239664826268952,0.17,0.239664826268952
0.52,0.0868,0.2449,0.094365508819673,0.00243520273396619,0.1736,0.243520273396619
0.53,0.0884,0.2512,0.0943690193757679,0.00247321240132802,0.1768,0.247321240132802
0.54,0.0901,0.2583,0.0943724796088809,0.00251067726243604,0.1802,0.251067726243604
0.55,0.0918,0.2643,0.0943758895190118,0.00254759731498413,0.1836,0.254759731498413
0.56,0.0935,0.271,0.0943792491061608,0.00258397255669982,0.187,0.258397255669982
0.57,0.0952,0.2797,0.0943825583703278,0.00261980298534494,0.1904,0.261980298534494
0.58,0.0969,0.2921,0.0943858173115128,0.00265508859871354,0.1938,0.265508859871354
0.59,0.0986,0.3021,0.0943890259297158,0.00268982939463458,0.1972,0.268982939463458
0.6,0.1002,0.3075,0.0943921842249368,0.0027240253709694,0.2004,0.27240253709694
0.61,0.1019,0.3111,0.0943952921971758,0.0027576765256135,0.2038,0.275767652561349
