Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0
0,0,-0.002,0.209838405153943,3.05484009935527e-05
0.01,0,-0.0033,0.209838203929549,2.95474132931657e-05
0.02,0,-0.0039,0.209846308784693,6.98649588577926e-05
0.03,0,-0.0017,0.209835160979665,1.44103154829468e-05
0.04,0,0.0035,0.209825049458815,-3.5889119494632e-05
0.05,0,0.0105,0.20981849423814,-6.84977402741261e-05
0.06,0,0.0149,0.209828615602222,-1.81494781536041e-05
0.07,0,0.0142,0.209824349085198,-3.93730976450918e-05
0.08,0,0.0105,0.209828387619385,-1.9283570675866e-05
0.09,0.0002,0.0077,0.209839666292516,3.68219176175232e-05
0.1,0.0002,0.0079,0.209834202932868,9.64453342028277e-06
0.11,0.0002,0.0073,0.209837084041117,2.39765468050724e-05
0.12,0.0004,0.0044,0.209842419321536,5.05168343977071e-05
0.13,0.0004,0.0002,0.209852771114408,0.000102011870852635
0.14,0.0006,-0.0007,0.209840329781931,4.01224379894395e-05
0.15,0.0008,0.0021,0.20985301505567,0.000103225360353105
0.16,0.0012,0.0046,0.209850199968729,8.92216752609659e-05
0.17,0.0017,0.0054,0.209852109148409,9.87189115923199e-05
0.18,0.0021,0.006,0.209845633244294,6.65044826270674e-05
0.19,0.0028,0.0096,0.209853542818651,0.000105850725714787
0.2,0.0034,0.0132,0.209850684007039,9.16295287028379e-05
0.21,0.0042,0.016,0.209845308061681,6.48868618054789e-05
0.22,0.005,0.0166,0.20984586040643,6.76345007409631e-05
0.23,0.0057,0.0158,0.209846352058882,7.00802263752974e-05
0.24,0.0064,0.0145,0.209843223474709,5.45170897071488e-05
0.25,0.0071,0.0126,0.209852138026629,9.88625666896884e-05
0.26,0.0076,0.0119,0.209862310799027,0.00014946726850378
0.27,0.0081,0.0133,0.209847304281751,7.4817061456106e-05
0.28,0.0086,0.0158,0.209835907681002,1.8124765665674e-05
0.29,0.0091,0.0189,0.209837677376384,2.69280829570943e-05
0.3,0.0096,0.022,0.209833511178639,6.20341888542512e-06
0.31,0.01,0.0235,0.209840005385717,3.85087326862984e-05
0.32,0.0105,0.0239,0.20983224882067,-7.61474693697143e-08
0.33,0.0109,0.0247,0.209833996855685,8.61940739734904e-06
0.34,0.0113,0.0262,0.209838183077085,2.94436830307785e-05
0.35,0.0117,0.0258,0.209845955797023,6.81090213033681e-05
0.36,0.0119,0.0243,0.209826008386138,-3.11189755091894e-05
0.37,0.0123,0.021,0.209818968848901,-6.6136815533605e-05
0.38,0.0125,0.0207,0.209819164716336,-6.51624837719976e-05
0.39,0.0129,0.0236,0.209821828682875,-5.19107211387175e-05
0.4,0.0131,0.0251,0.209826895221971,-2.67074459349787e-05
0.41,0.0135,0.0259,0.209827120954113,-2.55845501153678e-05
0.42,0.0138,0.0254,0.20982370670579,-4.25685852238963e-05
0.43,0.0142,0.0272,0.209826132505133,-3.05015506058152e-05
0.44,0.0144,0.03,0.209824828877114,-3.6986393702378e-05
0.45,0.0149,0.0316,0.209817429117454,-7.37961219753858e-05
0.46,0.0152,0.0326,0.209820764361503,-5.72051340738701e-05
0.47,0.0155,0.0338,0.209833572527252,6.50859602579535e-06
0.48,0.0158,0.0364,0.20983315704349,4.44178261100933e-06
0.49,0.0162,0.0378,0.209832581543895,1.57897509908618e-06
0.5,0.0165,0.038,0.209837829300401,2.7683826502481e-05
0.51,0.0169,0.0378,0.209846501037808,7.08213222969455e-05
0.52,0.0172,0.0351,0.209856330911826,0.000119720149259471
0.53,0.0175,0.0308,0.209855267523004,0.000114430299046301
0.54,0.0178,0.0281,0.209856579563259,0.00012095707141798
0.55,0.0182,0.0281,0.209861343611994,0.000144655964020598
0.56,0.0185,0.0323,0.20986250344339,0.000150425584613972
0.57,0.0188,0.0361,0.209873164647529,0.000203460236845291
0.58,0.0191,0.0387,0.209873073181159,0.000203005232163304
0.59,0.0194,0.0399,0.209878789639671,0.000231442115108973
