Tempo,Spostamento,Forza,Voltaggio,R_sensore
10.02,-0.0362,-0.5108,0.287290064297719,18288.2079451538
10.03,-0.0358,-0.4779,0.286941694645858,18264.6814056948
10.04,-0.0227,-0.4415,0.286740278895558,18251.0807294341
10.05,0.0019,-0.4189,0.286542609651861,18237.7341676168
10.06,0.0359,-0.4135,0.286048704921969,18204.3907764155
10.07,0.0754,-0.4251,0.285501123361345,18167.4318415514
10.08,0.117,-0.445,0.284687228043217,18112.5139610883
10.09,0.1585,-0.46,0.284048780696278,18069.4477627495
10.1,0.1989,-0.4622,0.28335306482593,18022.5318146782
10.11,0.2376,-0.4485,0.282579921152461,17970.4107178957
10.12,0.2745,-0.4198,0.281505262953181,17897.9915401602
10.13,0.3098,-0.3782,0.2807380569988,17846.3111640884
10.14,0.3437,-0.3307,0.279528032941177,17764.8359036019
10.15,0.3761,-0.2861,0.278646962977191,17705.536577682
10.16,0.4076,-0.2438,0.277249069531813,17611.4984855444
10.17,0.4385,-0.2034,0.275917842881153,17521.9968898317
10.18,0.4687,-0.1629,0.274445463481393,17423.0639828938
10.19,0.4983,-0.1219,0.273413995966386,17353.7937784095
10.2,0.5276,-0.0779,0.271863002881152,17249.6907162472
10.21,0.5565,-0.032,0.270768086146459,17176.2407349882
10.22,0.5852,0.0158,0.269067932965186,17062.2572351052
10.23,0.6138,0.0658,0.267898504105642,16983.9026701821
10.24,0.6421,0.1173,0.266305338055222,16877.2189847463
10.25,0.6706,0.1683,0.264799898967587,16776.4757550491
10.26,0.6987,0.2185,0.263049592845138,16659.426650181
10.27,0.727,0.2695,0.261711892533013,16570.0282420935
10.28,0.7553,0.3224,0.259957654405762,16452.8691171327
10.29,0.7835,0.3751,0.258625352605042,16363.9474944553
10.3,0.8115,0.4247,0.257289010660264,16274.8064074688
10.31,0.8395,0.4713,0.255931286146459,16184.2904213693
10.32,0.8676,0.5188,0.254413337430972,16083.154024201
10.33,0.8957,0.5675,0.252871446338535,15980.4886351874
10.34,0.9238,0.6163,0.251309038895558,15876.5251910882
10.35,0.9519,0.6615,0.249740079567827,15772.1946009918
10.36,0.9799,0.7046,0.248297015606243,15676.2964618203
10.37,1.008,0.7491,0.24671332120048,15571.1198085862
10.38,1.0359,0.7957,0.245208364177671,15471.2372039787
10.39,1.0636,0.8429,0.243820778103241,15379.2004082222
10.4,1.0913,0.8878,0.24216725027611,15269.5941417969
10.41,1.1192,0.9308,0.240768261704682,15176.9198230461
10.42,1.1471,0.9728,0.239334051908763,15081.968858037
10.43,1.1754,1.0147,0.238020999615846,14995.089201148
10.44,1.2037,1.0565,0.236619789051621,14902.4292774968
10.45,1.2319,1.0987,0.235570792893157,14833.0964310543
10.46,1.2599,1.1395,0.233953973781513,14726.2933988368
10.47,1.2879,1.1802,0.232771582569028,14648.2334505675
10.48,1.316,1.2219,0.23111056605042,14538.6406574129
10.49,1.3441,1.263,0.22994921695078,14462.0609345245
10.5,1.3723,1.3029,0.228584883937575,14372.1440103631
10.51,1.4004,1.3404,0.227426621272509,14295.8485847198
10.52,1.4285,1.379,0.226141126194478,14211.2156332477
10.53,1.4563,1.4185,0.22518636,14148.386323199
10.54,1.4842,1.4572,0.223938578391357,14066.3127181432
10.55,1.5118,1.4943,0.222767094213685,13989.2966455873
10.56,1.5396,1.5315,0.221825911692677,13927.4484934846
10.57,1.5674,1.5716,0.220803957166867,13860.3201367718
10.58,1.5955,1.6113,0.219939588283313,13803.5653949607
10.59,1.6237,1.648,0.219018808835534,13743.1292915538
10.6,1.6521,1.6843,0.217997872845138,13676.1465416687
10.61,1.6802,1.7229,0.216972671596639,13608.9127261416
10.62,1.7081,1.7621,0.215828829915966,13533.9323516831
10.63,1.7362,1.7988,0.214683920480192,13458.917879991
10.64,1.7642,1.835,0.213734635390156,13396.7479302673
10.65,1.7923,1.8722,0.212468639471789,13313.8745297961
10.66,1.8203,1.9098,0.211316851956783,13238.5153970648
10.67,1.8484,1.9448,0.210341286578631,13174.7144732393
10.68,1.8764,1.9771,0.209180518031212,13098.835313155
10.69,1.9044,2.0103,0.208305402977191,13041.6535586356
10.7,1.9322,2.0459,0.20709971212485,12962.9055281263
10.71,1.96,2.0825,0.206116408787515,12898.7117562892
10.72,1.9878,2.1182,0.20521403092437,12839.824274613
10.73,2.0156,2.1552,0.20414341392557,12769.9865662164
10.74,2.0434,2.192,0.203321836494598,12716.4151667418
10.75,2.0718,2.2286,0.202458565906363,12660.1449109493
10.76,2.1001,2.261,0.20167475394958,12609.0715160825
10.77,2.1282,2.2918,0.200767232268908,12549.958002797
10.78,2.1562,2.3253,0.200047000912365,12503.059985195
10.79,2.1841,2.3621,0.199142216806723,12444.1647180557
10.8,2.2122,2.398,0.198340255846339,12391.9810907779
10.81,2.2405,2.4337,0.197458177334934,12334.6043382518
10.82,2.2686,2.4688,0.196759856902761,12289.1954831069
10.83,2.2965,2.5032,0.196162867322929,12250.3862165876
10.84,2.3242,2.5371,0.195497274429772,12207.1285373182
10.85,2.3518,2.5682,0.194877589195678,12166.8652243382
10.86,2.3793,2.5989,0.194261314237695,12126.8337881056
10.87,2.4069,2.6304,0.193586502665066,12083.0117574615
10.88,2.4349,2.6655,0.192968453733493,12042.8866677628
10.89,2.4631,2.7,0.192293466170468,11999.0767833305
10.9,2.4912,2.7328,0.191544023289316,11950.4488062514
10.91,2.5192,2.7636,0.190957889315726,11912.4277717266
10.92,2.5475,2.7955,0.19036376244898,11873.8977157601
10.93,2.5761,2.8299,0.190023583577431,11851.8408694462
10.94,2.6045,2.8622,0.189401989531813,11811.5454120046
10.95,2.6329,2.8941,0.1887839842497,11771.4929218529
10.96,2.661,2.9252,0.188339739159664,11742.7080643535
10.97,2.689,2.9597,0.187891157214886,11713.6475931916
10.98,2.7168,2.9947,0.187417186794718,11682.9482672254
10.99,2.7448,3.0277,0.186875451668667,11647.867188485
11,2.7724,3.0575,0.186372688739496,11615.3168923266
11.01,2.8002,3.0882,0.186037168547419,11593.5981473677
11.02,2.8278,3.1216,0.185555880768307,11562.4489249188
11.03,2.8555,3.1551,0.185051161584634,11529.7898977595
11.04,2.8833,3.1859,0.184617748667467,11501.7503719281
11.05,2.9115,3.2142,0.184102488883553,11468.4223527552
11.06,2.9396,3.2451,0.183559810228091,11433.3285369906
11.07,2.9678,3.2796,0.183164553373349,11407.7731367151
11.08,2.996,3.3134,0.182634221032413,11373.4909956258
11.09,3.0242,3.3442,0.182119974837935,11340.2559146422
11.1,3.0523,3.3737,0.181561685906363,11304.1824386527
11.11,3.0803,3.4049,0.181173278127251,11279.0906532228
11.12,3.1083,3.4365,0.1806519369988,11245.4175110752
11.13,3.1363,3.4687,0.180107440672269,11210.2565641457
11.14,3.1644,3.5008,0.17951954002401,11172.3016936513
11.15,3.1925,3.532,0.179232022905162,11153.7429569369
11.16,3.2204,3.5617,0.178690617382953,11118.8021677604
11.17,3.2483,3.5926,0.178443136902761,11102.8330870789
11.18,3.276,3.624,0.178193829819928,11086.7477993173
11.19,3.3037,3.655,0.177648225258103,11051.5512071459
11.2,3.3314,3.6859,0.177436219207683,11037.8769845029
11.21,3.3596,3.7173,0.176938807731092,11005.7990565027
11.22,3.388,3.7493,0.176551364033613,10980.8175037138
11.23,3.4162,3.7785,0.176243062953181,10960.9417671704
11.24,3.4443,3.8083,0.17576292969988,10929.9933111877
11.25,3.4722,3.8389,0.17535619515006,10903.7808121991
11.26,3.5003,3.8728,0.17493062967587,10876.3594624207
11.27,3.5282,3.9039,0.174494772004802,10848.2799475049
11.28,3.5562,3.9312,0.174097446722689,10822.6872466245
11.29,3.5842,3.9598,0.173792233469388,10803.030570376
11.3,3.6121,3.9923,0.173495379207683,10783.9146238631
11.31,3.64,4.0264,0.173221908859544,10766.3065665371
