Tempo,Spostamento,Forza,Voltaggio,R_sensore
2.528,-0.1039,-0.3167,0.179933468599034,11199.0239611943
2.538,-0.0994,-0.2122,0.179452240966184,11167.9574564873
2.548,-0.0467,-0.0883,0.178800742415459,11125.908691754
2.558,0.0421,-0.0122,0.177624180676329,11050.0002901831
2.568,0.1521,-0.0057,0.175905185700483,10939.1622141671
2.578,0.2708,-0.0506,0.17385319884058,10806.956729879
2.588,0.3896,-0.1007,0.170992497971014,10622.8348930398
2.598,0.5033,-0.1133,0.167855301835749,10421.1677621854
2.608,0.6115,-0.0706,0.16452017294686,10207.0639624893
2.618,0.7151,0.023,0.160767603864734,9966.51477162746
2.628,0.8139,0.1617,0.156909618743961,9719.59676932154
2.638,0.9082,0.3399,0.152568962898551,9442.25684063245
2.648,0.999,0.5464,0.148513938550725,9183.61528836544
2.658,1.0876,0.768,0.144348489855072,8918.38033805462
2.668,1.1748,0.9907,0.140392511304348,8666.90437227246
2.678,1.2606,1.2042,0.136430650434783,8415.46448476028
2.688,1.3448,1.406,0.132836447729469,8187.71218408104
2.698,1.4276,1.5993,0.129196649468599,7957.41319270283
2.708,1.5098,1.7813,0.126392666086957,7780.23283948946
2.718,1.592,1.9512,0.12331570821256,7586.03802302087
2.728,1.6739,2.1126,0.120825223188406,7429.03638721639
2.738,1.7555,2.2706,0.118293990531401,7269.63014376267
2.748,1.8364,2.4269,0.116276826666667,7142.71607172012
2.758,1.9167,2.5765,0.11418156173913,7010.99906895684
2.768,1.9971,2.7215,0.11250456057971,6905.6572210155
2.778,2.0779,2.8654,0.110749385700483,6795.48223872444
2.788,2.1586,3.0129,0.109292137391304,6704.06864169197
2.798,2.2392,3.159,0.107496908599034,6591.52829895824
2.808,2.3193,3.301,0.106322645603865,6517.96008833839
2.818,2.399,3.4381,0.104967037681159,6433.07441374829
2.828,2.4787,3.5733,0.103561613333333,6345.11895107301
2.838,2.5585,3.7099,0.102788379903382,6296.74932659049
2.848,2.6391,3.8481,0.101850486956522,6238.0999203046
2.858,2.7198,3.9839,0.100763676714976,6170.1663320098
2.868,2.7998,4.1159,0.100031026666667,6124.38735088263
2.878,2.8795,4.245,0.099120524057971,6067.51448660662
2.888,2.9591,4.3765,0.0984694923671497,6026.86194937332
2.898,3.0393,4.511,0.097711569468599,5979.54837949063
2.908,3.1199,4.6473,0.0966906790338164,5915.84209996956
2.918,3.2002,4.7783,0.0957978765217391,5860.15058778585
2.928,3.2803,4.906,0.0949740488888889,5808.77959681589
2.938,3.3593,5.0332,0.094128177584541,5756.05199188812
2.948,3.4391,5.1669,0.0936156689855072,5724.11348171844
2.958,3.5196,5.3026,0.0928188960386473,5674.47343427281
2.968,3.6002,5.4344,0.0922720121739131,5640.41114765117
2.978,3.6806,5.5652,0.0918442585507246,5613.77409696488
2.988,3.7604,5.6958,0.0914351085990338,5588.29987717268
2.998,3.8402,5.8285,0.0912204226086956,5574.93494078461
3.008,3.9204,5.9627,0.0910062226086956,5561.6014239719
3.018,4.0009,6.0958,0.0905495140096618,5533.17612234128
3.028,4.0814,6.2299,0.09018804,5510.68192029089
3.038,4.1616,6.3626,0.0901049188405797,5505.50983378462
3.048,4.2411,6.4953,0.0900696865700483,5503.31761269711
3.058,4.3204,6.6311,0.0899121669565217,5493.51681764868
3.068,4.4004,6.7713,0.0900771688888889,5503.78317464337
3.078,4.4808,6.9091,0.0902408728502415,5513.9694542996
3.088,4.5612,7.0437,0.0900310371014493,5500.91280301904
3.098,4.6405,7.1785,0.0900725487922705,5503.49570461258
3.108,4.7197,7.3164,0.0899410685990338,5495.31501692412
3.118,4.7995,7.4567,0.0899992034782608,5498.93211068417
3.128,4.8797,7.5966,0.0898702512077295,5490.908945726
3.138,4.96,7.7359,0.0895616011594203,5471.70703824939
3.144,5.0082,7.8199,0.0892323628985507,5451.22694613298
3.146,5.0242,7.8476,0.0891048651207729,5443.29675182308
3.148,5.0401,7.8753,0.088802528115942,5424.49343307764
3.158,5.0968,7.9994,0.0884095263768116,5400.05484078522
3.168,5.0921,8.021,0.0881626892753623,5384.70741383467
3.178,5.0383,7.9664,0.0879306328502415,5370.28040187858
3.188,4.9479,7.8583,0.0876131153623188,5350.54246050782
3.198,4.8372,7.7041,0.0875101853140097,5344.1445345533
3.208,4.7186,7.5078,0.0872119551690821,5325.60865886595
3.218,4.5998,7.2726,0.0871546629951691,5322.04804039102
3.228,4.4856,7.0002,0.0867075165217391,5294.26144362302
3.238,4.3781,6.7045,0.0866389704347826,5290.002296602
3.248,4.276,6.4042,0.0864681835748792,5279.39088249091
3.258,4.1775,6.1159,0.086516077294686,5282.36656447943
3.268,4.083,5.8525,0.0866874755555555,5293.01617539731
3.278,3.9919,5.6083,0.086903474589372,5306.43805631981
3.288,3.9039,5.3814,0.0868961764251208,5305.98453923328
3.298,3.8174,5.1714,0.086945110531401,5309.0253917846
3.308,3.7317,4.9767,0.0872324430917874,5326.88197118893
3.318,3.647,4.795,0.0876471109178744,5352.65561515378
3.328,3.5636,4.6227,0.0881852123671497,5386.10775323934
3.338,3.4813,4.4576,0.0887942009661836,5423.97557339088
3.348,3.3996,4.2989,0.0892468090821256,5452.12550574819
3.358,3.3183,4.1438,0.0898480846376812,5489.52982635271
3.368,3.2367,3.9888,0.0907148446376811,5543.46560243674
3.378,3.1556,3.8377,0.0913598222222222,5583.61290989446
3.388,3.075,3.6949,0.0924785265700483,5653.27286313921
3.398,2.9948,3.5584,0.0934846028985507,5715.94677683742
3.408,2.9147,3.4201,0.0944961366183575,5778.9865781422
3.418,2.8343,3.2777,0.0956697628985507,5852.16074000107
3.428,2.7533,3.1357,0.0970345677294686,5937.29870646054
3.438,2.6728,2.9973,0.0982598415458937,6013.77296855017
3.448,2.5931,2.8661,0.0997630643478261,6107.6473846799
3.458,2.513,2.7344,0.101198794782609,6197.36077521345
3.468,2.4331,2.601,0.102891716135266,6303.21264128133
3.478,2.3527,2.4674,0.105006812560386,6435.56437401161
3.488,2.2721,2.3365,0.107150554202899,6569.82533735672
3.498,2.1922,2.2126,0.109602464734299,6723.53099787488
3.508,2.1127,2.0922,0.112189486956522,6885.87374595246
3.518,2.0329,1.9676,0.114591933333333,7036.78782424739
3.528,1.9528,1.8368,0.11740657236715,7213.78345999639
3.538,1.8721,1.7058,0.120596992077295,7414.65658082439
3.548,1.7916,1.5786,0.123943279613527,7625.62579073339
3.558,1.7115,1.4556,0.127190805217391,7830.64553524339
3.568,1.6316,1.333,0.130960210241546,8068.95502376102
3.578,1.5521,1.2063,0.134391506666667,8286.20963960446
3.588,1.4722,1.0791,0.138072568695652,8519.6192649842
3.598,1.392,0.9535,0.141696845217391,8749.77378127807
3.608,1.3117,0.8303,0.145484663188406,8990.68103164912
3.618,1.2317,0.7073,0.148933561932367,9210.36006208728
3.628,1.1521,0.5858,0.152638805024155,9446.71537056247
3.638,1.0723,0.4665,0.155625639806763,9637.5070278769
3.648,0.9923,0.3511,0.158693245410628,9833.7031790142
3.658,0.912,0.2422,0.161473411400966,10011.7303342785
3.668,0.8318,0.1459,0.164020403864734,10175.0059488969
3.678,0.7517,0.0602,0.165896421062802,10295.3785549176
3.688,0.6716,-0.0167,0.168444023574879,10458.9923658203
3.698,0.5917,-0.084,0.170277822801932,10576.8706700673
3.708,0.5117,-0.145,0.172278218550725,10705.5600767661
3.718,0.4315,-0.1951,0.173703847922705,10797.3387323905
3.728,0.351,-0.2364,0.174794289661836,10867.5754043397
3.738,0.2712,-0.2687,0.175690700676329,10925.3381018269
3.748,0.1915,-0.2929,0.176473026859903,10975.7669756548
3.758,0.1119,-0.3097,0.176792276135266,10996.3505362116
3.768,0.0325,-0.3205,0.177119990531401,11017.4827188527
3.774,-0.0155,-0.3251,0.176494897198068,10977.1769762746
3.776,-0.0314,-0.3265,0.175662650048309,10923.530257481
3.778,-0.0471,-0.3277,0.174130101642512,10824.7904715652
3.788,-0.104,-0.3166,0.17260397352657,10726.5266354786
3.798,-0.0995,-0.2135,0.170245395942029,10574.7854641924
3.808,-0.0466,-0.0908,0.167594880966184,10404.4390011547
3.818,0.0423,-0.0151,0.164629901062802,10214.103431234
3.828,0.1524,-0.0074,0.161632122125604,10021.8995044634
3.838,0.2712,-0.0545,0.157873327342995,9781.23898954295
3.848,0.3898,-0.1122,0.154419003091787,9560.40172625222
3.858,0.5035,-0.1364,0.150461695072464,9307.79502780185
3.868,0.6116,-0.1045,0.146448294879227,9052.02852117857
3.878,0.7151,-0.023,0.142303788019324,8788.3503913865
3.888,0.8138,0.1016,0.138528516521739,8548.55471183133
3.898,0.9081,0.2647,0.134703486376812,8305.97802207729
3.908,0.999,0.4599,0.131493617391304,8102.70791845071
3.918,1.0876,0.6753,0.128008037294686,7882.28130965178
3.928,1.1749,0.897,0.124769741449275,7677.7752946401
3.938,1.2606,1.1124,0.121727134492754,7485.87488945822
3.948,1.3447,1.3148,0.118965816425121,7311.92275760646
3.958,1.4276,1.5087,0.116599769468599,7163.02764247797
3.968,1.5097,1.6897,0.114648370048309,7040.33478442428
3.978,1.5919,1.8614,0.112399682512077,6899.07164318914
3.988,1.6739,2.0261,0.11073569236715,6794.62299845042
3.998,1.7554,2.1865,0.108696966763285,6666.74908657359
4.008,1.8362,2.3457,0.107059353623188,6564.11111602989
4.018,1.9167,2.4966,0.105297603671498,6453.76951316678
4.028,1.9971,2.6401,0.10385279942029,6363.33805944357
4.038,2.0778,2.7841,0.10237425468599,6270.85000016227
4.048,2.1586,2.9304,0.100967748405797,6182.9200066773
4.058,2.2393,3.0768,0.0999972510144927,6122.27723965233
4.068,2.3194,3.2178,0.0989002307246377,6053.75744509239
4.078,2.3991,3.3547,0.0978026446376812,5985.23300152525
4.088,2.4789,3.4908,0.0969946276328502,5934.80652781877
4.098,2.559,3.6288,0.095898869178744,5866.4493219383
4.108,2.6389,3.7666,0.0950117476328502,5811.12998101458
4.118,2.7195,3.9051,0.0941481611594203,5757.29746345157
4.128,2.7997,4.0382,0.0933835901449275,5709.65298758819
4.138,2.8796,4.1661,0.0925897978743961,5660.20328813913
4.148,2.9593,4.2965,0.0919442025120773,5619.99738628502
4.158,3.0393,4.4299,0.0913764668599034,5584.6491125048
4.168,3.1197,4.5663,0.0905041441545894,5530.35261534026
4.178,3.2,4.6983,0.0899569089855073,5496.30058136134
4.188,3.2798,4.826,0.0893142722705314,5456.32181873471
