Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0
0,0.0001,-0.039,0.258366803616312,-0.000274781581288865
0.01,0.0001,-0.0334,0.258383044023282,-0.000208516554139656
0.02,0.0001,-0.0253,0.258413406263541,-8.4629606396796e-05
0.03,0.0001,-0.0269,0.258422069928281,-4.92789930788388e-05
0.04,0.0001,-0.0365,0.258446180638731,4.91013481475115e-05
0.05,0.0001,-0.0401,0.258435537696014,5.67420350353624e-06
0.06,0.0001,-0.029,0.258458263610289,9.8404579642429e-05
0.07,0.0004,-0.0117,0.258469167999829,0.000142898953039807
0.08,0.0005,-0.0045,0.25846332737806,0.00011906679971911
0.09,0.0008,-0.0113,0.258483666932483,0.00020206085085421
0.1,0.0017,-0.0223,0.2584883089436,0.000221002334517133
0.11,0.0028,-0.029,0.258496591005811,0.000254796948468025
0.12,0.0046,-0.0289,0.258501414884617,0.000274480641789004
0.13,0.007,-0.0259,0.258505210051791,0.000289966736186451
0.14,0.0096,-0.0236,0.25851740086532,0.00033971124463875
0.15,0.0124,-0.024,0.258522427666752,0.000360223138595745
0.16,0.0156,-0.0216,0.258545248630088,0.000453344765844796
0.17,0.0189,-0.0113,0.258546586194114,0.000458802763891769
0.18,0.0224,0.0094,0.258545475701005,0.000454271340057721
0.19,0.026,0.032,0.258557632232566,0.00050387680339469
0.2,0.0296,0.0462,0.258581555474446,0.000601497783724852
0.21,0.0334,0.0511,0.258608920084,0.000713162788016374
0.22,0.0372,0.0529,0.25859583235617,0.000659756377009369
0.23,0.0411,0.0564,0.25861758741825,0.00074853129087434
0.24,0.0452,0.0645,0.258603698253364,0.000691854299680155
0.25,0.0495,0.0754,0.258613776779161,0.000732981326645516
0.26,0.0537,0.0825,0.258586919062991,0.000623384533380013
0.27,0.0582,0.0862,0.258619702969477,0.000757164170101764
0.28,0.0629,0.0891,0.258582155852078,0.000603947692328089
0.29,0.0678,0.098,0.258570024753601,0.000554445497897557
0.3,0.0727,0.1172,0.258542613720721,0.000442592893152228
0.31,0.078,0.1374,0.258546548422818,0.000458648636154323
0.32,0.0833,0.152,0.258583627319479,0.000609952183552708
0.33,0.0889,0.1635,0.258584637057078,0.000614072535604692
0.34,0.0947,0.1763,0.258583189386991,0.000608165149499778
0.35,0.1005,0.1914,0.258605512860803,0.000699259080946212
0.36,0.1064,0.2052,0.258606189177454,0.000702018895209909
0.37,0.1125,0.2159,0.258618774148134,0.000753373950143115
0.38,0.1189,0.2235,0.258624161556235,0.000775358243529956
0.39,0.1255,0.2314,0.258615465107092,0.000739870834301603
0.4,0.132,0.2401,0.258645970248028,0.000864353066246744
0.41,0.139,0.2517,0.25865962006828,0.000920054363219081
0.42,0.1459,0.2684,0.258598470695327,0.000670522486811845
0.43,0.1531,0.286,0.258583308394617,0.000608650773818519
0.44,0.1603,0.3028,0.258606372253894,0.000702765966960021
0.45,0.1678,0.3188,0.258607927811168,0.0007091136614933
0.46,0.1754,0.3367,0.258594007618354,0.000652310287622954
0.47,0.1832,0.3573,0.258628859698089,0.000794529902082113
0.48,0.1911,0.3774,0.258659716936884,0.000920449659454353
0.49,0.1993,0.3961,0.258687743127593,0.00103481812209204
0.5,0.2075,0.4126,0.258727279112315,0.00119615771587727
0.51,0.2159,0.427,0.258731940129949,0.00121517870920871
0.52,0.2244,0.4393,0.258733006050154,0.00121952859311656
0.53,0.2332,0.4513,0.258705512533733,0.0011073316974319
0.54,0.2421,0.466,0.258698567361215,0.00107898970128239
0.55,0.2513,0.4808,0.2586312377744,0.000804234107811648
0.56,0.2608,0.494,0.258652429348208,0.000890710901371895
0.57,0.2703,0.5096,0.258666298677156,0.000947308111951832
0.58,0.2801,0.5306,0.258630269911131,0.000800284551174693
0.59,0.2898,0.5554,0.258619643342661,0.000756920852275723
0.6,0.3,0.5798,0.258630546360625,0.000801412657603618
0.61,0.3101,0.6024,0.258698220921259,0.00107757594449486
0.62,0.3204,0.6243,0.258742656696263,0.00125891173351985
0.63,0.3308,0.6481,0.258819704721211,0.00157334132073038
0.64,0.3413,0.6712,0.258842368903732,0.00166583479391055
0.65,0.3519,0.6905,0.258867126845079,0.00176687399470405
0.66,0.3627,0.705,0.258928197552207,0.00201611309985969
0.67,0.3738,0.7179,0.258977853004511,0.0022187694980307
0.68,0.3851,0.7331,0.258958094178057,0.00213812824584445
0.69,0.3965,0.7506,0.258936223389038,0.00204886827230148
0.7,0.4082,0.7682,0.258957292480342,0.00213485630925271
0.71,0.4202,0.787,0.258922226892283,0.00199174561990809
0.72,0.4322,0.8091,0.258972824117781,0.00219824515242438
0.73,0.4445,0.8342,0.258956280759985,0.00213072721729393
0.74,0.4568,0.8612,0.259013012634977,0.00236226736606194
0.75,0.4693,0.8881,0.258993031363497,0.00228071704828316
0.76,0.4818,0.913,0.259006529395722,0.00233580700154847
0.77,0.4945,0.9353,0.259170282122117,0.00300416126069173
0.78,0.5074,0.956,0.259157876549473,0.00295352648844105
0.79,0.5205,0.9765,0.259153930494239,0.00293742026548521
0.8,0.5338,0.9955,0.259089626010252,0.00267495879833537
0.81,0.5474,1.0139,0.259082901813532,0.00264751411662641
0.82,0.561,1.0333,0.259046311342455,0.00249817216555722
0.83,0.5748,1.0533,0.259036022904257,0.00245618089854588
0.84,0.5886,1.075,0.259031680174252,0.00243845652008319
0.85,0.6027,1.0978,0.258958502905082,0.00213979636741352
0.86,0.617,1.1227,0.258958475623368,0.00213968502361502
0.87,0.6315,1.15,0.258958465320625,0.00213964297543189
0.88,0.646,1.1777,0.258914645160723,0.00196080311673328
0.89,0.6608,1.2049,0.258917644520796,0.00197304406962994
0.9,0.6756,1.2303,0.258921740822751,0.00198976187379427
0.91,0.6907,1.2563,0.258929328948171,0.0020207305642781
0.92,0.706,1.2816,0.258886809447021,0.0018472010696835
0.93,0.7214,1.3055,0.258880162600612,0.00182007441237008
0.94,0.7371,1.3279,0.25889021129268,0.00186108448014817
0.95,0.753,1.3488,0.258898877636483,0.00189645313780956
0.96,0.7689,1.369,0.258909615077344,0.00194027443464298
0.97,0.785,1.3885,0.258899910171433,0.00190066707747429
0.98,0.8014,1.4113,0.258890233332684,0.00186117442856843
0.99,0.8178,1.439,0.258889985532272,0.00186016311956397
