Tempo,Spostamento,Forza,Voltaggio,R_sensore
5.02,-0.0619,-0.524,0.269699422053612,17104.5846416825
5.03,-0.0595,-0.4504,0.269584140867569,17096.856739167
5.04,-0.0253,-0.3662,0.269287369440423,17076.9643267406
5.05,0.0335,-0.3159,0.268718708780512,17038.8543128398
5.06,0.108,-0.3117,0.26803670883043,16993.1607033355
5.07,0.1896,-0.3476,0.26725327005441,16940.6870029668
5.08,0.2726,-0.3967,0.266171901262916,16868.2868734034
5.09,0.3537,-0.4246,0.265168062646633,16801.1071663203
5.1,0.4316,-0.4162,0.263720874706734,16704.3073938598
5.11,0.5053,-0.3743,0.26228546727899,16608.3540154762
5.12,0.5753,-0.3084,0.260686251185544,16501.5188908366
5.13,0.6425,-0.2214,0.258902423201717,16382.4358605517
5.14,0.7073,-0.1173,0.257017126990466,16256.6764758766
5.15,0.7702,-0.0006,0.254968337043878,16120.124489435
5.16,0.8319,0.1237,0.253017897269505,15990.2370681344
5.17,0.8923,0.2472,0.25079969235761,15842.6477792919
5.18,0.9515,0.3661,0.248633317825588,15698.6400623454
5.19,1.0101,0.4814,0.246293349822792,15543.24033522
5.2,1.0679,0.592,0.243746407877003,15374.2690432243
5.21,1.1252,0.6982,0.241181173064444,15204.2669726777
5.22,1.1821,0.7979,0.238670316278141,15038.0460164802
5.23,1.2391,0.8926,0.236126343982429,14869.8114831926
5.24,1.2961,0.9861,0.233560805421055,14700.3326311197
5.25,1.353,1.0787,0.230959526830729,14528.678974111
5.26,1.4096,1.1648,0.228473691558928,14364.8180973924
5.27,1.4661,1.2464,0.225850227474667,14192.070100591
5.28,1.5222,1.3296,0.223282183447312,14023.1551468401
5.29,1.5782,1.4151,0.220699186991464,13853.4397996515
5.3,1.6341,1.4974,0.218205040183697,13689.7363030438
5.31,1.6903,1.5763,0.215772133779264,13530.2167755888
5.32,1.7466,1.6536,0.213412352668098,13375.6468109629
5.33,1.8031,1.7314,0.211116191833475,13225.3903178935
5.34,1.8593,1.8104,0.208838960864573,13076.5148045781
5.35,1.9155,1.8876,0.206678550541606,12935.4072778674
5.36,1.9714,1.9622,0.204390307342884,12786.0889714924
5.37,2.027,2.0367,0.202367078470524,12654.1827051251
5.38,2.0825,2.1124,0.200468048819448,12530.4748999622
5.39,2.1383,2.1906,0.198686320271552,12414.4973766506
5.4,2.1947,2.2666,0.196991149054061,12304.2339812843
5.41,2.2511,2.3381,0.195209212149953,12188.4107406038
5.42,2.3074,2.4067,0.193478850846104,12076.0220235479
5.43,2.3636,2.4748,0.191937756302102,11975.9944801265
5.44,2.4194,2.5468,0.190629235062147,11891.1128531766
5.45,2.475,2.6204,0.189296143662956,11804.684884953
5.46,2.5303,2.6901,0.188162254679778,11731.2094446312
5.47,2.5859,2.756,0.186921873957969,11650.8730419268
5.48,2.6423,2.8251,0.185770361753107,11576.329488559
5.49,2.699,2.8972,0.184680127639395,11505.785650883
5.5,2.7555,2.9669,0.18371391658763,11443.2934468129
5.51,2.8118,3.0322,0.182731795437528,11379.7979069005
5.52,2.8679,3.0953,0.181909642589727,11326.6644518164
5.53,2.9234,3.1606,0.181035090900015,11270.1645051298
5.54,2.9787,3.2294,0.180053865521889,11206.79736858
5.55,3.0346,3.2986,0.1791563707882,11148.8601104549
5.56,3.0908,3.3657,0.178209791743623,11087.7776124606
5.57,3.1471,3.4323,0.177400065442021,11035.545215194
5.58,3.2036,3.5002,0.176723499875206,10991.9159644259
5.59,3.2599,3.5664,0.175809494034843,10932.9944879324
5.6,3.3161,3.6313,0.175075830080367,10885.7149199477
5.61,3.3718,3.6928,0.174318294014875,10836.9120449039
5.62,3.4273,3.7556,0.173385641591374,10776.8486593079
5.63,3.483,3.8209,0.172606703589078,10726.7023623748
5.64,3.539,3.8868,0.171931597613937,10683.2536296897
5.65,3.5948,3.9517,0.171232102880248,10638.2480911363
5.66,3.6511,4.0148,0.170615163979434,10598.5650205517
5.67,3.7075,4.0776,0.170071290620476,10563.5901182271
5.68,3.7638,4.1411,0.169485102730495,10525.9029110725
5.69,3.8199,4.2076,0.169009391004842,10495.3251631343
5.7,3.8755,4.2723,0.168313034543004,10450.5756941407
5.71,3.9314,4.3341,0.167785175660161,10416.6628612015
5.72,3.9872,4.3975,0.167230183397394,10381.014805809
5.73,4.043,4.4647,0.166786727898967,10352.5368223486
5.74,4.0992,4.532,0.166171573553637,10313.0412724929
5.75,4.1557,4.5946,0.165676369091,10281.2543226351
5.76,4.212,4.6558,0.165034710527629,10240.0762351061
5.77,4.2679,4.7193,0.164601808266361,10212.3011429186
5.78,4.3237,4.7845,0.164161536914092,10184.0583489632
