Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0
50.052,-0.0184,-0.843,0.293852893074702,-0.00523670207271064
50.062,-0.0185,-0.8262,0.293706349299482,-0.00576374761064374
50.072,-0.0144,-0.81,0.293541356171529,-0.00635710707360735
50.082,-0.0055,-0.8016,0.293372116043651,-0.00696569666435061
50.092,0.0089,-0.7982,0.293174132211055,-0.00767759342624721
50.102,0.0273,-0.8019,0.292953623862971,-0.00847041181082196
50.112,0.048,-0.8073,0.292719821499662,-0.00931094652888097
50.122,0.0697,-0.8069,0.292487276887047,-0.0101468767321705
50.132,0.0907,-0.8021,0.292207524730743,-0.0111523948846024
50.142,0.1109,-0.794,0.291957018309833,-0.0120526931595761
50.152,0.1303,-0.7804,0.291645656735169,-0.0131715660250614
50.162,0.149,-0.7606,0.291298954116853,-0.0144172622521849
50.172,0.1668,-0.7357,0.290987422257556,-0.0155364341174887
50.182,0.184,-0.7106,0.290578676035401,-0.0170046220182031
50.192,0.2006,-0.6893,0.290209999868372,-0.0183286624885996
50.202,0.2164,-0.6708,0.289843574090602,-0.0196444156738536
50.212,0.232,-0.6511,0.289432933913973,-0.0211186896574399
50.222,0.2472,-0.6306,0.28900253918773,-0.0226636102606601
50.232,0.2623,-0.609,0.288524366905423,-0.0243796994842615
50.242,0.2772,-0.5889,0.288065145625891,-0.0260274485078036
50.252,0.292,-0.5722,0.287595924978999,-0.0277107449249419
50.262,0.3065,-0.5572,0.287084599738618,-0.0295447069966316
50.272,0.3209,-0.5416,0.286602073732468,-0.0312750103920433
50.282,0.3349,-0.5261,0.286119980062251,-0.0330034097005421
50.292,0.3491,-0.5103,0.285595785657016,-0.0348823471651796
50.302,0.3633,-0.4942,0.285087332299182,-0.0367044628055262
50.312,0.3774,-0.4765,0.284547446404035,-0.0386387913227209
50.322,0.3915,-0.4553,0.28403344398935,-0.0404799717466784
50.332,0.4056,-0.4335,0.283440507388434,-0.0426033996080918
50.342,0.4198,-0.4137,0.282915970217881,-0.0444814300386359
50.352,0.4339,-0.3957,0.28230768539076,-0.046658784037299
50.362,0.4479,-0.3747,0.281670583847221,-0.0489386854686214
50.372,0.4618,-0.3523,0.281085303027076,-0.0510326011656402
50.382,0.4758,-0.3312,0.280485613198455,-0.0531775282202703
50.392,0.4898,-0.3098,0.279827854862372,-0.0555295237621498
50.402,0.5037,-0.2849,0.279189441999925,-0.0578117174675458
50.412,0.5177,-0.2581,0.278556980767269,-0.0600720267567737
50.422,0.5317,-0.2332,0.277905820335258,-0.0623985312233772
50.432,0.5458,-0.2104,0.277217621895672,-0.0648566699575705
50.442,0.5597,-0.1872,0.27652135539676,-0.0673428976219067
50.452,0.5737,-0.1637,0.275816739652742,-0.0698581926692466
50.462,0.5878,-0.1395,0.275124961450911,-0.0723269311990169
50.472,0.6018,-0.1151,0.274444422155554,-0.0747548563286562
50.482,0.616,-0.0894,0.273749202635941,-0.0772344333538794
50.492,0.6301,-0.0645,0.273062499482487,-0.0796829197951155
50.502,0.6441,-0.0406,0.272356986075527,-0.0821977346731803
50.512,0.658,-0.0148,0.271641876326783,-0.0847459900324393
50.522,0.6721,0.0134,0.270923894877372,-0.0873037032234831
50.532,0.6859,0.0404,0.270201273759469,-0.0898771605522637
50.542,0.6998,0.0636,0.269475324111228,-0.0924616800468191
50.552,0.7139,0.0856,0.268722897904823,-0.0951396241135973
50.562,0.7279,0.108,0.267992342458187,-0.0977389135691878
50.572,0.7419,0.1325,0.267245048495087,-0.100396927801361
50.582,0.7558,0.1548,0.26649627359559,-0.103059367750022
50.592,0.7698,0.1751,0.265730533571589,-0.105781260043845
50.602,0.7839,0.1977,0.26495769778032,-0.108527482254555
50.612,0.7979,0.2243,0.264191739132228,-0.111248382597131
50.622,0.8119,0.2493,0.26342032420948,-0.113987775734246
50.632,0.8258,0.2723,0.262632948536713,-0.116782927513965
50.642,0.8398,0.2932,0.261912902963699,-0.119338246930882
50.652,0.8539,0.3139,0.261135338547964,-0.122096818890001
50.662,0.8679,0.3344,0.260382129453986,-0.124768122224483
50.672,0.8819,0.3556,0.259624909804995,-0.127452793552894
50.682,0.8959,0.3778,0.258855048134328,-0.130181407173001
50.692,0.9099,0.4014,0.258086876463662,-0.132903147862219
50.702,0.9238,0.425,0.257268666886672,-0.135801210230422
50.712,0.9376,0.4461,0.256501478078827,-0.138517651068787
50.722,0.9516,0.4663,0.255700911873547,-0.141351336967774
50.732,0.9656,0.4872,0.254914312229806,-0.144134655501611
50.742,0.9796,0.5071,0.254136142661817,-0.146887237042522
50.752,0.9937,0.5244,0.253338998456461,-0.149706000852502
50.762,1.0078,0.542,0.252581909818121,-0.152382248617168
50.772,1.0219,0.5638,0.251825479485862,-0.155055316988683
50.782,1.0359,0.5881,0.251055919639241,-0.157773908496232
50.792,1.0497,0.6124,0.250278939860121,-0.160517818359714
50.802,1.0636,0.6339,0.249566671229281,-0.163032411756538
50.812,1.0775,0.6548,0.248814629927998,-0.165686600331422
50.822,1.0915,0.674,0.24805694022238,-0.168359874298073
50.832,1.1056,0.6907,0.247349547091052,-0.170854922969157
50.842,1.1196,0.707,0.246660247376059,-0.173285439912753
50.852,1.1337,0.7271,0.245941650128253,-0.175818511536411
50.862,1.1479,0.7496,0.245246255630016,-0.178269063966756
50.872,1.162,0.773,0.244507947341934,-0.18087005910138
50.882,1.176,0.794,0.243777280697893,-0.183443338385181
50.892,1.19,0.8156,0.24301872961224,-0.186113985430182
50.902,1.2042,0.8359,0.242320602709443,-0.188571143212778
50.912,1.2182,0.8529,0.241600264605115,-0.191105720729999
50.922,1.2324,0.8685,0.240968338876847,-0.193328579170803
50.932,1.2463,0.8859,0.240290086328283,-0.195713739847634
50.942,1.2604,0.9066,0.23966397958824,-0.197914919907207
50.952,1.2744,0.9285,0.239008075167254,-0.200220237630473
50.962,1.2883,0.9498,0.238367728168079,-0.202470262747848
50.972,1.3022,0.971,0.237698742730443,-0.204820270158469
50.982,1.3161,0.9902,0.237098415742894,-0.20692853263994
50.992,1.3301,1.0081,0.236472360108753,-0.20912658440692
51.002,1.3442,1.0251,0.235876264894997,-0.211218909666361
51.012,1.3582,1.0437,0.235201234487362,-0.213587669476435
51.022,1.3722,1.0627,0.234635796147154,-0.215571341537912
51.032,1.3861,1.0801,0.234003831377784,-0.217787844756811
51.042,1.4,1.0959,0.233413087896572,-0.219859240208375
51.052,1.4138,1.1127,0.232813865535888,-0.221959841707841
51.062,1.4278,1.1329,0.232220393059701,-0.224039766284697
51.072,1.4416,1.1528,0.231527303050326,-0.226468161967308
