Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0,Strain_Percentuale,DeltaR_Percentuale
0,0.0001,-0.0031,0.393579348375667,-0.000450714854959059,0.000142857142857143,-0.0450714854959059
0.01,0.0001,0.0018,0.393605530072574,-0.000378541219840161,0.000142857142857143,-0.0378541219840161
0.02,0.0005,0.009,0.393649440867282,-0.000257492919935358,0.000714285714285714,-0.0257492919935358
0.03,0.0011,0.0143,0.393688306727346,-0.000150349998472157,0.00157142857142857,-0.0150349998472157
0.04,0.0026,0.0153,0.393717151210044,-7.08322014114975e-05,0.00371428571428571,-0.00708322014114975
0.05,0.0052,0.0117,0.393743210304828,1.00775949510443e-06,0.00742857142857143,0.000100775949510443
0.06,0.0087,0.0059,0.393784496032657,0.000114826311578898,0.0124285714285714,0.0114826311578898
0.07,0.0129,0.0014,0.393837393490634,0.000260659641864498,0.0184285714285714,0.0260659641864498
0.08,0.0174,-0.0015,0.393889932247941,0.000405507383608601,0.0248571428571429,0.0405507383608602
0.09,0.0222,-0.0023,0.393933610717019,0.00052593009807099,0.0317142857142857,0.052593009807099
0.1,0.0268,-0.0038,0.393975401396127,0.000641150262774509,0.0382857142857143,0.0641150262774509
0.11,0.0314,-0.0066,0.394002267940349,0.000715224526676627,0.0448571428571429,0.0715224526676627
0.12,0.0358,-0.0085,0.39406083512085,0.000876704217489506,0.0511428571428571,0.0876704217489506
0.13,0.0399,-0.0067,0.394081776381122,0.000934443835118513,0.057,0.0934443835118513
0.14,0.044,-0.0014,0.394134499998728,0.00107981666224598,0.0628571428571428,0.107981666224598
0.15,0.048,0.0023,0.394144858006807,0.00110837679543261,0.0685714285714286,0.110837679543261
0.16,0.0519,0.0037,0.394187124064485,0.00122491831764173,0.0741428571428571,0.122491831764173
0.17,0.0556,0.0051,0.39421812450289,0.00131039815538153,0.0794285714285714,0.131039815538153
0.18,0.0593,0.0047,0.394252190603886,0.0014043325019064,0.0847142857142857,0.14043325019064
0.19,0.0629,0.0021,0.39427503142567,0.00146731488366737,0.0898571428571429,0.146731488366737
0.2,0.0665,-0.0003,0.394299878869373,0.00153583113074527,0.095,0.153583113074527
0.21,0.07,-0.0003,0.394325225598788,0.0016057249082605,0.1,0.16057249082605
0.22,0.0734,-0.0015,0.394385914387982,0.00177307778044845,0.104857142857143,0.177307778044845
0.23,0.0769,-0.0054,0.394407762919819,0.00183332745970004,0.109857142857143,0.183332745970004
0.24,0.0803,-0.01,0.394442048694553,0.00192787532788736,0.114714285714286,0.192787532788736
0.25,0.0836,-0.01,0.394473419489466,0.0020143859606317,0.119428571428571,0.20143859606317
0.26,0.087,-0.0051,0.394517392947247,0.00213565269621142,0.124285714285714,0.213565269621142
0.27,0.0904,-0.0002,0.394557292834401,0.00224568764519236,0.129142857142857,0.224568764519236
0.28,0.0939,0.0023,0.394612248280388,0.00239724557366815,0.134142857142857,0.239724557366815
0.29,0.0972,0.0025,0.394642786929917,0.00248146762481057,0.138857142857143,0.248146762481057
0.3,0.1005,0.0032,0.39468003184001,0.00258418627611772,0.143571428571429,0.258418627611772
0.31,0.1037,0.0032,0.394714176037949,0.00267835485703986,0.148142857142857,0.267835485703986
0.32,0.107,0.0028,0.394765806243367,0.00282075192670689,0.152857142857143,0.282075192670689
0.33,0.1104,0.0025,0.394794297151513,0.00289933174995442,0.157714285714286,0.289933174995442
0.34,0.1139,0.0016,0.394815114398944,0.00295674772034395,0.162714285714286,0.295674772034395
0.35,0.1172,-0.0006,0.394850893238505,0.00305543041343734,0.167428571428571,0.305543041343734
0.36,0.1207,-0.0033,0.394875190819125,0.00312244717531868,0.172428571428571,0.312244717531868
0.37,0.124,-0.004,0.394897738374109,0.0031846377085347,0.177142857142857,0.31846377085347
0.38,0.1271,-0.0036,0.394933209022654,0.00328247387481515,0.181571428571429,0.328247387481515
0.39,0.1305,-0.0058,0.39495043504094,0.00332998771919172,0.186428571428571,0.332998771919172
0.4,0.1339,-0.0074,0.394981427417499,0.00341547365978096,0.191285714285714,0.341547365978096
0.41,0.1373,-0.0055,0.395022559522314,0.0035289296812544,0.196142857142857,0.35289296812544
0.42,0.1406,-0.0017,0.395065583948739,0.00364760752375714,0.200857142857143,0.364760752375714
0.43,0.1439,0.0011,0.395106949098299,0.00376171053633863,0.205571428571429,0.376171053633863
0.44,0.1473,0.0019,0.39515384908586,0.00389108351100834,0.210428571428571,0.389108351100834
0.45,0.1505,0.004,0.395190824817345,0.00399308241879064,0.215,0.399308241879064
0.46,0.1539,0.0054,0.395234509235936,0.00411358959619033,0.219857142857143,0.411358959619033
0.47,0.1572,0.0031,0.395266803774921,0.00420267829367281,0.224571428571429,0.420267829367281
0.48,0.1606,-0.0004,0.395291412101246,0.00427056441003236,0.229428571428571,0.427056441003236
0.49,0.1639,-0.0036,0.395315679107779,0.00433750965016572,0.234142857142857,0.433750965016572
0.5,0.1672,-0.0043,0.395350288269466,0.00443298695023624,0.238857142857143,0.443298695023624
0.51,0.1705,-0.0064,0.395373668597614,0.00449748775321433,0.243571428571429,0.449748775321433
0.52,0.1738,-0.0095,0.39541209520434,0.0046034991078522,0.248285714285714,0.46034991078522
0.53,0.1772,-0.01,0.395440465601261,0.00468176851792092,0.253142857142857,0.468176851792092
0.54,0.1806,-0.0061,0.39546098092754,0.00473836763909045,0.258,0.473836763909045
0.55,0.184,-0.0021,0.395483307978044,0.00479996564525961,0.262857142857143,0.479996564525961
0.56,0.1874,0.0005,0.395519433725302,0.00489963408339555,0.267714285714286,0.489963408339555
