Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0
0,0,0.0098,0.363622030396065,-0.000767677888280161
0.01,0,0.0146,0.363677866931001,-0.000602203361953885
0.02,0,0.0175,0.363711655586999,-0.000502066955979372
0.03,0,0.0159,0.363775841315525,-0.000311841455607895
0.04,0,0.0133,0.363873901469305,-2.12130706546212e-05
0.05,0,0.0122,0.36400159878583,0.00035727167249292
0.06,0,0.0119,0.364119870568472,0.000707838478211168
0.07,0,0.0094,0.364022243148733,0.000418461888716272
0.08,0,0.0055,0.364051303981106,0.000504599576302738
0.09,0.0002,0.0051,0.36395421623807,0.000216831116751755
0.1,0.0002,0.0074,0.363810799243026,-0.000208235379779126
0.11,0.0002,0.0101,0.36370350966169,-0.000526208436935422
0.12,0.0004,0.0121,0.363489704129583,-0.0011598178673162
0.13,0.0005,0.015,0.363303845293433,-0.00171056021502306
0.14,0.0006,0.0176,0.363132830059789,-0.00221727856265035
0.15,0.0009,0.0191,0.363069341080172,-0.00240538697362707
0.16,0.0013,0.0175,0.363063212363066,-0.00242354517894354
0.17,0.0018,0.0136,0.363185708398331,-0.00206060397237265
0.18,0.0025,0.013,0.363196090921921,-0.00202984090629638
0.19,0.0031,0.0173,0.363250867115203,-0.00186753861835407
0.2,0.0038,0.0203,0.36326204818853,-0.00183440853960805
0.21,0.0046,0.0187,0.363271686816977,-0.00180584867384537
0.22,0.0052,0.0146,0.36332010147094,-0.00166239119564981
0.23,0.0059,0.0145,0.363372577955966,-0.00150689472093414
0.24,0.0065,0.0214,0.363352200990576,-0.00156727544608706
0.25,0.0071,0.0304,0.363364693494121,-0.00153025790564676
0.26,0.0077,0.0336,0.363221375009276,-0.00195492443475901
0.27,0.0081,0.0312,0.363252580557111,-0.00186246161476374
0.28,0.0087,0.0284,0.363239539509833,-0.00190110271592636
0.29,0.0091,0.0303,0.363269140593778,-0.00181339330578151
0.3,0.0096,0.034,0.363320692243055,-0.00166064066008664
0.31,0.0099,0.0339,0.363275194343216,-0.00179545562227226
0.32,0.0103,0.0308,0.363240439875354,-0.00189843490686793
0.33,0.0106,0.0288,0.363277371185172,-0.00178900547567057
0.34,0.0109,0.0309,0.363264342294482,-0.00182761096932895
0.35,0.0112,0.0369,0.363276511276607,-0.00179155345021029
0.36,0.0116,0.0422,0.3632552780029,-0.00185446895687469
0.37,0.0119,0.0438,0.363224780677539,-0.0019448334148786
0.38,0.0123,0.0426,0.363264269327383,-0.00182782717521951
0.39,0.0126,0.0382,0.363317376148709,-0.00167046667848454
0.4,0.013,0.0326,0.363346001824466,-0.00158564461894811
0.41,0.0135,0.0327,0.363475103993686,-0.00120308301571123
0.42,0.0138,0.038,0.363465496122359,-0.0012315542444262
0.43,0.0142,0.0449,0.363488535112067,-0.0011632820722498
0.44,0.0144,0.0474,0.363492636750731,-0.00115112748457769
0.45,0.0149,0.0463,0.363526614586029,-0.00105043846642799
0.46,0.0151,0.0468,0.363547426200875,-0.000988765148827877
0.47,0.0155,0.0491,0.363572973075246,-0.000913058565649602
0.48,0.0157,0.0465,0.363539038633562,-0.00101362100421174
0.49,0.0161,0.0403,0.363519607562397,-0.00107120301565903
0.5,0.0163,0.0353,0.363514530303756,-0.00108624887789014
0.51,0.0166,0.0369,0.363509555479602,-0.00110099115553819
0.52,0.017,0.043,0.363502272839551,-0.00112257230383302
0.53,0.0174,0.05,0.363579237760373,-0.000894493431106736
0.54,0.0177,0.0549,0.363549681885919,-0.00098208059919939
0.55,0.0182,0.0572,0.363586799629388,-0.000872084079088234
0.56,0.0185,0.0587,0.363627136720719,-0.000752545190505305
0.57,0.0189,0.0586,0.363520198526107,-0.00106945176167189
0.58,0.0192,0.0571,0.36345889277835,-0.00125112201899559
0.59,0.0196,0.0552,0.363489123817541,-0.00116153753367222
0.6,0.02,0.0526,0.363507276523001,-0.00110774455171199
0.61,0.0203,0.0518,0.363480054378859,-0.00118841337805356
0.62,0.0207,0.0534,0.363396555708107,-0.00143584351757666
0.63,0.0209,0.0541,0.363411467149972,-0.00139165735832318
0.64,0.0212,0.0535,0.363509395218004,-0.00110146607048608
0.65,0.0215,0.0535,0.363557733129895,-0.000958221302131144
0.66,0.0217,0.0551,0.363558308643113,-0.000956515805886032
0.67,0.0221,0.0559,0.363701313806789,-0.000532716116423144
0.68,0.0224,0.0547,0.363681586274346,-0.000591180749523682
0.69,0.0227,0.0556,0.363881035527181,-6.88374106852639e-08
0.7,0.0231,0.06,0.363890442712971,2.78126914003144e-05
0.71,0.0235,0.0655,0.363941481394967,0.000179085884903274
0.72,0.0238,0.0678,0.364010984874891,0.000385092120479696
0.73,0.0242,0.0676,0.364004308322259,0.000365302750001184
0.74,0.0246,0.0663,0.363995148672509,0.000338153546934024
0.75,0.0249,0.0651,0.363983702754274,0.000304227994563232
0.76,0.0253,0.0628,0.363467379435882,-0.00122597338693038
0.77,0.0256,0.062,0.363439626116787,-0.0013082148474357
0.78,0.026,0.0627,0.363387309350242,-0.00146324253881899
0.79,0.0262,0.0647,0.363352404405149,-0.0015666726936276
0.8,0.0266,0.0662,0.363289386840239,-0.00175340207610959
0.81,0.0269,0.0676,0.362937662491041,-0.00279551464273628
0.82,0.0272,0.0688,0.36289101983476,-0.00293369877078215
0.83,0.0275,0.0695,0.362829603419659,-0.00311564758501009
0.84,0.0277,0.0699,0.362852928437162,-0.00304654676875468
0.85,0.0281,0.0693,0.362896264416604,-0.00291816124447114
0.86,0.0283,0.0698,0.362993653682793,-0.00262963075280587
0.87,0.0287,0.0725,0.363068185388336,-0.00240881106904183
0.88,0.029,0.0744,0.363202025216446,-0.00201225773054794
0.89,0.0294,0.0751,0.363234576971841,-0.00191580684082893
0.9,0.0297,0.0738,0.36327855863235,-0.00178548697773043
0.91,0.0301,0.0728,0.363287904729572,-0.00175779370501913
0.92,0.0305,0.0718,0.363192733067306,-0.00203979013097274
0.93,0.0308,0.0707,0.363112802210125,-0.00227661866088325
0.94,0.0312,0.0684,0.363063418762569,-0.00242293365785531
0.95,0.0315,0.0693,0.363149744251018,-0.00216716345881365
0.96,0.0319,0.0749,0.363198248256734,-0.00202344877895849
0.97,0.0321,0.0815,0.363332573264896,-0.00162543553331289
0.98,0.0325,0.0847,0.363401111544798,-0.00142234351685323
0.99,0.0327,0.0847,0.363398526041201,-0.00143000496690674
1,0.0331,0.0827,0.363409020143801,-0.00139890844081333
1.01,0.0333,0.0817,0.363411270525118,-0.00139224000651762
1.02,0.0336,0.0818,0.363325955657365,-0.00164504445076549
1.03,0.034,0.0795,0.363276609693778,-0.0017912618326891
1.04,0.0344,0.0749,0.36313438322923,-0.00221267668787619
1.05,0.0347,0.071,0.363108307202572,-0.00228993675461461
1.06,0.0351,0.0726,0.363120487379092,-0.00225384849458106
1.07,0.0354,0.0804,0.363051141618936,-0.0024593083225521
1.08,0.0358,0.0876,0.363023271183877,-0.00254188200443997
1.09,0.0361,0.0891,0.362929295788104,-0.00282030214810803
1.1,0.0365,0.0882,0.36282674554961,-0.0031241140325934
1.11,0.037,0.0889,0.362807473884057,-0.00318120612035074
1.12,0.0373,0.0898,0.362760893694366,-0.00331919743747398
1.13,0.0375,0.0896,0.36268217516585,-0.003552390561066
1.14,0.0379,0.0886,0.362670762058413,-0.00358619970987572
1.15,0.0382,0.0893,0.362577245112507,-0.00386321951523
1.16,0.0385,0.0917,0.362643377945806,-0.0036673192294782
1.17,0.0388,0.0919,0.362644525902937,-0.0036639186736341
1.18,0.0392,0.089,0.362689905575069,-0.00352949060712942
1.19,0.0394,0.087,0.36275022282243,-0.00335080893377242
1.2,0.0398,0.0889,0.362788100554808,-0.00323859890734038
1.21,0.0401,0.0919,0.36278448479692,-0.00324931040616563
1.22,0.0405,0.0923,0.362856379528073,-0.00303632278603321
1.23,0.0408,0.0929,0.362801012460097,-0.00320034790835989
1.24,0.0412,0.0954,0.362793715596287,-0.00322196459945972
1.25,0.0417,0.0981,0.36278021019817,-0.00326197366598351
1.26,0.042,0.0998,0.362733425059033,-0.00340057049902188
1.27,0.0424,0.099,0.362775847317398,-0.00327489843228521
1.28,0.0427,0.0965,0.36286473166696,-0.00301157920691038
1.29,0.043,0.0953,0.362922454569927,-0.00284057012911162
1.3,0.0433,0.096,0.362926567139085,-0.00282838612585815
1.31,0.0437,0.0979,0.362908632276992,-0.00288152025158416
1.32,0.0439,0.0996,0.362911065669107,-0.00287431106705462
1.33,0.0442,0.0997,0.362886641892118,-0.00294666877675171
1.34,0.0445,0.0991,0.362901299760082,-0.00290324357180876
1.35,0.0449,0.1,0.362900619575493,-0.00290525868371059
1.36,0.0452,0.1022,0.362923119616018,-0.00283859984790846
1.37,0.0456,0.1026,0.362972309832175,-0.00269286618878678
1.38,0.0458,0.1021,0.362968191848314,-0.00270506647446428
1.39,0.0462,0.1033,0.362982037843577,-0.00266404507715978
1.4,0.0465,0.1048,0.362900897535713,-0.00290443520004537
1.41,0.0469,0.1057,0.362911743973923,-0.00287230151510637
1.42,0.0472,0.107,0.363058262067824,-0.00243821191279395
1.43,0.0476,0.1083,0.363187897798793,-0.0020541168643511
