Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0
0,0,0.0038,0.198577387532479,9.93017025559241e-05
0.01,0,0.0071,0.198576530563726,9.4807234361489e-05
0.02,0,0.0085,0.198548261933843,-5.34498482350101e-05
0.03,0,0.0042,0.198555903591082,-1.33727399316872e-05
0.04,0.0001,-0.0034,0.198522953144814,-0.000186182328446073
0.05,0.0001,-0.0084,0.198539105280688,-0.000101472271230983
0.06,0.0001,-0.0084,0.198530117483905,-0.00014860894230141
0.07,0.0002,-0.0076,0.198552395083268,-3.17733256040308e-05
0.08,0.0002,-0.0067,0.198562906675585,2.33554491696305e-05
0.09,0.0004,-0.0053,0.198618971439792,0.000317395069663763
0.1,0.0006,-0.0015,0.198627345761322,0.000361315978046332
0.11,0.0013,0.0046,0.198663330868835,0.000550049263090973
0.12,0.0026,0.0119,0.198675533887285,0.00061405181952817
0.13,0.0046,0.0168,0.198707901487557,0.00078381542371441
0.14,0.0071,0.0182,0.19869380745268,0.000709893871156527
0.15,0.0102,0.0172,0.198688305551193,0.000681037163793819
0.16,0.0136,0.0193,0.198651790772865,0.000489523910754641
0.17,0.0171,0.0258,0.198635879125399,0.000406071176457141
0.18,0.021,0.0327,0.198573736708766,8.01545616000434e-05
0.19,0.025,0.0372,0.198558447658731,-3.02033854908871e-08
0.2,0.0289,0.0421,0.198489753615047,-0.000360295843944366
0.21,0.0329,0.0507,0.198484479880715,-0.000387953496726062
0.22,0.037,0.0635,0.198455544511363,-0.000539701508018524
0.23,0.0411,0.0774,0.198468801211492,-0.000470178589972549
0.24,0.0453,0.0891,0.198467760643038,-0.000475635720229996
0.25,0.0498,0.0987,0.198472867395035,-0.000448853979598189
0.26,0.0543,0.1092,0.198494947018687,-0.000333059419294325
0.27,0.0588,0.1203,0.198464333899935,-0.000493606826315435
0.28,0.0635,0.13,0.1984229936764,-0.000710408201220977
0.29,0.0685,0.1419,0.198383606198719,-0.000916965278517227
0.3,0.0734,0.156,0.198357226766616,-0.00105530324999852
0.31,0.0785,0.1678,0.198265524584915,-0.00153619236781599
0.32,0.0838,0.1763,0.198197729515511,-0.00189170002973162
0.33,0.0894,0.1866,0.198103970623415,-0.00238334172861996
0.34,0.095,0.1998,0.198070037793936,-0.00256126992225904
0.35,0.1008,0.2133,0.198052850127916,-0.00265139319986819
0.36,0.1067,0.2266,0.198099298804756,-0.00240783875209352
0.37,0.1129,0.2405,0.198101787046431,-0.00239479148047311
0.38,0.1192,0.2559,0.198202427359703,-0.00186706552941557
0.39,0.1255,0.2727,0.198233916527448,-0.00170194175623272
0.4,0.1321,0.2891,0.198339190246645,-0.00114988877766966
0.41,0.139,0.3069,0.198356931441291,-0.00105685197474898
0.42,0.1458,0.326,0.198370670566075,-0.000984802000062501
0.43,0.153,0.3447,0.198312070828687,-0.00129210470064726
0.44,0.1604,0.3615,0.198192467324921,-0.00191929378584042
0.45,0.1678,0.3768,0.198144134959752,-0.00217273512144448
0.46,0.1754,0.3922,0.198028313506865,-0.00278004949874668
0.47,0.1832,0.4096,0.197916260597792,-0.0033675754859146
0.48,0.1914,0.4274,0.197787895299127,-0.00404059837939826
0.49,0.1995,0.4461,0.197660858658781,-0.00470661965694721
0.5,0.2079,0.4671,0.197593260064928,-0.00506100778488862
0.51,0.2164,0.4892,0.197610502113521,-0.00497061665538792
0.52,0.2251,0.5114,0.197568232076179,-0.00519221541068307
0.53,0.2337,0.5334,0.197684563007622,-0.00458234636893776
0.54,0.2427,0.5554,0.197690096631088,-0.00455333541511492
0.55,0.2516,0.5779,0.197835735846886,-0.00378977323968306
0.56,0.2608,0.5991,0.197913128630094,-0.0033839969094265
0.57,0.2702,0.6193,0.198053290937859,-0.00264908182738526
0.58,0.2799,0.638,0.198160511898405,-0.00208685963057238
0.59,0.2897,0.6577,0.198177992305738,-0.00199519725236399
0.6,0.2997,0.6795,0.198212226752436,-0.00181567943350034
0.61,0.3098,0.7033,0.198207469532122,-0.00184062539114201
0.62,0.32,0.7281,0.198183212511959,-0.00196782381821134
0.63,0.3307,0.7521,0.19817133653946,-0.00203009831213628
0.64,0.3413,0.7761,0.198157410714663,-0.00210312130304143
0.65,0.3522,0.8014,0.198145964456402,-0.0021631418482329
0.66,0.363,0.8281,0.198113347780594,-0.00233417177396308
0.67,0.374,0.8554,0.198142707824709,-0.00218021853885833
