Tempo,Spostamento,Forza,Voltaggio,R_sensore
10.032,-0.0259,-0.3805,0.192201981713171,11993.1399560953
10.042,-0.0256,-0.3567,0.192032158271827,11982.1199679324
10.052,-0.0184,-0.3363,0.191968515526553,11977.9903363659
10.062,-0.0037,-0.3249,0.191662054923492,11958.1063423222
10.072,0.0189,-0.3165,0.191273970048005,11932.9299812438
10.082,0.0465,-0.3123,0.191163951833183,11925.7934717523
10.092,0.0764,-0.3117,0.191408515568557,11941.6579379807
10.102,0.1066,-0.3126,0.19108286149715,11920.5336249549
10.112,0.1361,-0.3086,0.190809888814882,11902.8288175445
10.122,0.1647,-0.2975,0.19068005009601,11894.4082790634
10.132,0.1921,-0.2792,0.190478301449145,11881.3250082563
10.142,0.2179,-0.2549,0.190181208937894,11862.0607469433
10.152,0.2428,-0.2256,0.189874134764476,11842.1517492981
10.162,0.2667,-0.1935,0.189820673540354,11838.6858778546
10.172,0.2896,-0.1594,0.189369566930693,11809.4438701169
10.182,0.312,-0.1291,0.188447136417642,11749.6663817596
10.192,0.3337,-0.0994,0.18766479240324,11698.9850649011
10.202,0.3551,-0.0684,0.186164214449445,11601.8216704594
10.212,0.3762,-0.041,0.185363255208521,11549.9838326774
10.222,0.3969,-0.0169,0.184065905745575,11466.056354374
10.232,0.4174,0.007,0.183051320408041,11400.4528126017
10.242,0.4379,0.0347,0.182343655451545,11354.7112378334
10.252,0.4582,0.0657,0.180711122373237,11249.2398958803
10.262,0.4786,0.0965,0.17973984190519,11186.5233002008
10.272,0.499,0.1267,0.180085584533453,11208.8453659413
10.282,0.5193,0.1601,0.179140176954695,11147.8149249443
10.292,0.5395,0.1951,0.178875584767477,11130.7385598044
10.302,0.5597,0.2298,0.17832614560456,11095.284603831
10.312,0.5797,0.2658,0.17844649529553,11103.0497818649
10.322,0.5995,0.3033,0.177080344662466,11014.926060389
10.332,0.6196,0.3431,0.177199570774077,11022.6147675689
10.342,0.6397,0.3863,0.17710515640264,11016.5260997401
10.352,0.6599,0.4298,0.176393026153615,10970.6093661871
10.362,0.68,0.4728,0.174970027485749,10878.8978606846
10.372,0.7,0.5153,0.174327946948695,10837.5338211265
10.382,0.7198,0.5551,0.172385706189619,10712.4779879768
10.392,0.7399,0.5949,0.171857527980798,10678.4873671463
10.402,0.7599,0.6362,0.170566591695169,10595.4411589064
10.412,0.7798,0.679,0.16936833479748,10518.3967565272
10.422,0.7997,0.7206,0.168147685250525,10439.9518630099
10.432,0.8198,0.7615,0.166007774167417,10302.5263433574
10.442,0.8397,0.8034,0.164598828220822,10212.1099598604
10.452,0.8597,0.8458,0.16335067420042,10132.0560907162
10.462,0.8799,0.8863,0.161998700933093,10045.3900848066
10.472,0.8998,0.9256,0.160852527860786,9971.95448910419
10.482,0.9197,0.9663,0.159874420705071,9909.31442289312
10.492,0.9397,1.0085,0.15879891870087,9840.46620048201
10.502,0.9598,1.0505,0.157503210378038,9757.56209372729
10.512,0.9799,1.0903,0.155998544269427,9661.34376889236
10.522,0.9999,1.1308,0.154681740936094,9577.18766853372
10.532,1.02,1.1731,0.153424162154215,9496.85926440035
10.542,1.04,1.2138,0.151856745973597,9396.79819779334
10.552,1.06,1.2522,0.150895740417042,9335.48129753057
10.562,1.08,1.2902,0.149427729639964,9241.8618656437
10.572,1.1,1.3286,0.14839010090009,9175.7233569595
10.582,1.1201,1.3672,0.147511373450345,9119.73534424742
10.592,1.1403,1.405,0.146474630753075,9053.70547856861
10.602,1.1601,1.4421,0.145649828985899,9001.19421888378
10.612,1.1802,1.4797,0.144342467845785,8917.99721602773
10.622,1.2003,1.5176,0.143728198838884,8878.92223029108
10.632,1.2201,1.5554,0.143424502193219,8859.60707856737
10.642,1.2399,1.5933,0.142568471431143,8805.17639369471
10.652,1.2599,1.6312,0.141539157077708,8739.75287568073
10.662,1.2798,1.6665,0.140635564713471,8682.34312859346
10.672,1.2997,1.7013,0.139621466645665,8617.93782238437
10.682,1.3196,1.7375,0.138948147548755,8575.19021188934
10.692,1.3398,1.7755,0.137928067743774,8510.45005085535
10.702,1.3598,1.8129,0.136867105925593,8443.14409497392
10.712,1.3797,1.8467,0.135766325268527,8373.34312126905
10.722,1.3998,1.8794,0.134424885862586,8288.32456857986
10.732,1.4197,1.9145,0.133750768277828,8245.61763540171
10.742,1.4398,1.9511,0.132529972019202,8168.30743223991
10.752,1.4599,1.9858,0.131892783060306,8127.97113021802
10.762,1.4799,2.019,0.131306365514552,8090.85816682911
10.772,1.4999,2.0536,0.130416527854785,8034.55954297458
10.782,1.52,2.088,0.129667909936994,7987.21160318143
10.792,1.5399,2.1224,0.12883579939994,7934.60007265219
10.802,1.5599,2.1587,0.128283834494449,7899.71111634767
10.812,1.5801,2.1964,0.12783872940594,7871.58238239227
10.822,1.6,2.2322,0.127227266789679,7832.94894440057
10.832,1.6201,2.2634,0.126661882973297,7797.23548407774
10.842,1.6401,2.2944,0.126023785148515,7756.93886838274
10.852,1.6602,2.3277,0.125519668478848,7725.11077748124
10.862,1.6802,2.3632,0.124856312907291,7683.23895177839
10.872,1.7001,2.3968,0.12425195929793,7645.10132152184
10.882,1.7202,2.4287,0.12359444660366,7603.6198333163
10.892,1.74,2.4607,0.122990990891089,7565.55856230996
10.902,1.76,2.4931,0.122389328622862,7527.61978366185
10.912,1.7798,2.5264,0.121747098538854,7487.13326254905
10.922,1.7998,2.5593,0.121365038538854,7463.05305670001
10.932,1.8198,2.5927,0.120662844251425,7418.80548934398
10.942,1.8397,2.6254,0.120288360123012,7395.21322161844
10.952,1.8596,2.6568,0.119825373429343,7366.05035260051
10.962,1.8796,2.6879,0.119379750030003,7337.98639818803
10.972,1.8996,2.7203,0.118890265076508,7307.1660872036
