Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0,Strain_Percentuale,DeltaR_Percentuale
0,0.0001,-0.0017,0.204864671771579,-0.000712406645177239,0.0002,-0.0712406645177239
0.01,0.0001,-0.0057,0.204896906067192,-0.000548455798760739,0.0002,-0.0548455798760739
0.02,0.0004,-0.001,0.204928724265578,-0.000386619154244479,0.0008,-0.0386619154244479
0.03,0.0011,0.0072,0.204960126366736,-0.000226896795846586,0.0022,-0.0226896795846586
0.04,0.0027,0.0145,0.204991112370667,-6.928880668666e-05,0.0054,-0.006928880668666
0.05,0.0054,0.0185,0.205021682277372,8.62047312146508e-05,0.0108,0.00862047312146508
0.06,0.0091,0.0187,0.205051836086849,0.0002395837369348,0.0182,0.02395837369348
0.07,0.0133,0.0187,0.205081573799099,0.000390848130651329,0.0266,0.0390848130651329
0.08,0.0179,0.0194,0.205110895414122,0.000539997833639737,0.0358,0.0539997833639737
0.09,0.0228,0.023,0.205139800931917,0.000687032768275045,0.0456,0.0687032768275045
0.1,0.0276,0.028,0.205168290352486,0.000831952858031649,0.0552,0.0831952858031649
0.11,0.0321,0.0365,0.205196363675828,0.000974758027483467,0.0642,0.0974758027483467
0.12,0.0364,0.0493,0.205224020901942,0.00111544820230294,0.0728,0.111544820230294
0.13,0.0405,0.0637,0.205251262030829,0.00125402330926304,0.081,0.125402330926304
0.14,0.0445,0.0765,0.205278087062489,0.00139048327623608,0.089,0.139048327623608
0.15,0.0484,0.0836,0.205304495996923,0.00152482803219364,0.0968,0.152482803219364
0.16,0.0522,0.0858,0.205330488834128,0.0016570575072078,0.1044,0.16570575072078
0.17,0.0558,0.0874,0.205356065574107,0.00178717163244989,0.1116,0.178717163244989
0.18,0.0594,0.092,0.205381226216859,0.00191517034019229,0.1188,0.191517034019229
0.19,0.0629,0.0987,0.205405970762384,0.00204105356380552,0.1258,0.204105356380552
0.2,0.0665,0.1051,0.205430299210681,0.00216482123776242,0.133,0.216482123776242
0.21,0.07,0.1116,0.205454211561752,0.00228647329763494,0.14,0.228647329763494
0.22,0.0734,0.1197,0.205477707815595,0.00240600968009555,0.1468,0.240600968009555
0.23,0.0769,0.1279,0.205500787972211,0.00252343032291695,0.1538,0.252343032291695
0.24,0.0803,0.1353,0.2055234520316,0.00263873516497275,0.1606,0.263873516497275
0.25,0.0837,0.1414,0.205545699993762,0.00275192414623681,0.1674,0.275192414623681
0.26,0.0871,0.1474,0.205567531858697,0.00286299720778394,0.1742,0.286299720778394
0.27,0.0905,0.1531,0.205588947626404,0.00297195429178929,0.181,0.297195429178929
0.28,0.094,0.1578,0.205609947296885,0.00307879534152926,0.188,0.307879534152926
0.29,0.0973,0.1619,0.205630530870138,0.00318352030138103,0.1946,0.318352030138103
0.3,0.1005,0.1674,0.205650698346165,0.00328612911682215,0.201,0.328612911682215
0.31,0.1037,0.1735,0.205670449724964,0.00338662173443224,0.2074,0.338662173443224
0.32,0.107,0.1813,0.205689785006536,0.00348499810189117,0.214,0.348499810189117
0.33,0.1104,0.1874,0.205708704190881,0.00358125816798016,0.2208,0.358125816798016
0.34,0.1138,0.1926,0.205727207277999,0.00367540188258192,0.2276,0.367540188258192
0.35,0.1171,0.1983,0.205745294267889,0.00376742919668011,0.2342,0.376742919668011
0.36,0.1204,0.2041,0.205762965160553,0.00385734006236034,0.2408,0.385734006236034
0.37,0.1237,0.2106,0.20578021995599,0.00394513443280884,0.2474,0.394513443280884
0.38,0.127,0.218,0.205797058654199,0.00403081226231408,0.254,0.403081226231408
0.39,0.1303,0.2251,0.205813481255181,0.00411437350626531,0.2606,0.411437350626531
0.4,0.1338,0.2303,0.205829487758936,0.004195818121154,0.2676,0.4195818121154
0.41,0.1373,0.2364,0.205845078165465,0.00427514606457299,0.2746,0.427514606457299
0.42,0.1406,0.2436,0.205860252474765,0.00435235729521689,0.2812,0.435235729521689
0.43,0.144,0.2517,0.205875010686839,0.00442745177288255,0.288,0.442745177288255
0.44,0.1473,0.2564,0.205889352801686,0.00450042945846746,0.2946,0.450042945846746
0.45,0.1506,0.2597,0.205903278819306,0.00457129031397217,0.3012,0.457129031397217
0.46,0.1541,0.2656,0.205916788739698,0.00464003430249846,0.3082,0.464003430249846
0.47,0.1575,0.272,0.205929882562863,0.0047066613882506,0.315,0.47066613882506
0.48,0.1608,0.278,0.205942560288802,0.00477117153653424,0.3216,0.477117153653424
0.49,0.1641,0.2835,0.205954821917513,0.00483356471375779,0.3282,0.483356471375779
0.5,0.1673,0.2888,0.205966667448997,0.00489384088743104,0.3346,0.489384088743104
0.51,0.1706,0.2962,0.205978096883254,0.00495200002616655,0.3412,0.495200002616655
0.52,0.1739,0.3029,0.205989110220283,0.00500804209967853,0.3478,0.500804209967853
0.53,0.1772,0.31,0.205999707460086,0.00506196707878398,0.3544,0.506196707878398
0.54,0.1806,0.3196,0.206009888602662,0.00511377493540153,0.3612,0.511377493540153
0.55,0.184,0.3279,0.20601965364801,0.00516346564255304,0.368,0.516346564255304
0.56,0.1874,0.3349,0.206029002596131,0.00521103917436128,0.3748,0.521103917436128
0.57,0.1905,0.3394,0.206037935447026,0.00525649550605325,0.381,0.525649550605325
0.58,0.1938,0.343,0.206046452200693,0.0052998346139563,0.3876,0.52998346139563
0.59,0.1973,0.3475,0.206054552857133,0.00534105647550169,0.3946,0.534105647550169
0.6,0.2007,0.3531,0.206062237416345,0.00538016106922292,0.4014,0.538016106922292
0.61,0.2041,0.3585,0.206069505878331,0.00541714837475554,0.4082,0.541714837475554
0.62,0.2074,0.3657,0.20607635824309,0.0054520183728376,0.4148,0.54520183728376
0.63,0.2108,0.3755,0.206082794510621,0.00548477104531038,0.4216,0.548477104531038
0.64,0.2142,0.3848,0.206088814680926,0.00551540637511677,0.4284,0.551540637511677
0.65,0.2175,0.3933,0.206094418754003,0.00554392434630304,0.435,0.554392434630304
0.66,0.2208,0.4003,0.206099606729853,0.00557032494401794,0.4416,0.557032494401794
0.67,0.2241,0.4058,0.206104378608476,0.00559460815451202,0.4482,0.559460815451202
0.68,0.2274,0.4113,0.206108734389872,0.00561677396513988,0.4548,0.561677396513988
0.69,0.2306,0.4156,0.206112674074041,0.00563682236435762,0.4612,0.563682236435762
0.7,0.2337,0.4209,0.206116197660983,0.0056547533417247,0.4674,0.56547533417247
0.71,0.2371,0.4283,0.206119305150697,0.00567056688790252,0.4742,0.567056688790252
0.72,0.2404,0.4352,0.206121996543185,0.00568426299465608,0.4808,0.568426299465608
0.73,0.2437,0.441,0.206124271838445,0.00569584165485262,0.4874,0.569584165485262
0.74,0.2471,0.4461,0.206126131036478,0.00570530286246188,0.4942,0.570530286246188
0.75,0.2504,0.4507,0.206127574137284,0.00571264661255679,0.5008,0.571264661255679
0.76,0.2538,0.4561,0.206128601140863,0.00571787290131293,0.5076,0.571787290131292
0.77,0.2572,0.4607,0.206129212047215,0.00572098172600865,0.5144,0.572098172600865
0.78,0.2607,0.4679,0.20612940685634,0.00572197308502439,0.5214,0.572197308502439
0.79,0.2641,0.4776,0.206129185568238,0.00572084697784436,0.5282,0.572084697784436
0.8,0.2675,0.4873,0.206128548182908,0.00571760340505455,0.535,0.571760340505455
0.81,0.2708,0.4937,0.206127494700352,0.00571224236834458,0.5416,0.571224236834458
0.82,0.2741,0.4988,0.206126025120568,0.00570476387050645,0.5482,0.570476387050645
0.83,0.2775,0.5055,0.206124139443557,0.00569516791543448,0.555,0.569516791543448
0.84,0.2809,0.5132,0.206121837669319,0.00568345450812622,0.5618,0.568345450812622
0.85,0.2842,0.519,0.206119119797854,0.00566962365468229,0.5684,0.566962365468229
0.86,0.2875,0.523,0.206115985829162,0.00565367536230494,0.575,0.565367536230494
0.87,0.2908,0.5276,0.206112435763243,0.00563560963929993,0.5816,0.563560963929993
0.88,0.2941,0.5342,0.206108469600096,0.00561542649507577,0.5882,0.561542649507577
0.89,0.2974,0.54,0.206104087339723,0.00559312594014322,0.5948,0.559312594014322
0.9,0.3007,0.5462,0.206099288982122,0.00556870798611594,0.6014,0.556870798611594
0.91,0.304,0.5541,0.206094074527294,0.00554217264571038,0.608,0.554217264571038
0.92,0.3073,0.5623,0.206088443975239,0.00551351993274563,0.6146,0.551351993274563
0.93,0.3106,0.5691,0.206082397325957,0.00548274986214314,0.6212,0.548274986214314
0.94,0.3139,0.5731,0.206075934579448,0.00544986244992712,0.6278,0.544986244992712
0.95,0.3173,0.5772,0.206069055735712,0.00541485771322388,0.6346,0.541485771322388
0.96,0.3206,0.584,0.206061760794749,0.00537773567026364,0.6412,0.537773567026363
0.97,0.3239,0.5919,0.206054049756558,0.00533849634037767,0.6478,0.533849634037767
0.98,0.3272,0.5997,0.206045922621141,0.00529713974400064,0.6544,0.529713974400064
0.99,0.3307,0.6065,0.206037379388496,0.00525366590266911,0.6614,0.525366590266911
1,0.334,0.6126,0.206028420058624,0.00520807483902272,0.668,0.520807483902272
1.01,0.3374,0.6181,0.206019044631526,0.00516036657680347,0.6748,0.516036657680347
1.02,0.3407,0.6228,0.206009253107199,0.00511054114085484,0.6814,0.511054114085484
1.03,0.344,0.6285,0.205999045485646,0.00505859855712399,0.688,0.505859855712399
1.04,0.3473,0.634,0.205988421766866,0.00500453885265953,0.6946,0.500453885265953
1.05,0.3506,0.6394,0.205977381950859,0.00494836205561276,0.7012,0.494836205561276
1.06,0.3539,0.645,0.205965926037624,0.00489006819523701,0.7078,0.489006819523701
1.07,0.3574,0.6545,0.205954054027163,0.00482965730188799,0.7148,0.4829657301888
1.08,0.3608,0.6658,0.205941765919474,0.00476712940702349,0.7216,0.476712940702349
1.09,0.3641,0.6729,0.205929061714558,0.00470248454320349,0.7282,0.470248454320349
1.1,0.3673,0.6762,0.205915941412415,0.00463572274409005,0.7346,0.463572274409005
1.11,0.3707,0.6805,0.205902405013045,0.00456684404444774,0.7414,0.456684404444774
1.12,0.374,0.6864,0.205888452516448,0.0044958484801422,0.748,0.44958484801422
1.13,0.3773,0.6931,0.205874083922624,0.00442273608814184,0.7546,0.442273608814184
1.14,0.3807,0.6985,0.205859299231572,0.00434750690651604,0.7614,0.434750690651604
1.15,0.384,0.7028,0.205844098443294,0.00427016097443736,0.768,0.427016097443736
1.16,0.3873,0.7084,0.205828481557788,0.00419069833217959,0.7746,0.419069833217959
1.17,0.3906,0.7155,0.205812448575055,0.00410911902111788,0.7812,0.410911902111788
1.18,0.394,0.7234,0.205795999495095,0.00402542308372974,0.788,0.402542308372974
1.19,0.3973,0.7311,0.205779134317908,0.00393961056359375,0.7946,0.393961056359375
