Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0
0,0,-0.0149,0.247458409678114,0.000738837156971209
0.01,0,-0.0087,0.24741612059686,0.000558914025701609
0.02,0,-0.0058,0.247402561382323,0.000501225667462992
0.03,0,-0.0097,0.247378201022744,0.000397584122903109
0.04,0,-0.012,0.24728382694555,-3.92188690010236e-06
0.05,0,-0.0043,0.247232848987001,-0.000220796386443182
0.06,0,0.0059,0.247190550314304,-0.000400743243835355
0.07,0,0.0069,0.247173211808722,-0.000474503724800656
0.08,0.0002,-0.0008,0.247135534241233,-0.000634787626844523
0.09,0.0002,-0.0095,0.247176196113465,-0.000461808104213704
0.1,0.0002,-0.012,0.247140401809009,-0.000614080680438322
0.11,0.0004,-0.0115,0.247163060158332,-0.000517690046758138
0.12,0.0005,-0.0109,0.247140159658069,-0.000615110807112689
0.13,0.0006,-0.0106,0.247103112605732,-0.000772710267580779
0.14,0.0007,-0.0106,0.247087636220615,-0.000838546625320385
0.15,0.0009,-0.0064,0.247073403370558,-0.000899092621281952
0.16,0.0012,-0.001,0.24710653725564,-0.000758141789777376
0.17,0.0015,0.0053,0.247085686193709,-0.000846841986110202
0.18,0.0018,0.0079,0.247074401665185,-0.000894845926216263
0.19,0.002,0.0053,0.247060637022724,-0.000953399864776454
0.2,0.0024,-0.0007,0.247051580483587,-0.000991925637713514
0.21,0.0027,-0.0036,0.247037637737083,-0.00105123664808332
0.22,0.0031,-0.0022,0.2470403550721,-0.00103967741155228
0.23,0.0035,0,0.247003665308737,-0.00119575040917129
0.24,0.004,0.0008,0.247020847094806,-0.00112266185246819
0.25,0.0045,0.0003,0.246942886186795,-0.00145429078555486
0.26,0.0051,0.0016,0.246917828278471,-0.00156087942727872
0.27,0.0057,0.0032,0.246900030498938,-0.00163658502956597
0.28,0.0061,0.0059,0.246915551475223,-0.00157056419293826
0.29,0.0067,0.0096,0.24689065586839,-0.00167646123958992
0.3,0.0072,0.0118,0.246900331476993,-0.00163530477766734
0.31,0.0078,0.0123,0.246947681977232,-0.00143389083865064
0.32,0.0084,0.0125,0.246957606894907,-0.00139167289286165
0.33,0.0091,0.0148,0.247025307178583,-0.00110368928645973
0.34,0.0097,0.0181,0.24702096711566,-0.00112215130118735
0.35,0.0103,0.0207,0.247081749054512,-0.000863590447150762
0.36,0.0109,0.0223,0.247056399728101,-0.000971424986025031
0.37,0.0115,0.0243,0.24706310346074,-0.000942907814791034
0.38,0.0119,0.0267,0.247074224592339,-0.000895599185312207
0.39,0.0123,0.0267,0.247090880572192,-0.000824745227917957
0.4,0.0127,0.0243,0.247034860235577,-0.00106305181240956
0.41,0.0131,0.0232,0.247057775811888,-0.000965571236312294
0.42,0.0136,0.0249,0.247007982702466,-0.00117738495979351
0.43,0.0139,0.0273,0.247014319606237,-0.00115042880206803
0.44,0.0143,0.0287,0.246986089171735,-0.00127051592461501
0.45,0.0148,0.0317,0.24701260069327,-0.00115774078529241
0.46,0.0151,0.0353,0.247044473031575,-0.00102216005143382
0.47,0.0155,0.0357,0.247033043046968,-0.00107078191128669
0.48,0.0159,0.0348,0.24702859891408,-0.0010896866860658
0.49,0.0163,0.035,0.247051410863626,-0.000992647185681744
