Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0
0,0,-0.0023,0.227957194111104,-3.03385520143685e-05
0.01,0,0.0113,0.227958689041268,-2.34675474652687e-05
0.02,0.0002,0.0106,0.227960173437058,-1.66449567974492e-05
0.03,0.0004,0.0018,0.227961647298472,-9.87078010128052e-06
0.04,0.0007,-0.0018,0.227963110625512,-3.14501746649851e-06
0.05,0.0015,0.0067,0.227964563418176,3.53233101792246e-06
0.06,0.0031,0.0186,0.227966005676465,1.01612652637696e-05
0.07,0.0052,0.0199,0.227967437400379,1.67417851828302e-05
0.08,0.008,0.0089,0.227968858589918,2.32738906884144e-05
0.09,0.011,-0.0035,0.227970269245082,2.9757581693198e-05
0.1,0.014,-0.0093,0.22797166936587,3.61928581122682e-05
0.11,0.017,-0.0102,0.227973058952284,4.25797198599508e-05
0.12,0.0198,-0.012,0.227974438004323,4.89181668512061e-05
0.13,0.0225,-0.0154,0.227975806521986,5.52081990030251e-05
0.14,0.0251,-0.0155,0.227977164505274,6.14498162313836e-05
0.15,0.0277,-0.0072,0.227978511954188,6.76430184537805e-05
0.16,0.0302,0.0064,0.227979848868726,7.37878055883492e-05
0.17,0.0327,0.0175,0.227981175248889,7.98841775537308e-05
0.18,0.0351,0.0207,0.227982491094677,8.59321342688204e-05
0.19,0.0373,0.0156,0.22798379640609,9.19316756539091e-05
0.2,0.0394,0.0068,0.227985091183128,9.78828016292882e-05
0.21,0.0414,0.0001,0.227986375425791,0.000103785512116264
0.22,0.0434,-0.0039,0.227987649134079,0.000109639807036524
0.23,0.0456,-0.0048,0.227988912307992,0.000115445686312644
0.24,0.0477,-0.0059,0.227990164947529,0.000121203149867708
0.25,0.0497,-0.0066,0.227991407052692,0.00012691219762556
0.26,0.0518,-0.0038,0.227992638623479,0.000132572829510173
0.27,0.054,0.0006,0.227993859659891,0.000138185045447169
0.28,0.056,0.005,0.227995070161929,0.000143748845361915
0.29,0.0581,0.0052,0.227996270129591,0.000149264229180415
0.3,0.0601,0.0031,0.227997459562878,0.000154731196830068
0.31,0.0621,0.0021,0.22799863846179,0.000160149748238526
0.32,0.064,0.0033,0.227999806826327,0.000165519883333823
0.33,0.066,0.0065,0.228000964656489,0.000170841602044501
0.34,0.068,0.0078,0.228002111952275,0.000176114904300623
0.35,0.07,0.0053,0.228003248713687,0.000181339790032
0.36,0.072,-0.0007,0.228004374940724,0.000186516259169966
0.37,0.074,-0.0063,0.228005490633385,0.000191644311645093
0.38,0.076,-0.0082,0.228006595791672,0.000196723947389984
0.39,0.0782,-0.0083,0.228007690415583,0.000201755166337368
0.4,0.08,-0.0085,0.228008774505119,0.000206737968420611
0.41,0.082,-0.0071,0.22800984806028,0.000211672353573457
0.42,0.0839,-0.0037,0.228010911081067,0.000216558321731047
0.43,0.0859,0.0018,0.228011963567478,0.000221395872828143
0.44,0.088,0.0063,0.228013005519513,0.000226185006800647
0.45,0.0898,0.0101,0.228014036937174,0.000230925723585732
0.46,0.092,0.0124,0.22801505782046,0.000235618023120061
0.47,0.094,0.0133,0.228016068169371,0.000240261905341569
0.48,0.096,0.0095,0.228017067983906,0.000244857370188951
0.49,0.0981,0.0034,0.228018057264067,0.000249404417601283
0.5,0.1002,-0.0024,0.228019036009852,0.000253903047518148
0.51,0.1022,-0.0053,0.228020004221263,0.000258353259879766
0.52,0.1042,-0.0072,0.228020961898298,0.000262755054628131
0.53,0.1061,-0.0073,0.228021909040958,0.00026710843170397
0.54,0.1081,-0.0072,0.228022845649243,0.000271413391050166
0.55,0.1101,-0.0049,0.228023771723153,0.000275669932609349
0.56,0.1122,-0.0006,0.228024687262688,0.000279878056325419
0.57,0.1142,0.0048,0.228025592267848,0.000284037762142401
0.58,0.1162,0.0101,0.228026486738633,0.000288149050005464
0.59,0.1183,0.0135,0.228027370675042,0.000292211919860158
0.6,0.1203,0.0108,0.228028244077077,0.000296226371652158
0.61,0.1224,0.0058,0.228029106944736,0.000300192405329044
0.62,0.1243,0.0011,0.228029959278021,0.000304110020837509
0.63,0.1264,-0.001,0.22803080107693,0.000307979218126401
0.64,0.1283,-0.0025,0.228031632341465,0.000311799997143807
0.65,0.1303,-0.005,0.228032453071624,0.000315572357839721
0.66,0.1322,-0.0074,0.228033263267408,0.000319296300163879
0.67,0.1342,-0.0062,0.228034062928817,0.000322971824067034
0.68,0.1362,0,0.228034852055851,0.000326598929500066
0.69,0.1382,0.0059,0.22803563064851,0.000330177616415634
0.7,0.1402,0.006,0.228036398706793,0.000333707884765885
0.71,0.1423,0.0029,0.228037156230702,0.000337189734504112
0.72,0.1443,0.0016,0.228037903220236,0.000340623165584621
0.73,0.1462,0.004,0.228038639675394,0.000344008177961339
0.74,0.1482,0.0064,0.228039365596178,0.000347344771589589
0.75,0.1502,0.0063,0.228040080982586,0.000350632946425454
0.76,0.1521,0.0028,0.228040785834619,0.000353872702425018
0.77,0.1541,-0.0025,0.228041480152277,0.000357064039545634
0.78,0.1561,-0.0058,0.22804216393556,0.000360206957745037
0.79,0.1582,-0.0066,0.228042837184468,0.000363301456981469
0.8,0.1602,-0.0038,0.228043499899001,0.000366347537214058
0.81,0.1622,-0.0016,0.228044152079159,0.000369345198402064
0.82,0.1643,-0.0005,0.228044793724942,0.000372294440506519
0.83,0.1663,0.0016,0.22804542483635,0.000375195263487569
0.84,0.1683,0.0051,0.228046045413382,0.00037804766730739
0.85,0.1704,0.009,0.22804665545604,0.000380851651927906
0.86,0.1724,0.0095,0.228047254964322,0.000383607217311927
0.87,0.1744,0.0077,0.228047843938229,0.000386314363423407
0.88,0.1764,0.0048,0.228048422377762,0.000388973090226044
0.89,0.1783,0.002,0.228048990282919,0.000391583397684681
0.9,0.1803,-0.0006,0.228049547653701,0.000394145285764794
0.91,0.1823,-0.0019,0.228050094490108,0.000396658754432368
0.92,0.1843,-0.0013,0.22805063079214,0.000399123803654274
0.93,0.1864,-0.0002,0.228051156559797,0.000401540433397894
0.94,0.1884,0.0003,0.228051671793079,0.000403908643630861
0.95,0.1904,0.0008,0.228052176491985,0.000406228434322206
0.96,0.1923,-0.0002,0.228052670656517,0.000408499805441086
0.97,0.1943,-0.0002,0.228053154286673,0.000410722756957165
0.98,0.1962,0.0005,0.228053627382455,0.000412897288841379
0.99,0.1982,0.0027,0.228054089943861,0.000415023401064915
1,0.2002,0.0043,0.228053059841363,0.000410288649696203
1.01,0.2021,0.0033,0.228042427808174,0.000361419813084194
1.02,0.2041,0.0017,0.228036513774961,0.000334236778983151
1.03,0.206,0.0002,0.228038947776674,0.000345424322396193
1.04,0.208,-0.0016,0.22801839115959,0.000250939108435295
1.05,0.2101,-0.0038,0.228012133252679,0.000222175798377165
1.06,0.2121,-0.0062,0.228003553661342,0.000182741418477498
1.07,0.2142,-0.0065,0.227990370864658,0.000122149599895893
1.08,0.2162,-0.0044,0.227982029693689,8.38114194169654e-05
1.09,0.2182,-0.0004,0.227986814058414,0.000105801581504329
1.1,0.2202,0.0049,0.22798321803103,8.92733171915932e-05
1.11,0.2222,0.0085,0.227970137021927,2.91498539298383e-05
1.12,0.2241,0.008,0.227955916689676,-3.62098385454379e-05
1.13,0.2261,0.0059,0.227944014605306,-9.09140678292152e-05
1.14,0.2281,0.005,0.227893567507043,-0.000322775436661281
1.15,0.2301,0.0027,0.227889560906365,-0.000341190079906168
1.16,0.2321,-0.0004,0.227891405077373,-0.000332714132703658
1.17,0.2341,-0.004,0.227879987612178,-0.000385189547190674
1.18,0.2361,-0.0046,0.227928619646878,-0.000161671801691753
1.19,0.2381,-0.0026,0.227918877209257,-0.000206449394329634
1.2,0.2401,-0.0002,0.227916367440164,-0.000217984611069989
1.21,0.2421,-0.0001,0.227918720539233,-0.000207169469964908
1.22,0.2441,0.0009,0.227915056353506,-0.000224010526639719
1.23,0.246,0.0039,0.227917211795544,-0.000214103848118472
1.24,0.2482,0.0072,0.227916864684542,-0.000215699213869204
1.25,0.2502,0.0083,0.227904604726396,-0.000272047372188144
1.26,0.2522,0.0057,0.227888778347396,-0.00034478677718749
1.27,0.2542,0.0021,0.227881252739139,-0.000379374953558592
1.28,0.2563,0.002,0.227885713946723,-0.000358870971635615
1.29,0.2583,0.0029,0.227888915184817,-0.000344157862648224
1.3,0.2603,0.0036,0.227883796978351,-0.000367681479791639
1.31,0.2622,0.003,0.227905005745507,-0.000270204247445887
1.32,0.2641,0.001,0.227901027389644,-0.000288489163119994
1.33,0.2661,-0.0003,0.227906623670494,-0.000262768096012718
1.34,0.2681,0.0011,0.227919320476415,-0.00020441208105137
1.35,0.2701,0.0011,0.227892604954361,-0.000327199405249512
1.36,0.2721,-0.0003,0.227907691589223,-0.000257859827755213
1.37,0.2741,-0.0005,0.227907286191388,-0.000259723079654457
1.38,0.2762,0.0021,0.22790325148591,-0.000278267001218745
1.39,0.2784,0.0069,0.227917030699487,-0.0002149361883637
1.4,0.2804,0.0091,0.227913874591402,-0.000229442047812988
1.41,0.2824,0.0082,0.22792129093006,-0.000195355616254399
