Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0
0,0.0001,-0.039,0.261740091271287,0.0016064131009162
0.01,0.0001,-0.0334,0.261659424482775,0.00128067741099761
0.02,0.0001,-0.0253,0.261576156605296,0.000944450053537258
0.03,0.0001,-0.0269,0.261527716386342,0.000748858733044728
0.04,0.0001,-0.0365,0.261355324487075,5.28092809075187e-05
0.05,0.0001,-0.0401,0.261262375001025,-0.000322462506463474
0.06,0.0001,-0.029,0.261179942090892,-0.000655262632126037
0.07,0.0004,-0.0117,0.261114248618035,-0.000920473609237513
0.08,0.0005,-0.0045,0.261034059497206,-0.00124419496977994
0.09,0.0008,-0.0113,0.260972967384289,-0.00149081486179789
0.1,0.0017,-0.0223,0.26093009352306,-0.0016638865491011
0.11,0.0028,-0.029,0.260869428317566,-0.00190877235565899
0.12,0.0046,-0.0289,0.260911295844454,-0.00173976736607154
0.13,0.007,-0.0259,0.2609858679863,-0.00143873755476931
0.14,0.0096,-0.0236,0.261070694388134,-0.00109630224300594
0.15,0.0124,-0.024,0.261145510457355,-0.000794267422367186
0.16,0.0156,-0.0216,0.261166763553096,-0.000708466268132737
0.17,0.0189,-0.0113,0.261124260236039,-0.000880056202767004
0.18,0.0224,0.0094,0.261198064910873,-0.000582097740737197
0.19,0.026,0.032,0.26123877863174,-0.000417727518361396
0.2,0.0296,0.0462,0.261252140968445,-0.000363780218224344
0.21,0.0334,0.0511,0.261249764033594,-0.000373376557388098
0.22,0.0372,0.0529,0.261245820828851,-0.000389296337283837
0.23,0.0411,0.0564,0.261219882577602,-0.000494015385315816
0.24,0.0452,0.0645,0.261175317877784,-0.000673931273437262
0.25,0.0495,0.0754,0.261076748083794,-0.0010718636381558
0.26,0.0537,0.0825,0.261082754856451,-0.00104761439847737
0.27,0.0582,0.0862,0.260978760366956,-0.00146742971401728
0.28,0.0629,0.0891,0.260856257981032,-0.00196193591473269
0.29,0.0678,0.098,0.260610247034777,-0.0029549327302121
0.3,0.0727,0.1172,0.26048763139151,-0.00344981913757033
0.31,0.078,0.1374,0.260600754897145,-0.00299324466081087
0.32,0.0833,0.152,0.260476460027082,-0.0034949063727718
0.33,0.0889,0.1635,0.260381909990549,-0.00387649849367123
0.34,0.0947,0.1763,0.260370591855925,-0.003922176049
0.35,0.1005,0.1914,0.260243412694022,-0.00443542877568684
0.36,0.1064,0.2052,0.260160318025798,-0.00477075629617037
0.37,0.1125,0.2159,0.260220816083933,-0.0045266182841081
0.38,0.1189,0.2235,0.260132726211117,-0.00488210012771087
0.39,0.1255,0.2314,0.260038925824948,-0.00526061190882458
0.4,0.132,0.2401,0.260084032680152,-0.00507859452698055
0.41,0.139,0.2517,0.260003195833972,-0.00540478885199219
0.42,0.1459,0.2684,0.259918949643679,-0.00574472878540897
0.43,0.1531,0.286,0.259757728698637,-0.00639523415670448
0.44,0.1603,0.3028,0.259676556825585,-0.00672273527249747
0.45,0.1678,0.3188,0.259532974468308,-0.00730201416534306
0.46,0.1754,0.3367,0.259467394861648,-0.00756658152941362
0.47,0.1832,0.3573,0.259396441338284,-0.00785282060519309
0.48,0.1911,0.3774,0.259194896745949,-0.00866584044022958
0.49,0.1993,0.3961,0.259116544842336,-0.0089818890632088
0.5,0.2075,0.4126,0.259007376675368,-0.00942222404653087
0.51,0.2159,0.427,0.258912691189197,-0.00980412602797405
0.52,0.2244,0.4393,0.258809853456439,-0.0102188917888156
0.53,0.2332,0.4513,0.258728812018194,-0.0105457359274526
0.54,0.2421,0.466,0.258629069287669,-0.0109479879670169
0.55,0.2513,0.4808,0.258533359341727,-0.0113339602953454
0.56,0.2608,0.494,0.258435585758796,-0.0117282386240514
0.57,0.2703,0.5096,0.25834303119767,-0.0121014559266908
0.58,0.2801,0.5306,0.258265149252618,-0.0124154960380054
0.59,0.2898,0.5554,0.25820697125675,-0.0126500780074773
0.6,0.3,0.5798,0.258124233913723,-0.0129836768503858
0.61,0.3101,0.6024,0.258051446711749,-0.0132771468735462
0.62,0.3204,0.6243,0.257976848748148,-0.0135779083410313
0.63,0.3308,0.6481,0.257885959373732,-0.0139443401624041
0.64,0.3413,0.6712,0.257760584585736,-0.0144497811681956
0.65,0.3519,0.6905,0.257632784382919,-0.0149649725843108
0.66,0.3627,0.705,0.257518124912133,-0.0154271671175405
0.67,0.3738,0.7179,0.257433729501777,-0.0157673523619322
0.68,0.3851,0.7331,0.257293209854769,-0.016333739127428
0.69,0.3965,0.7506,0.257224650306587,-0.0166100670982222
0.7,0.4082,0.7682,0.257155365243568,-0.016889311126829
0.71,0.4202,0.787,0.257096297204341,-0.0171273703872746
0.72,0.4322,0.8091,0.257034510676484,-0.0173763795050019
0.73,0.4445,0.8342,0.256984508856149,-0.0175778897070166
0.74,0.4568,0.8612,0.256881409898486,-0.0179933710043976
0.75,0.4693,0.8881,0.256835265950879,-0.0181793219044923
0.76,0.4818,0.913,0.256808351672644,-0.0182877794040322
0.77,0.4945,0.9353,0.256744227429612,-0.0185461783666262
0.78,0.5074,0.956,0.256626645704615,-0.0190199747099577
0.79,0.5205,0.9765,0.256442827233896,-0.019760625397866
0.8,0.5338,0.9955,0.256305413590666,-0.0203142619121115
0.81,0.5474,1.0139,0.256267820117094,-0.0204657195937062
0.82,0.561,1.0333,0.256075820058148,-0.0212392175879264
0.83,0.5748,1.0533,0.256009661127862,-0.0215057332097242
0.84,0.5886,1.075,0.255858897136426,-0.0221130453518435
0.85,0.6027,1.0978,0.255714023017413,-0.0226965953629853
0.86,0.617,1.1227,0.255632890728322,-0.0230233790091897
0.87,0.6315,1.15,0.255452466678825,-0.0237500487371687
0.88,0.646,1.1777,0.25534993602483,-0.0241629730639297
