Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0
0,0.0001,-0.0084,0.189049984243752,-0.00644733982468098
0.01,0.0007,-0.002,0.189324904412468,-0.00494563414042127
0.02,0.0041,0.0034,0.189515962489693,-0.00390191008627162
0.03,0.0124,0.0113,0.189784152708266,-0.00243668385295775
0.04,0.0251,0.0279,0.190047873904676,-0.000995714272370835
0.05,0.0412,0.0583,0.190341661767759,0.000609725300846496
0.06,0.0589,0.0959,0.190633058558439,0.00220229232124148
0.07,0.0772,0.1304,0.190974226890519,0.00406712034933237
0.08,0.0952,0.1581,0.191242435143795,0.00553333395337344
0.09,0.1129,0.1866,0.191385375076143,0.00631481025190822
0.1,0.1302,0.2234,0.191666362338885,0.0078511496228483
0.11,0.147,0.2668,0.191967694350868,0.00949892646033544
0.12,0.1632,0.3114,0.192243943275982,0.0110097226825419
0.13,0.1789,0.349,0.192536950665017,0.012612360136272
0.14,0.1942,0.3828,0.192834648440408,0.0142408522798258
0.15,0.2091,0.4182,0.193131097381289,0.0158627133839661
0.16,0.2237,0.4604,0.193425038670787,0.0174710527484745
0.17,0.2384,0.506,0.193739077684529,0.0191895768803222
0.18,0.2529,0.5469,0.194031448236548,0.0207897259857658
0.19,0.2674,0.5774,0.194416157865215,0.0228955451167686
0.2,0.2817,0.6009,0.19472254068829,0.0245728610781647
0.21,0.2961,0.6234,0.195015568941549,0.0261772665570543
0.22,0.3104,0.6507,0.195306014230077,0.027767722754688
0.23,0.3244,0.6813,0.195610644797318,0.0294360630706959
0.24,0.3385,0.7084,0.195940977176287,0.0312454010878779
0.25,0.3525,0.7306,0.196262415106858,0.0330062601952372
0.26,0.3666,0.7516,0.196541848315175,0.0345372060271728
0.27,0.3806,0.7747,0.196858073987575,0.0362699435798504
0.28,0.3947,0.8015,0.197158465042844,0.037916127720039
0.29,0.4087,0.832,0.197452809603255,0.0395293759959139
0.3,0.4228,0.8634,0.197761247487338,0.0412200793732263
0.31,0.4369,0.8928,0.198068153812379,0.0429026030837154
0.32,0.451,0.9185,0.198380578332179,0.0446155995950775
0.33,0.4649,0.9427,0.198681864700697,0.0462677377416976
0.34,0.4788,0.968,0.198993399992137,0.0479762950854418
0.35,0.4929,0.9943,0.199291429153395,0.0496109881079799
0.36,0.5069,1.0169,0.199585632780893,0.0512248971236939
0.37,0.521,1.0357,0.199879692951788,0.0528382168725395
0.38,0.535,1.0537,0.200196025949953,0.0545739540604613
0.39,0.549,1.0755,0.200496407615711,0.0562223771661992
0.4,0.563,1.0991,0.200813062301607,0.0579603261554267
0.41,0.5769,1.1226,0.201111425950556,0.0595980952478172
0.42,0.5909,1.1448,0.20140112617401,0.061188504195397
0.43,0.6049,1.1674,0.201691755659058,0.0627842076123409
0.44,0.619,1.1915,0.201978556929108,0.0643590816951168
0.45,0.6329,1.2193,0.20225676154454,0.0658869300051106
0.46,0.6469,1.2469,0.202565622592121,0.0675833453385541
0.47,0.6609,1.2722,0.202871636587588,0.0692643387096594
0.48,0.6748,1.294,0.203153393439875,0.0708122726059373
0.49,0.6887,1.3138,0.203495325467186,0.0726910450094336
0.5,0.7027,1.3343,0.203800672198306,0.0743690230506731
0.51,0.7167,1.3558,0.204117435074754,0.0761099622661426
0.52,0.7308,1.3758,0.204418057039482,0.0777624032069111
0.53,0.7448,1.3926,0.204687454584681,0.0792433876389282
0.54,0.7587,1.4088,0.204989912641944,0.0809063170278123
0.55,0.7728,1.4269,0.205309645984868,0.0826644549116843
0.56,0.7868,1.4482,0.205589486678526,0.0842034250055436
0.57,0.8009,1.4724,0.205900948697195,0.0859165062816994
0.58,0.8148,1.4984,0.206193872719991,0.0875278293137241
0.59,0.8289,1.5231,0.206466090410397,0.0890254270292829
0.6,0.8429,1.5466,0.206738047041978,0.0905217583950406
0.61,0.8568,1.5679,0.207020388290806,0.0920754065722155
0.62,0.8707,1.5892,0.20734625421012,0.0938687868974607
0.63,0.8847,1.6106,0.20763338466687,0.0954491914354163
0.64,0.8988,1.6314,0.207922397403379,0.0970401475484753
0.65,0.9127,1.649,0.208240477183083,0.0987913336389636
0.66,0.9266,1.6634,0.208537481044553,0.100426696308968
0.67,0.9405,1.6786,0.208822008350542,0.101993550723366
0.68,0.9546,1.6955,0.209140395037471,0.103747084939579
0.69,0.9686,1.7136,0.209431790561388,0.105352167951106
0.7,0.9827,1.733,0.209754560083233,0.107130295123454
0.71,0.9967,1.7542,0.210049056965823,0.108752878283319
0.72,1.0108,1.7769,0.210330962885759,0.11030627620416
0.73,1.0248,1.8002,0.210643145257496,0.112026721100616
0.74,1.0388,1.8229,0.210949662388373,0.113716162943842
0.75,1.0527,1.8446,0.211242315807839,0.115329393477041
0.76,1.0665,1.8643,0.211537858847934,0.116958752951978
0.77,1.0806,1.8829,0.211838543561135,0.118616665424355
0.78,1.0946,1.9006,0.212128908751952,0.12021787585447
0.79,1.1087,1.9181,0.21242438639516,0.121847478140822
0.8,1.1226,1.9335,0.212730923816785,0.123538289316196
0.81,1.1365,1.9473,0.213027009005399,0.125171653248421
0.82,1.1506,1.9622,0.213318614288882,0.126780501136803
0.83,1.1646,1.9805,0.21360581990441,0.128365266748558
0.84,1.1787,2.001,0.213899365474311,0.129985211998737
0.85,1.1926,2.0221,0.214220432355889,0.131757262467978
0.86,1.2068,2.0413,0.214510588786363,0.133358914773224
0.87,1.2209,2.0614,0.214796310274436,0.134936276173027
0.88,1.235,2.0831,0.215072709731412,0.136462353386629
0.89,1.2491,2.1045,0.215351837503586,0.138003673312769
0.9,1.2631,2.1246,0.215639586916968,0.139592789476588
0.91,1.2772,2.1426,0.215910974841797,0.141091723347518
0.92,1.2911,2.1582,0.216181507672805,0.142586103618671
0.93,1.3049,2.1713,0.216467869885959,0.144168107029825
0.94,1.3188,2.1845,0.21674381086655,0.145692717717318
0.95,1.3327,2.1991,0.21702599619781,0.147252011207407
0.96,1.3468,2.217,0.217304761771965,0.148792588548429
0.97,1.3608,2.2365,0.217578960220524,0.15030810121723
0.98,1.3749,2.254,0.217853392459869,0.151825080078016
0.99,1.3889,2.2713,0.218132821755607,0.153369860067249
1,1.403,2.291,0.218426749188253,0.154994985523039
1.01,1.417,2.3128,0.218698232581076,0.156496195334616
1.02,1.431,2.3326,0.21896881367599,0.157992585387718
1.03,1.4449,2.35,0.21923482403875,0.159463863115273
1.04,1.4588,2.3655,0.219493913466277,0.160897019219083
1.05,1.4729,2.3812,0.219769897634924,0.162423799655393
1.06,1.4868,2.3977,0.220041228487119,0.163925009209712
1.07,1.5007,2.4132,0.220325895455022,0.165500187556145
1.08,1.5147,2.4286,0.220590442363359,0.166964201627455
1.09,1.5287,2.4437,0.220878920650626,0.168560837724762
1.1,1.5429,2.458,0.221132848552363,0.169966407879206
1.11,1.5568,2.4729,0.22140487205566,0.171472308560844
1.12,1.5708,2.4889,0.221651968054567,0.172840361151237
1.13,1.5849,2.5075,0.22191482917913,0.174295853042286
1.14,1.5989,2.5274,0.222180074107674,0.175764706665268
1.15,1.6129,2.5463,0.222447663022956,0.177246705910443
1.16,1.6266,2.5636,0.222720050319524,0.178755450752151
1.17,1.6405,2.5821,0.222990001735731,0.180250873085123
1.18,1.6545,2.6005,0.223251657737984,0.181700503471663
1.19,1.6686,2.6173,0.223511022504025,0.183137596659473
1.2,1.6826,2.6319,0.223764391961452,0.184541621635702
1.21,1.6968,2.6443,0.224038118075146,0.186058618669146
1.22,1.711,2.6574,0.224284464449447,0.1874240251713
1.23,1.7251,2.6728,0.224550052679778,0.18889623994479
1.24,1.7391,2.6885,0.224803744412181,0.190302662703126
1.25,1.7529,2.7031,0.225063495131262,0.191742830270437
1.26,1.7668,2.7183,0.225329205509901,0.193216202833987
1.27,1.7809,2.7347,0.225593694873806,0.194682967698455
1.28,1.7948,2.7527,0.22583899935262,0.196043485209822
1.29,1.8087,2.7726,0.226103327772778,0.197509670570085
1.3,1.8228,2.7926,0.226355677536797,0.198909563838085
1.31,1.8369,2.8109,0.226614067062995,0.200343115648477
1.32,1.8511,2.8258,0.226868859258038,0.201756861354166
1.33,1.8652,2.8413,0.227143865792939,0.203282938180236
1.34,1.879,2.8555,0.22738532279444,0.204622985643132
1.35,1.8929,2.8696,0.227652966163099,0.206108521681332
1.36,1.907,2.8825,0.227904931727077,0.207507191424512
1.37,1.9209,2.8934,0.228156798541066,0.208905460622899
1.38,1.9347,2.9053,0.22840014221388,0.210256552773926
1.39,1.9487,2.9193,0.228647061923976,0.211627640657268
1.4,1.9629,2.9369,0.228883192989165,0.212938954447866
1.41,1.977,2.9558,0.229141932181179,0.214375967676029
1.42,1.9908,2.9737,0.229388642136021,0.215746316822033
1.43,2.0046,2.9908,0.229642406745382,0.217155998888501
1.44,2.0185,3.0079,0.229881618085821,0.218484973749499
1.45,2.0324,3.0245,0.23012425288819,0.219833104344669
1.46,2.0464,3.0388,0.23036425767219,0.221166756936799
1.47,2.0603,3.052,0.230607702782563,0.222519663772261
1.48,2.0745,3.0652,0.230852219982598,0.223878667606893
1.49,2.0886,3.0791,0.231085858674314,0.22517733990354
1.5,2.1029,3.0948,0.231321743395853,0.226488625772797
1.51,2.117,3.1094,0.231568186599888,0.227858744941037
1.52,2.1311,3.123,0.231809640569913,0.22920126345177
1.53,2.1452,3.1369,0.232046100908796,0.230516148444998
1.54,2.1592,3.1514,0.232273998629906,0.231783542717326
1.55,2.1732,3.1673,0.232507744957221,0.233083588374751
1.56,2.187,3.1839,0.232733026292774,0.234336674254713
1.57,2.2009,3.2013,0.232961751538926,0.235609037418907
1.58,2.215,3.2186,0.233199865695855,0.236933759366157
1.59,2.229,3.236,0.233424699570455,0.238184719408184
1.6,2.2429,3.2505,0.233663580554479,0.239513965899384
1.61,2.2569,3.2638,0.233891419060389,0.240781890981837
1.62,2.2709,3.2757,0.234138158544037,0.24215513705274
