Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0
40.044,-0.0156,-0.837,0.244442928625231,-0.0172258661947551
40.054,-0.0158,-0.8237,0.244428363185606,-0.0172874359054242
40.064,-0.0124,-0.8107,0.244408385929451,-0.0173718813446988
40.074,-0.0046,-0.8036,0.244377032981952,-0.0175044112990707
40.084,0.009,-0.7982,0.244360504307608,-0.0175742778531317
40.094,0.0269,-0.7966,0.244333717150119,-0.0176875058895499
40.104,0.0475,-0.7965,0.244305101513467,-0.0178084614110073
40.114,0.0689,-0.7919,0.244282986984222,-0.017901936384703
40.124,0.09,-0.7841,0.244258946533524,-0.0180035509686059
40.134,0.1103,-0.7722,0.244224625129586,-0.0181486194793999
40.144,0.1297,-0.7555,0.244190790758691,-0.018291627366467
40.154,0.1485,-0.7366,0.244157549419798,-0.0184321267009
40.164,0.1666,-0.7153,0.244110645368736,-0.0186303701267864
40.174,0.1838,-0.6917,0.244081105815831,-0.0187552192156944
40.184,0.2003,-0.6675,0.244033135232102,-0.0189579638572724
40.194,0.2163,-0.6436,0.243992976575096,-0.0191276887389974
40.204,0.2319,-0.6223,0.243948602336992,-0.0193152268444519
40.214,0.2472,-0.6029,0.243904750775677,-0.0195005525318083
40.224,0.2623,-0.5851,0.243857839861384,-0.0196988038886478
40.234,0.2772,-0.5671,0.243812684450835,-0.0198896325744083
40.244,0.2918,-0.5501,0.243770471181498,-0.0200680243692617
40.254,0.3065,-0.5327,0.24372753459998,-0.0202494696075994
40.264,0.3208,-0.5143,0.24368038180561,-0.0204487283202833
40.274,0.3349,-0.496,0.243633805861523,-0.0206455454951869
40.284,0.3491,-0.4791,0.243575921022826,-0.0208901455873053
40.294,0.3633,-0.4622,0.243524593744615,-0.0211070308546266
40.304,0.3774,-0.4433,0.243471460960927,-0.021331540419878
40.314,0.3915,-0.4227,0.243418847447611,-0.0215538508951867
40.324,0.4056,-0.4021,0.243357198398935,-0.0218143334067555
40.334,0.4198,-0.3825,0.243296154851793,-0.022072250871462
40.344,0.4339,-0.3618,0.243235764395575,-0.0223274024224528
40.354,0.4479,-0.339,0.243170047844549,-0.0226050495284189
40.364,0.4618,-0.3145,0.243109675648013,-0.0228601104085205
40.374,0.4758,-0.2896,0.243034304689641,-0.0231785290764622
40.384,0.4897,-0.2643,0.242963089870976,-0.0234793800863558
40.394,0.5037,-0.2399,0.242881695679062,-0.0238232234006123
40.404,0.5178,-0.216,0.242812758945604,-0.0241144319660051
40.414,0.5318,-0.193,0.242740791441467,-0.0244184343729375
40.424,0.5459,-0.1687,0.242669325797222,-0.0247203077405806
40.434,0.5598,-0.1432,0.242581739848272,-0.0250902614673042
40.444,0.5739,-0.1202,0.242497135454378,-0.0254476084887127
40.454,0.5878,-0.0987,0.242410672368644,-0.0258127930111563
40.464,0.6018,-0.074,0.242328433879827,-0.0261601222569562
40.474,0.6159,-0.0443,0.242247902633905,-0.0265002294304606
40.484,0.6299,-0.0155,0.242167992506949,-0.0268377020551306
40.494,0.644,0.0082,0.24208377661279,-0.0271933463213357
40.504,0.658,0.0302,0.241996633030491,-0.0275613409797033
40.514,0.672,0.0548,0.241906461222297,-0.0279421092048023
40.524,0.686,0.0798,0.241809728299882,-0.0283505669822101
40.534,0.7,0.1026,0.241706456760253,-0.028786615945301
40.544,0.714,0.1248,0.24161574782417,-0.0291696055397524
40.554,0.728,0.1489,0.241529080291698,-0.0295355179542923
40.564,0.7419,0.1751,0.241428692067508,-0.0299593427996443
40.574,0.7559,0.1991,0.241324177627477,-0.0304005689436227
40.584,0.77,0.221,0.241229808175276,-0.0307989495817251
40.594,0.7839,0.2434,0.241122892757731,-0.0312502739216061
40.604,0.7978,0.2659,0.241026130161409,-0.0316587224581817
40.614,0.8116,0.2896,0.240903678449361,-0.0321755845586011
40.624,0.8256,0.3114,0.240786681447262,-0.0326693977749563
40.634,0.8397,0.3321,0.240665523257572,-0.0331807486678918
40.644,0.8538,0.3542,0.240555712604895,-0.0336441845320289
