Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0,Strain_Percentuale,DeltaR_Percentuale
0,0.0001,-0.0031,0.263025522899938,8.597908009483e-05,0.000142857142857143,0.008597908009483
0.01,0.0001,0.0018,0.263033055054509,0.000116208396056874,0.000142857142857143,0.0116208396056874
0.02,0.0005,0.009,0.263027314522384,9.31695134379051e-05,0.000714285714285714,0.00931695134379052
0.03,0.0011,0.0143,0.263017740276288,5.4744640266668e-05,0.00157142857142857,0.0054744640266668
0.04,0.0026,0.0153,0.263005630472078,6.14388819230323e-06,0.00371428571428571,0.000614388819230323
0.05,0.0052,0.0117,0.262992124845002,-4.80584814250236e-05,0.00742857142857143,-0.00480584814250236
0.06,0.0087,0.0059,0.262990357062451,-5.51531312138949e-05,0.0124285714285714,-0.00551531312138949
0.07,0.0129,0.0014,0.262988286404881,-6.34633039637541e-05,0.0184285714285714,-0.00634633039637541
0.08,0.0174,-0.0015,0.262982402768242,-8.70760709859066e-05,0.0248571428571429,-0.00870760709859066
0.09,0.0222,-0.0023,0.262978560914416,-0.000102494530461967,0.0317142857142857,-0.0102494530461967
0.1,0.0268,-0.0038,0.262972079846109,-0.000128504856672736,0.0382857142857143,-0.0128504856672736
0.11,0.0314,-0.0066,0.262966604825572,-0.00015047757845421,0.0448571428571429,-0.015047757845421
0.12,0.0358,-0.0085,0.262951398078034,-0.00021150605712166,0.0511428571428571,-0.021150605712166
0.13,0.0399,-0.0067,0.262941953239267,-0.000249410358498461,0.057,-0.0249410358498461
0.14,0.044,-0.0014,0.262928782099095,-0.000302268908583276,0.0628571428571428,-0.0302268908583276
0.15,0.048,0.0023,0.262917857618008,-0.000346110921186065,0.0685714285714286,-0.0346110921186065
0.16,0.0519,0.0037,0.26291030847942,-0.000376406926624255,0.0741428571428571,-0.0376406926624255
0.17,0.0556,0.0051,0.262906079912285,-0.000393376859407,0.0794285714285714,-0.0393376859407
0.18,0.0593,0.0047,0.262896876796757,-0.000430310365269093,0.0847142857142857,-0.0430310365269093
0.19,0.0629,0.0021,0.262889677672225,-0.000459201449668332,0.0898571428571429,-0.0459201449668332
0.2,0.0665,-0.0003,0.262882224248218,-0.000489112980584145,0.095,-0.0489112980584145
0.21,0.07,-0.0003,0.262876964844937,-0.00051021957286668,0.1,-0.051021957286668
0.22,0.0734,-0.0015,0.262870307937245,-0.000536934444420899,0.104857142857143,-0.0536934444420899
0.23,0.0769,-0.0054,0.262858609278452,-0.000583882212130572,0.109857142857143,-0.0583882212130572
0.24,0.0803,-0.01,0.26285379411613,-0.000603205823336465,0.114714285714286,-0.0603205823336465
0.25,0.0836,-0.01,0.262853493770285,-0.000604411132663286,0.119428571428571,-0.0604411132663286
0.26,0.087,-0.0051,0.262837247560762,-0.000669608104192768,0.124285714285714,-0.0669608104192768
0.27,0.0904,-0.0002,0.262836258481664,-0.000673577320956358,0.129142857142857,-0.0673577320956358
0.28,0.0939,0.0023,0.262826636970183,-0.00071218877194349,0.134142857142857,-0.071218877194349
0.29,0.0972,0.0025,0.262796434376362,-0.00083339178352444,0.138857142857143,-0.083339178352444
0.3,0.1005,0.0032,0.262801874219408,-0.000811561807031969,0.143571428571429,-0.0811561807031969
0.31,0.1037,0.0032,0.262789186238891,-0.000862478329866978,0.148142857142857,-0.0862478329866978
0.32,0.107,0.0028,0.262779763734942,-0.000900290407022389,0.152857142857143,-0.0900290407022389
0.33,0.1104,0.0025,0.262765233854895,-0.000958597855920647,0.157714285714286,-0.0958597855920647
0.34,0.1139,0.0016,0.262766049904445,-0.000955323112456141,0.162714285714286,-0.0955323112456141
