Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0
0,0,0.0074,0.353963823832659,-0.000112532284369147
0.01,0,0.0068,0.353965621806495,-0.000107066365261777
0.02,0,0.0049,0.353979295928619,-6.54962974576054e-05
0.03,0,0.0039,0.353983410828775,-5.29867314396676e-05
0.04,0,0.0062,0.353986238129199,-4.4391540109058e-05
0.05,0,0.0096,0.353988944338746,-3.6164463726461e-05
0.06,0,0.0117,0.354016751111971,4.83707305277914e-05
0.07,0,0.0097,0.354029107008386,8.59341372767704e-05
0.08,0,0.0042,0.354042643871284,0.000127088053103296
0.09,0.0002,0.0014,0.35405256334449,0.000157244761456018
0.1,0.0002,0.004,0.354058867270506,0.000176409722963057
0.11,0.0002,0.0072,0.354054268538658,0.000162428824239967
0.12,0.0004,0.0047,0.354048226520065,0.000144060139270349
0.13,0.0005,-0.0004,0.354054030281444,0.000161704484002706
0.14,0.0007,-0.0016,0.354059846433094,0.000179386541328646
0.15,0.0011,0.0036,0.354053550172676,0.000160244876385684
0.16,0.0014,0.0098,0.354063872431158,0.000191626263339087
0.17,0.0019,0.013,0.354064428066702,0.000193315491994753
0.18,0.0025,0.0139,0.354062513072744,0.000187493579120926
0.19,0.0032,0.0139,0.354049708105913,0.000148564388398624
0.2,0.0039,0.0141,0.354038040377174,0.00011309277407839
0.21,0.0046,0.0154,0.354035790081006,0.000106251562694918
0.22,0.0053,0.016,0.354031148957505,9.21419266939088e-05
0.23,0.0059,0.0165,0.35404316296888,0.000128666185612781
0.24,0.0065,0.0179,0.354051644199591,0.000154450415649531
0.25,0.0071,0.0204,0.354056607209322,0.000169538762996703
0.26,0.0077,0.0231,0.354038929278786,0.000115795159667644
0.27,0.0083,0.0253,0.35404874287077,0.000145629924598738
0.28,0.0087,0.0252,0.354027458809403,8.09234031766141e-05
0.29,0.0091,0.0244,0.35404802978148,0.000143462023890626
0.3,0.0096,0.0249,0.354047055847021,0.000140501114973969
0.31,0.0099,0.0279,0.35405318365601,0.000159130607170675
0.32,0.0103,0.0299,0.354031833001223,9.42215092892795e-05
0.33,0.0106,0.0315,0.354036873223458,0.000109544464632285
0.34,0.011,0.0323,0.354023956540461,7.02760728866949e-05
0.35,0.0112,0.0329,0.354039750440398,0.000118291607071161
0.36,0.0117,0.0324,0.354036506207813,0.000108428686450552
0.37,0.012,0.0309,0.354039413477551,0.000117267192265781
0.38,0.0124,0.0303,0.354029301362922,8.65249999681613e-05
0.39,0.0127,0.0324,0.354039704365241,0.00011815153205756
0.4,0.0131,0.0336,0.354039465784694,0.00011742621338559
0.41,0.0135,0.0343,0.354059670035836,0.000178850264009941
0.42,0.0138,0.0346,0.354064386160615,0.000193188090190033
0.43,0.0142,0.0375,0.354061907036775,0.000185651125948215
0.44,0.0145,0.0405,0.354051062900214,0.000152683174214565
0.45,0.0149,0.0418,0.354053367013143,0.000159688042124286
0.46,0.0151,0.0407,0.35405093025251,0.000152279904416192
0.47,0.0155,0.0398,0.354055786901306,0.000167044892544695
0.48,0.0157,0.0395,0.354052271216139,0.000156356644964392
0.49,0.0161,0.0389,0.354051299546408,0.000153402615769264
0.5,0.0163,0.0391,0.354049230885594,0.000147113564826405
0.51,0.0166,0.0412,0.35404725364087,0.000141102438264101
0.52,0.017,0.0428,0.35404294544151,0.000128004870595268
0.53,0.0175,0.0416,0.35404827100911,0.000144195392774326
0.54,0.0178,0.0405,0.354053709095669,0.000160728027725574
0.55,0.0182,0.0416,0.354060453193821,0.000181231196254584
0.56,0.0185,0.044,0.354057683486773,0.000172810823702495
0.57,0.019,0.0452,0.354058525832929,0.000175371695803453
0.58,0.0194,0.0457,0.35406422515583,0.000192698607620046
0.59,0.0197,0.046,0.354049650576317,0.000148389489513824
0.6,0.0201,0.0461,0.35406504515024,0.000195191533712237
0.61,0.0203,0.0468,0.354056620159914,0.00016957813492057
0.62,0.0207,0.0486,0.354070958359596,0.000213168748038845
0.63,0.0209,0.0492,0.354062691811341,0.000188036975172082
0.64,0.0212,0.049,0.35406773031718,0.000203354915919775
0.65,0.0215,0.0488,0.35405612585588,0.000168075369747554
0.66,0.0218,0.0489,0.354058955308696,0.000176677373764457
0.67,0.0222,0.0513,0.354058320560198,0.000174747632550457
0.68,0.0225,0.0536,0.35406371771511,0.000191155899723468
0.69,0.0228,0.0546,0.354075269091474,0.000226274172985711
0.7,0.0231,0.0547,0.35406179585697,0.000185313120345906
0.71,0.0236,0.0561,0.35405548699365,0.000166133124470307
0.72,0.0238,0.0585,0.354063575549083,0.000190723690378552
0.73,0.0242,0.0596,0.354052522945718,0.00015712194277754
0.74,0.0246,0.059,0.354067782811432,0.000203514507819702
0.75,0.0249,0.0581,0.354071189064648,0.000213870133598875
0.76,0.0253,0.0585,0.354072341693468,0.000217374337095286
0.77,0.0256,0.0582,0.35406050539177,0.000181389886843563
0.78,0.026,0.0574,0.354058223727054,0.00017445324370444
0.79,0.0262,0.0576,0.354041648076183,0.000124060691543026
0.8,0.0266,0.0606,0.354036980876623,0.000109871745134255
0.81,0.0269,0.0624,0.354025159969684,7.39346445981249e-05
0.82,0.0272,0.0618,0.354016860142911,4.87021967866506e-05
0.83,0.0274,0.0603,0.353985784002546,-4.57721176493938e-05
0.84,0.0277,0.061,0.353983341914197,-5.31962364540568e-05
0.85,0.0281,0.0628,0.353964205021826,-0.00011137345298046
0.86,0.0283,0.0627,0.353967812895321,-0.000100405353672039
0.87,0.0287,0.0621,0.353939088628606,-0.00018772795718056
0.88,0.029,0.0638,0.353946234277509,-0.00016600507826052
0.89,0.0294,0.0652,0.353933104946222,-0.000205918389196222
0.9,0.0297,0.0666,0.353929436246203,-0.000217071237121026
0.91,0.0301,0.0667,0.353905333265564,-0.000290343859392141
0.92,0.0305,0.0657,0.353909886872759,-0.000276501034679585
0.93,0.0308,0.0644,0.353888226393016,-0.000342347979187251
0.94,0.0312,0.0645,0.3538831249686,-0.00035785600484291
0.95,0.0315,0.0676,0.353862464362194,-0.000420662666563262
0.96,0.0319,0.0721,0.3538645013039,-0.000414470544544478
0.97,0.0321,0.0741,0.353847497329556,-0.000466160951031336
0.98,0.0323,0.0744,0.353847187158316,-0.000467103837525875
0.99,0.0327,0.0744,0.353821790363898,-0.000544306875170805
1,0.0329,0.0742,0.353822596103041,-0.000541857543214547
1.01,0.0333,0.0728,0.353810219936016,-0.000579479230285415
1.02,0.0336,0.0705,0.353806169025297,-0.000591793346302118
1.03,0.034,0.07,0.353809333320073,-0.000582174401761267
1.04,0.0344,0.0699,0.353811318631001,-0.000576139370819162
1.05,0.0347,0.0704,0.353802604616152,-0.000602628558146654
1.06,0.0351,0.0706,0.353792753938977,-0.000632572894354836
1.07,0.0354,0.073,0.353784070676326,-0.000658968389242443
1.08,0.0359,0.0777,0.353778943719203,-0.000674553333946978
1.09,0.0362,0.082,0.353778622965569,-0.000675528360978674
1.1,0.0366,0.0829,0.353778303619564,-0.000676499108966183
1.11,0.037,0.0824,0.353771964822795,-0.000695767755801024
1.12,0.0373,0.0822,0.353746508374689,-0.000773149626430773
1.13,0.0375,0.0824,0.353747248153983,-0.000770900875903715
1.14,0.0379,0.0803,0.353746864633091,-0.000772066686952535
1.15,0.0382,0.079,0.353752442716452,-0.000755110639405212
1.16,0.0385,0.0791,0.353725740847378,-0.000836277605531032
1.17,0.0387,0.0804,0.353731207305996,-0.000819661022161687
1.18,0.0391,0.0815,0.353719960958285,-0.000853846891831776
1.19,0.0394,0.0815,0.353736157983047,-0.000804612244121986
1.2,0.0398,0.0828,0.35372261543452,-0.000845778013546637
1.21,0.0401,0.0845,0.353725817245844,-0.000836045374740323
1.22,0.0405,0.0852,0.353696717790631,-0.000924499340282092
1.23,0.0408,0.0855,0.353691341431167,-0.000940841803832142
1.24,0.0412,0.0866,0.353676341574358,-0.000986436511504484
1.25,0.0416,0.0895,0.353674325600388,-0.000992564397149988
1.26,0.0419,0.0912,0.353662638605027,-0.00102808884387392
1.27,0.0424,0.0913,0.35364958566507,-0.00106776508115881
1.28,0.0427,0.0904,0.353643523779367,-0.00108619095509094
1.29,0.043,0.0909,0.35362900979,-0.00113030787961494
1.3,0.0433,0.0914,0.353621567682725,-0.00115292890579714
1.31,0.0436,0.0893,0.353608044441396,-0.00119403395905293
1.32,0.0439,0.0874,0.35360152753876,-0.00121384255878235
1.33,0.0443,0.0895,0.353592515173608,-0.00124123620684353
1.34,0.0445,0.0929,0.353595235228481,-0.00123296844097475
