Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0
0,0,0.0038,0.201247283359168,0.000982348583224085
0.01,0,0.0071,0.201203662020796,0.000756283720858641
0.02,0,0.0085,0.201173549082754,0.000600227697575799
0.03,0,0.0042,0.20111029799162,0.00027244428105966
0.04,0.0001,-0.0034,0.201068831556914,5.75592442428254e-05
0.05,0.0001,-0.0084,0.20103730390879,-0.000105819084000586
0.06,0.0001,-0.0084,0.200991773516463,-0.000341756757172613
0.07,0.0002,-0.0076,0.200940465440954,-0.000607628915511747
0.08,0.0002,-0.0067,0.200917050972804,-0.000728957930354567
0.09,0.0004,-0.0053,0.200886994864373,-0.000884700839922655
0.1,0.0006,-0.0015,0.20085382809986,-0.00105656009338802
0.11,0.0013,0.0046,0.200789801543661,-0.00138831790783887
0.12,0.0026,0.0119,0.200721408093644,-0.00174269329191556
0.13,0.0046,0.0168,0.200647255562764,-0.00212689749749084
0.14,0.0071,0.0182,0.200563727859391,-0.00255966277468457
0.15,0.0102,0.0172,0.200483984636408,-0.0029728062304903
0.16,0.0136,0.0193,0.200452384480015,-0.00313652039276043
0.17,0.0171,0.0258,0.200327259387179,-0.00378474759148208
0.18,0.021,0.0327,0.200270241841493,-0.00408012336695995
0.19,0.025,0.0372,0.20016023642526,-0.00464997961137458
0.2,0.0289,0.0421,0.200111286037152,-0.00490354676751214
0.21,0.0329,0.0507,0.200046626197834,-0.00523848228360198
0.22,0.037,0.0635,0.199966430709378,-0.00565387933697418
0.23,0.0411,0.0774,0.199918169783707,-0.0059038548681059
0.24,0.0453,0.0891,0.199811134228062,-0.00645824548281414
0.25,0.0498,0.0987,0.199716689245282,-0.0069474026986661
0.26,0.0543,0.1092,0.199630230503409,-0.00739518004405251
0.27,0.0588,0.1203,0.199550759512212,-0.00780675299410964
0.28,0.0635,0.13,0.199484519823351,-0.00814979183436564
0.29,0.0685,0.1419,0.19943282589413,-0.00841749523383606
0.3,0.0734,0.156,0.199256506537432,-0.00933054343983303
0.31,0.0785,0.1678,0.199175562056708,-0.00974968206335152
0.32,0.0838,0.1763,0.199084903225942,-0.0102191057841471
0.33,0.0894,0.1866,0.198996526453965,-0.0106766961337115
0.34,0.095,0.1998,0.198953689398359,-0.0108984884337459
0.35,0.1008,0.2133,0.198896756781857,-0.0111932555082205
0.36,0.1067,0.2266,0.198781195016828,-0.0117915519097209
0.37,0.1129,0.2405,0.198734149592064,-0.0120351113176481
0.38,0.1192,0.2559,0.198626252069827,-0.0125936907908307
0.39,0.1255,0.2727,0.198667120540311,-0.0123821199452265
0.4,0.1321,0.2891,0.198552866891503,-0.0129735874347118
0.41,0.139,0.3069,0.198502618421576,-0.0132337044500725
0.42,0.1458,0.326,0.198378678430804,-0.01387527086989
0.43,0.153,0.3447,0.198189166951339,-0.0148561993328772
0.44,0.1604,0.3615,0.198018361104957,-0.0157402394175377
0.45,0.1678,0.3768,0.197921876328768,-0.0162395880276452
0.46,0.1754,0.3922,0.197834013140583,-0.0166942988987412
0.47,0.1832,0.4096,0.197791249064397,-0.0169156061582997
0.48,0.1914,0.4274,0.197650650395854,-0.0176431868933252
0.49,0.1995,0.4461,0.197565185501106,-0.0180854363433423
