Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0
0,0.0001,-0.5632,0.282500492143126,7.91903232462802e-06
0.01,0.0001,-0.5586,0.282500056256987,6.28366472062075e-06
0.02,0.0001,-0.5552,0.28249960793506,4.60164055980443e-06
0.03,0.0001,-0.5547,0.282499147177346,2.87295986809966e-06
0.04,0.0001,-0.5549,0.282498673983844,1.09762267385711e-06
0.05,0.0001,-0.5526,0.282498188354555,-7.2437099538261e-07
0.06,0.0001,-0.5503,0.282497690289478,-2.59302111126884e-06
0.07,0.0001,-0.5494,0.282497179788614,-4.50832764322337e-06
0.08,0.0001,-0.5524,0.282496656851963,-6.47029056168054e-06
0.09,0.0004,-0.5576,0.282496121479524,-8.47890983525211e-06
0.1,0.0004,-0.5637,0.282495573671298,-1.05341854325499e-05
0.11,0.0004,-0.5655,0.282495013427284,-1.2636117320768e-05
0.12,0.0005,-0.5632,0.282494440747483,-1.47847054664934e-05
0.13,0.0007,-0.5607,0.282493855631894,-1.69799498363127e-05
0.14,0.0011,-0.5611,0.282493258080518,-1.92218503951925e-05
0.15,0.0014,-0.5604,0.282492648093354,-2.15104071074921e-05
0.16,0.0018,-0.5556,0.282492025670403,-2.38456199371657e-05
0.17,0.0022,-0.551,0.282491390811665,-2.62274888473573e-05
0.18,0.003,-0.5497,0.282490743517139,-2.86560138001987e-05
0.19,0.0037,-0.5496,0.282490083786825,-3.11311947574165e-05
0.2,0.0044,-0.5491,0.282489411620725,-3.36530316799272e-05
0.21,0.0051,-0.5497,0.282488727018836,-3.62215245280399e-05
0.22,0.0058,-0.5513,0.282488029981161,-3.88366732604437e-05
0.23,0.0065,-0.5519,0.282487320507698,-4.14984778362327e-05
0.24,0.007,-0.5502,0.282486598598447,-4.42069382136909e-05
0.25,0.0076,-0.5486,0.282485864253409,-4.69620543480647e-05
0.26,0.008,-0.5491,0.282480337511027,-6.76972620706073e-05
0.27,0.0085,-0.5485,0.282486713496277,-4.37758643915332e-05
0.28,0.009,-0.5451,0.282478770485936,-7.35764110651446e-05
0.29,0.0093,-0.541,0.282484009811357,-5.39195472870621e-05
0.3,0.0098,-0.5395,0.282486943539385,-4.29127883087502e-05
0.31,0.0102,-0.5398,0.282487487028537,-4.08737245459685e-05
0.32,0.0106,-0.5398,0.282486779458599,-4.35283868598422e-05
0.33,0.011,-0.5399,0.282465705372235,-0.000122593821354633
0.34,0.0113,-0.5404,0.282464971548091,-0.000125346958814636
0.35,0.0117,-0.5405,0.282468993182044,-0.000110258713366911
0.36,0.012,-0.5395,0.282482576812565,-5.92958662790815e-05
0.37,0.0124,-0.5391,0.282491345110027,-2.63989526495588e-05
0.38,0.0127,-0.5397,0.282512171487311,5.17379759527617e-05
0.39,0.013,-0.5398,0.282521309311242,8.60217124611607e-05
0.4,0.0133,-0.5384,0.28254614654683,0.000179207943622068
0.41,0.0136,-0.5374,0.282541139683066,0.000160422732048792
0.42,0.0138,-0.5385,0.282526719302165,0.000106319244643272
0.43,0.0142,-0.5387,0.282512299255882,5.221734343563e-05
0.44,0.0144,-0.5363,0.282479642829824,-7.0303560511155e-05
0.45,0.0148,-0.5323,0.28246597524252,-0.000121581330617193
0.46,0.015,-0.5297,0.282477398903211,-7.87222981467698e-05
0.47,0.0153,-0.5297,0.282469700249832,-0.000107605955023644
0.48,0.0158,-0.5295,0.28250169917562,1.24476060670327e-05
0.49,0.0162,-0.529,0.282493145337295,-1.96448417316017e-05
