Tempo;Spostamento;Forza
(s);(mm);(N)
"0,0000";"0,0000";"-0,0044"
"0,0100";"0,0000";"-0,0048"
"0,0200";"0,0000";"-0,0112"
"0,0300";"0,0000";"-0,0138"
"0,0400";"0,0000";"-0,0041"
"0,0500";"0,0000";"0,0105"
"0,0600";"0,0000";"0,0178"
"0,0700";"0,0002";"0,0120"
"0,0800";"0,0004";"-0,0006"
"0,0900";"0,0005";"-0,0081"
"0,1000";"0,0007";"-0,0072"
"0,1100";"0,0014";"-0,0050"
"0,1200";"0,0022";"-0,0074"
"0,1300";"0,0034";"-0,0121"
"0,1400";"0,0048";"-0,0088"
"0,1500";"0,0068";"0,0054"
"0,1600";"0,0094";"0,0251"
"0,1700";"0,0125";"0,0421"
"0,1800";"0,0162";"0,0538"
"0,1900";"0,0202";"0,0652"
"0,2000";"0,0243";"0,0799"
"0,2100";"0,0287";"0,0973"
"0,2200";"0,0332";"0,1147"
"0,2300";"0,0378";"0,1332"
"0,2400";"0,0426";"0,1532"
"0,2500";"0,0473";"0,1763"
"0,2600";"0,0523";"0,2019"
"0,2700";"0,0575";"0,2290"
"0,2800";"0,0626";"0,2582"
"0,2900";"0,0676";"0,2888"
"0,3000";"0,0728";"0,3183"
"0,3100";"0,0782";"0,3457"
"0,3200";"0,0836";"0,3693"
"0,3300";"0,0892";"0,3917"
"0,3400";"0,0948";"0,4164"
"0,3500";"0,1008";"0,4446"
"0,3600";"0,1070";"0,4709"
"0,3700";"0,1131";"0,4969"
"0,3800";"0,1195";"0,5236"
"0,3900";"0,1260";"0,5554"
"0,4000";"0,1326";"0,5916"
"0,4100";"0,1394";"0,6273"
"0,4200";"0,1464";"0,6593"
"0,4300";"0,1535";"0,6894"
"0,4400";"0,1607";"0,7230"
"0,4500";"0,1681";"0,7629"
"0,4600";"0,1759";"0,8030"
"0,4700";"0,1837";"0,8375"
"0,4800";"0,1916";"0,8680"
"0,4900";"0,1997";"0,9002"
"0,5000";"0,2079";"0,9369"
"0,5100";"0,2162";"0,9759"
"0,5200";"0,2249";"1,0138"
"0,5300";"0,2337";"1,0500"
"0,5400";"0,2428";"1,0889"
"0,5500";"0,2519";"1,1315"
"0,5600";"0,2613";"1,1766"
"0,5700";"0,2706";"1,2195"
"0,5800";"0,2800";"1,2606"
"0,5900";"0,2898";"1,3034"
"0,6000";"0,3000";"1,3479"
"0,6100";"0,3101";"1,3919"
"0,6200";"0,3204";"1,4325"
"0,6300";"0,3308";"1,4713"
"0,6400";"0,3412";"1,5114"
"0,6500";"0,3519";"1,5536"
"0,6600";"0,3629";"1,5953"
"0,6700";"0,3739";"1,6382"
"0,6800";"0,3851";"1,6851"
"0,6900";"0,3963";"1,7344"
"0,7000";"0,4076";"1,7847"
"0,7100";"0,4195";"1,8330"
"0,7200";"0,4315";"1,8795"
"0,7300";"0,4437";"1,9256"
"0,7400";"0,4558";"1,9724"
"0,7500";"0,4683";"2,0197"
"0,7600";"0,4808";"2,0662"
"0,7700";"0,4937";"2,1107"
"0,7800";"0,5069";"2,1538"
"0,7900";"0,5203";"2,2002"
"0,8000";"0,5340";"2,2494"
"0,8100";"0,5477";"2,3034"
"0,8200";"0,5615";"2,3589"
"0,8300";"0,5754";"2,4121"
"0,8400";"0,5893";"2,4643"
"0,8500";"0,6034";"2,5146"
"0,8600";"0,6174";"2,5637"
"0,8700";"0,6317";"2,6113"
"0,8800";"0,6462";"2,6567"
"0,8900";"0,6610";"2,7037"
"0,9000";"0,6759";"2,7524"
"0,9100";"0,6909";"2,8026"
"0,9200";"0,7062";"2,8544"
"0,9300";"0,7217";"2,9067"
"0,9400";"0,7374";"2,9589"
"0,9480";"0,7500";"3,0017"
"0,9500";"0,7532";"3,0124"
"0,9600";"0,7667";"3,0641"
"0,9700";"0,7742";"3,1029"
"0,9800";"0,7767";"3,1268"
"0,9900";"0,7765";"3,1374"
"1,0000";"0,7763";"3,1354"
"1,0100";"0,7761";"3,1198"
"1,0200";"0,7759";"3,0965"
"1,0300";"0,7754";"3,0699"
"1,0400";"0,7747";"3,0419"
"1,0500";"0,7737";"3,0164"
"1,0600";"0,7723";"2,9907"
"1,0700";"0,7705";"2,9634"
"1,0800";"0,7684";"2,9365"
"1,0900";"0,7659";"2,9101"
"1,1000";"0,7635";"2,8859"
"1,1100";"0,7612";"2,8621"
"1,1200";"0,7592";"2,8372"
"1,1300";"0,7574";"2,8121"
