Tempo;Spostamento;Forza
(s);(mm);(N)
"0,0000";"0,0000";"0,0224"
"0,0100";"0,0017";"0,0200"
"0,0200";"0,0102";"0,0286"
"0,0300";"0,0277";"0,0551"
"0,0400";"0,0524";"0,0885"
"0,0500";"0,0810";"0,1190"
"0,0600";"0,1113";"0,1453"
"0,0700";"0,1419";"0,1782"
"0,0800";"0,1718";"0,2266"
"0,0900";"0,2007";"0,2929"
"0,1000";"0,2287";"0,3736"
"0,1100";"0,2561";"0,4645"
"0,1200";"0,2829";"0,5609"
"0,1300";"0,3092";"0,6623"
"0,1400";"0,3348";"0,7682"
"0,1500";"0,3602";"0,8742"
"0,1600";"0,3853";"0,9762"
"0,1700";"0,4100";"1,0748"
"0,1800";"0,4347";"1,1718"
"0,1900";"0,4591";"1,2676"
"0,2000";"0,4834";"1,3617"
"0,2100";"0,5076";"1,4542"
"0,2200";"0,5318";"1,5456"
"0,2300";"0,5559";"1,6370"
"0,2400";"0,5799";"1,7287"
"0,2500";"0,6037";"1,8201"
"0,2600";"0,6276";"1,9102"
"0,2700";"0,6513";"1,9995"
"0,2800";"0,6748";"2,0881"
"0,2900";"0,6985";"2,1768"
"0,3000";"0,7227";"2,2641"
"0,3100";"0,7473";"2,3501"
"0,3200";"0,7722";"2,4362"
"0,3300";"0,7969";"2,5200"
"0,3400";"0,8213";"2,6041"
"0,3500";"0,8456";"2,6883"
"0,3600";"0,8696";"2,7712"
"0,3700";"0,8934";"2,8536"
"0,3800";"0,9172";"2,9329"
"0,3900";"0,9408";"3,0109"
"0,4000";"0,9645";"3,0876"
"0,4100";"0,9885";"3,1624"
"0,4200";"1,0124";"3,2367"
"0,4300";"1,0364";"3,3110"
"0,4400";"1,0603";"3,3856"
"0,4500";"1,0841";"3,4590"
"0,4600";"1,1081";"3,5298"
"0,4700";"1,1320";"3,5994"
"0,4800";"1,1562";"3,6695"
"0,4900";"1,1803";"3,7395"
"0,5000";"1,2044";"3,8079"
"0,5100";"1,2286";"3,8738"
"0,5200";"1,2527";"3,9415"
"0,5300";"1,2768";"4,0119"
"0,5400";"1,3010";"4,0841"
"0,5500";"1,3248";"4,1556"
"0,5600";"1,3490";"4,2265"
"0,5700";"1,3732";"4,2932"
"0,5800";"1,3974";"4,3575"
"0,5900";"1,4215";"4,4230"
"0,6000";"1,4455";"4,4894"
"0,6100";"1,4693";"4,5554"
"0,6200";"1,4932";"4,6200"
"0,6300";"1,5169";"4,6825"
"0,6400";"1,5409";"4,7440"
"0,6500";"1,5647";"4,8061"
"0,6600";"1,5888";"4,8683"
"0,6700";"1,6126";"4,9305"
"0,6800";"1,6366";"4,9942"
"0,6900";"1,6605";"5,0613"
"0,7000";"1,6845";"5,1288"
"0,7100";"1,7085";"5,1947"
"0,7200";"1,7325";"5,2594"
"0,7300";"1,7564";"5,3222"
"0,7400";"1,7805";"5,3832"
"0,7500";"1,8048";"5,4434"
"0,7600";"1,8290";"5,5037"
"0,7700";"1,8532";"5,5660"
"0,7800";"1,8773";"5,6306"
"0,7900";"1,9013";"5,6955"
"0,8000";"1,9251";"5,7612"
"0,8100";"1,9489";"5,8247"
"0,8200";"1,9727";"5,8865"
"0,8300";"1,9966";"5,9482"
"0,8400";"2,0205";"6,0116"
"0,8500";"2,0446";"6,0773"
"0,8600";"2,0685";"6,1409"
"0,8700";"2,0925";"6,2023"
"0,8800";"2,1165";"6,2640"
"0,8900";"2,1405";"6,3272"
"0,9000";"2,1644";"6,3911"
"0,9100";"2,1882";"6,4518"
"0,9200";"2,2122";"6,5128"
"0,9300";"2,2367";"6,5776"
"0,9400";"2,2610";"6,6454"
"0,9500";"2,2854";"6,7137"
"0,9600";"2,3095";"6,7792"
"0,9700";"2,3336";"6,8440"
"0,9800";"2,3576";"6,9095"
"0,9900";"2,3815";"6,9744"
"1,0000";"2,4054";"7,0378"
"1,0100";"2,4292";"7,0985"
"1,0200";"2,4531";"7,1570"
"1,0300";"2,4769";"7,2175"
"1,0400";"2,5009";"7,2814"
"1,0500";"2,5247";"7,3473"
"1,0600";"2,5485";"7,4126"
"1,0700";"2,5722";"7,4772"
"1,0800";"2,5958";"7,5420"
"1,0900";"2,6197";"7,6060"
"1,1000";"2,6435";"7,6694"
"1,1100";"2,6677";"7,7356"
"1,1200";"2,6924";"7,8035"
"1,1300";"2,7168";"7,8724"
"1,1400";"2,7411";"7,9416"
"1,1500";"2,7652";"8,0103"
"1,1600";"2,7892";"8,0786"
"1,1700";"2,8129";"8,1489"
"1,1800";"2,8369";"8,2170"
"1,1900";"2,8608";"8,2826"
"1,2000";"2,8848";"8,3479"
"1,2100";"2,9088";"8,4144"
"1,2200";"2,9326";"8,4845"
"1,2300";"2,9565";"8,5569"
"1,2400";"2,9804";"8,6292"
"1,2500";"3,0040";"8,7007"
"1,2520";"3,0088";"8,7148"
"1,2540";"3,0135";"8,7288"
"1,2640";"3,0304";"8,7936"
"1,2740";"3,0299";"8,8244"
"1,2840";"3,0202";"8,8247"
"1,2940";"3,0007";"8,7849"
"1,3040";"2,9719";"8,6965"
"1,3140";"2,9375";"8,5637"
"1,3240";"2,9007";"8,3930"
