Tempo;Spostamento;Forza
(s);(mm);(N)
"0,0000";"0,0000";"-0,1349"
"0,0100";"0,0000";"-0,1471"
"0,0200";"0,0001";"-0,1426"
"0,0300";"0,0002";"-0,1277"
"0,0400";"0,0005";"-0,1190"
"0,0500";"0,0009";"-0,1216"
"0,0600";"0,0017";"-0,1281"
"0,0700";"0,0025";"-0,1261"
"0,0800";"0,0035";"-0,1154"
"0,0900";"0,0050";"-0,1056"
"0,1000";"0,0067";"-0,1027"
"0,1100";"0,0087";"-0,1030"
"0,1200";"0,0111";"-0,0984"
"0,1300";"0,0136";"-0,0859"
"0,1400";"0,0162";"-0,0713"
"0,1500";"0,0189";"-0,0597"
"0,1600";"0,0214";"-0,0489"
"0,1700";"0,0238";"-0,0335"
"0,1800";"0,0261";"-0,0140"
"0,1900";"0,0283";"0,0050"
"0,2000";"0,0303";"0,0201"
"0,2100";"0,0323";"0,0308"
"0,2200";"0,0344";"0,0380"
"0,2300";"0,0364";"0,0442"
"0,2400";"0,0382";"0,0514"
"0,2500";"0,0401";"0,0602"
"0,2600";"0,0421";"0,0696"
"0,2700";"0,0439";"0,0788"
"0,2800";"0,0459";"0,0861"
"0,2900";"0,0479";"0,0930"
"0,3000";"0,0498";"0,1007"
"0,3100";"0,0517";"0,1097"
"0,3200";"0,0535";"0,1175"
"0,3300";"0,0551";"0,1251"
"0,3400";"0,0569";"0,1322"
"0,3500";"0,0586";"0,1395"
"0,3600";"0,0602";"0,1468"
"0,3700";"0,0620";"0,1535"
"0,3800";"0,0636";"0,1605"
"0,3900";"0,0653";"0,1681"
"0,4000";"0,0669";"0,1760"
"0,4100";"0,0687";"0,1822"
"0,4200";"0,0704";"0,1879"
"0,4300";"0,0719";"0,1946"
"0,4400";"0,0735";"0,2021"
"0,4500";"0,0752";"0,2069"
"0,4600";"0,0767";"0,2108"
"0,4700";"0,0784";"0,2181"
"0,4800";"0,0800";"0,2302"
"0,4900";"0,0817";"0,2413"
"0,5000";"0,0833";"0,2453"
"0,5100";"0,0850";"0,2442"
"0,5200";"0,0868";"0,2449"
"0,5300";"0,0884";"0,2512"
"0,5400";"0,0901";"0,2583"
"0,5500";"0,0918";"0,2643"
"0,5600";"0,0935";"0,2710"
"0,5700";"0,0952";"0,2797"
"0,5800";"0,0969";"0,2921"
"0,5900";"0,0986";"0,3021"
"0,6000";"0,1002";"0,3075"
"0,6100";"0,1019";"0,3111"
"0,6200";"0,1037";"0,3156"
"0,6300";"0,1053";"0,3205"
"0,6400";"0,1071";"0,3251"
"0,6500";"0,1087";"0,3297"
"0,6600";"0,1105";"0,3358"
"0,6700";"0,1122";"0,3431"
"0,6800";"0,1139";"0,3498"
"0,6900";"0,1157";"0,3552"
"0,7000";"0,1173";"0,3608"
"0,7100";"0,1190";"0,3694"
"0,7200";"0,1207";"0,3785"
"0,7300";"0,1222";"0,3841"
"0,7400";"0,1238";"0,3887"
"0,7500";"0,1256";"0,3934"
"0,7600";"0,1273";"0,3999"
"0,7700";"0,1289";"0,4065"
"0,7800";"0,1306";"0,4095"
"0,7900";"0,1323";"0,4119"
"0,8000";"0,1340";"0,4156"
"0,8100";"0,1356";"0,4218"
"0,8200";"0,1373";"0,4292"
"0,8300";"0,1390";"0,4372"
"0,8400";"0,1406";"0,4444"
"0,8500";"0,1423";"0,4521"
"0,8600";"0,1438";"0,4573"
"0,8700";"0,1453";"0,4610"
"0,8800";"0,1469";"0,4653"
"0,8900";"0,1485";"0,4722"
"0,9000";"0,1502";"0,4773"
"0,9100";"0,1518";"0,4797"
"0,9200";"0,1535";"0,4816"
"0,9300";"0,1552";"0,4858"
"0,9400";"0,1569";"0,4929"
"0,9500";"0,1587";"0,5001"
"0,9600";"0,1603";"0,5048"
"0,9700";"0,1621";"0,5104"
"0,9800";"0,1640";"0,5196"
"0,9900";"0,1656";"0,5299"
"1,0000";"0,1673";"0,5357"
"1,0100";"0,1689";"0,5376"
"1,0200";"0,1707";"0,5414"
"1,0300";"0,1724";"0,5488"
"1,0400";"0,1740";"0,5548"
"1,0500";"0,1757";"0,5596"
"1,0600";"0,1773";"0,5634"
"1,0700";"0,1790";"0,5677"
"1,0800";"0,1806";"0,5733"
"1,0900";"0,1823";"0,5776"
"1,1000";"0,1838";"0,5815"
"1,1100";"0,1855";"0,5872"
"1,1200";"0,1872";"0,5924"
"1,1300";"0,1888";"0,5951"
"1,1400";"0,1904";"0,5985"
"1,1500";"0,1921";"0,6061"
"1,1600";"0,1937";"0,6155"
"1,1700";"0,1954";"0,6207"
"1,1800";"0,1970";"0,6236"
"1,1900";"0,1987";"0,6248"
"1,2000";"0,2003";"0,6275"
"1,2100";"0,2020";"0,6320"
"1,2200";"0,2036";"0,6367"
"1,2300";"0,2052";"0,6419"
"1,2400";"0,2068";"0,6474"
"1,2500";"0,2085";"0,6559"
"1,2600";"0,2101";"0,6655"
"1,2700";"0,2117";"0,6716"
"1,2800";"0,2133";"0,6732"
"1,2900";"0,2151";"0,6742"
"1,3000";"0,2167";"0,6782"
"1,3100";"0,2185";"0,6825"
"1,3200";"0,2203";"0,6867"
"1,3300";"0,2219";"0,6909"
"1,3400";"0,2237";"0,6983"
