Tempo;Spostamento;Forza
(s);(mm);(N)
"0,0000";"0,0000";"0,0019"
"0,0100";"0,0000";"0,0054"
"0,0200";"0,0000";"0,0099"
"0,0300";"0,0000";"0,0151"
"0,0400";"0,0000";"0,0204"
"0,0500";"0,0000";"0,0205"
"0,0600";"0,0000";"0,0163"
"0,0700";"0,0000";"0,0112"
"0,0800";"0,0000";"0,0070"
"0,0900";"0,0002";"0,0051"
"0,1000";"0,0002";"0,0042"
"0,1100";"0,0002";"0,0035"
"0,1200";"0,0004";"0,0024"
"0,1300";"0,0005";"0,0025"
"0,1400";"0,0007";"0,0054"
"0,1500";"0,0011";"0,0097"
"0,1600";"0,0014";"0,0126"
"0,1700";"0,0019";"0,0123"
"0,1800";"0,0025";"0,0119"
"0,1900";"0,0031";"0,0135"
"0,2000";"0,0038";"0,0166"
"0,2100";"0,0045";"0,0173"
"0,2200";"0,0052";"0,0161"
"0,2300";"0,0059";"0,0167"
"0,2400";"0,0066";"0,0189"
"0,2500";"0,0072";"0,0215"
"0,2600";"0,0078";"0,0267"
"0,2700";"0,0083";"0,0330"
"0,2800";"0,0087";"0,0369"
"0,2900";"0,0092";"0,0372"
"0,3000";"0,0096";"0,0364"
"0,3100";"0,0100";"0,0366"
"0,3200";"0,0105";"0,0393"
"0,3300";"0,0109";"0,0407"
"0,3400";"0,0112";"0,0405"
"0,3500";"0,0117";"0,0399"
"0,3600";"0,0119";"0,0408"
"0,3700";"0,0123";"0,0427"
"0,3800";"0,0125";"0,0437"
"0,3900";"0,0129";"0,0445"
"0,4000";"0,0132";"0,0451"
"0,4100";"0,0135";"0,0464"
"0,4200";"0,0138";"0,0492"
"0,4300";"0,0142";"0,0532"
"0,4400";"0,0145";"0,0584"
"0,4500";"0,0149";"0,0602"
"0,4600";"0,0152";"0,0565"
"0,4700";"0,0156";"0,0526"
"0,4800";"0,0158";"0,0527"
"0,4900";"0,0162";"0,0547"
"0,5000";"0,0165";"0,0547"
"0,5100";"0,0169";"0,0530"
"0,5200";"0,0172";"0,0535"
"0,5300";"0,0175";"0,0570"
"0,5400";"0,0178";"0,0611"
"0,5500";"0,0182";"0,0635"
"0,5600";"0,0185";"0,0642"
"0,5700";"0,0189";"0,0639"
"0,5800";"0,0191";"0,0641"
"0,5900";"0,0195";"0,0663"
"0,6000";"0,0198";"0,0698"
"0,6100";"0,0201";"0,0721"
"0,6200";"0,0204";"0,0711"
"0,6300";"0,0208";"0,0690"
"0,6400";"0,0211";"0,0679"
"0,6500";"0,0215";"0,0685"
"0,6600";"0,0218";"0,0696"
"0,6700";"0,0222";"0,0708"
"0,6800";"0,0224";"0,0751"
"0,6900";"0,0228";"0,0807"
"0,7000";"0,0231";"0,0854"
"0,7100";"0,0235";"0,0863"
"0,7200";"0,0238";"0,0850"
"0,7300";"0,0242";"0,0826"
"0,7400";"0,0244";"0,0794"
"0,7500";"0,0248";"0,0765"
"0,7600";"0,0250";"0,0773"
"0,7700";"0,0254";"0,0804"
"0,7800";"0,0257";"0,0833"
"0,7900";"0,0260";"0,0854"
"0,8000";"0,0263";"0,0879"
"0,8100";"0,0267";"0,0909"
"0,8200";"0,0270";"0,0942"
"0,8300";"0,0274";"0,0953"
"0,8400";"0,0277";"0,0951"
"0,8500";"0,0281";"0,0948"
"0,8600";"0,0286";"0,0952"
"0,8700";"0,0288";"0,0943"
"0,8800";"0,0292";"0,0934"
"0,8900";"0,0295";"0,0932"
"0,9000";"0,0299";"0,0940"
"0,9100";"0,0301";"0,0958"
"0,9200";"0,0303";"0,0979"
"0,9300";"0,0307";"0,0992"
"0,9400";"0,0310";"0,1003"
"0,9500";"0,0314";"0,0999"
"0,9600";"0,0316";"0,1000"
"0,9700";"0,0320";"0,1028"
"0,9800";"0,0323";"0,1063"
"0,9900";"0,0328";"0,1084"
"1,0000";"0,0332";"0,1088"
"1,0100";"0,0335";"0,1086"
"1,0200";"0,0339";"0,1098"
"1,0300";"0,0342";"0,1116"
"1,0400";"0,0346";"0,1114"
"1,0500";"0,0348";"0,1093"
"1,0600";"0,0352";"0,1074"
"1,0700";"0,0354";"0,1079"
"1,0800";"0,0358";"0,1108"
"1,0900";"0,0361";"0,1144"
"1,1000";"0,0365";"0,1172"
"1,1100";"0,0368";"0,1195"
"1,1200";"0,0372";"0,1196"
"1,1300";"0,0375";"0,1199"
"1,1400";"0,0379";"0,1216"
"1,1500";"0,0382";"0,1227"
"1,1600";"0,0386";"0,1215"
"1,1700";"0,0390";"0,1200"
"1,1800";"0,0393";"0,1205"
"1,1900";"0,0397";"0,1235"
"1,2000";"0,0400";"0,1264"
"1,2100";"0,0404";"0,1293"
"1,2200";"0,0406";"0,1322"
"1,2300";"0,0410";"0,1354"
"1,2400";"0,0413";"0,1356"
"1,2500";"0,0416";"0,1328"
"1,2600";"0,0419";"0,1312"
"1,2700";"0,0423";"0,1319"
"1,2800";"0,0425";"0,1330"
"1,2900";"0,0429";"0,1332"
"1,3000";"0,0432";"0,1336"
"1,3100";"0,0434";"0,1367"
"1,3200";"0,0438";"0,1392"
"1,3300";"0,0442";"0,1393"
"1,3400";"0,0445";"0,1402"
"1,3500";"0,0449";"0,1441"
"1,3600";"0,0452";"0,1478"
"1,3700";"0,0456";"0,1494"
"1,3800";"0,0459";"0,1485"
"1,3900";"0,0462";"0,1481"
"1,4000";"0,0465";"0,1482"
"1,4100";"0,0467";"0,1484"
"1,4200";"0,0471";"0,1489"
"1,4300";"0,0475";"0,1497"
"1,4400";"0,0477";"0,1508"
"1,4500";"0,0480";"0,1508"
"1,4600";"0,0484";"0,1500"
"1,4700";"0,0488";"0,1500"
"1,4800";"0,0491";"0,1525"
"1,4900";"0,0493";"0,1541"
"1,5000";"0,0498";"0,1558"
"1,5100";"0,0502";"0,1594"
"1,5200";"0,0505";"0,1625"
"1,5300";"0,0509";"0,1635"
"1,5400";"0,0512";"0,1618"
"1,5500";"0,0516";"0,1616"
"1,5600";"0,0519";"0,1636"
"1,5700";"0,0522";"0,1648"
"1,5800";"0,0525";"0,1622"
"1,5900";"0,0529";"0,1598"
"1,6000";"0,0531";"0,1626"
"1,6100";"0,0535";"0,1686"
"1,6200";"0,0538";"0,1722"
"1,6300";"0,0541";"0,1725"
"1,6400";"0,0544";"0,1723"
"1,6500";"0,0548";"0,1734"
"1,6600";"0,0551";"0,1748"
"1,6700";"0,0555";"0,1758"
"1,6800";"0,0558";"0,1768"
"1,6900";"0,0562";"0,1772"
"1,7000";"0,0565";"0,1781"
"1,7100";"0,0569";"0,1798"
"1,7200";"0,0571";"0,1817"
"1,7300";"0,0575";"0,1837"
"1,7400";"0,0577";"0,1839"
"1,7500";"0,0581";"0,1832"
"1,7600";"0,0584";"0,1840"
"1,7700";"0,0588";"0,1869"
"1,7800";"0,0591";"0,1887"
"1,7900";"0,0595";"0,1893"
"1,8000";"0,0599";"0,1898"
"1,8100";"0,0602";"0,1893"
