Tempo;Spostamento;Forza
(s);(mm);(N)
"0,0000";"0,0001";"-0,0390"
"0,0100";"0,0001";"-0,0334"
"0,0200";"0,0001";"-0,0253"
"0,0300";"0,0001";"-0,0269"
"0,0400";"0,0001";"-0,0365"
"0,0500";"0,0001";"-0,0401"
"0,0600";"0,0001";"-0,0290"
"0,0700";"0,0004";"-0,0117"
"0,0800";"0,0005";"-0,0045"
"0,0900";"0,0008";"-0,0113"
"0,1000";"0,0017";"-0,0223"
"0,1100";"0,0028";"-0,0290"
"0,1200";"0,0046";"-0,0289"
"0,1300";"0,0070";"-0,0259"
"0,1400";"0,0096";"-0,0236"
"0,1500";"0,0124";"-0,0240"
"0,1600";"0,0156";"-0,0216"
"0,1700";"0,0189";"-0,0113"
"0,1800";"0,0224";"0,0094"
"0,1900";"0,0260";"0,0320"
"0,2000";"0,0296";"0,0462"
"0,2100";"0,0334";"0,0511"
"0,2200";"0,0372";"0,0529"
"0,2300";"0,0411";"0,0564"
"0,2400";"0,0452";"0,0645"
"0,2500";"0,0495";"0,0754"
"0,2600";"0,0537";"0,0825"
"0,2700";"0,0582";"0,0862"
"0,2800";"0,0629";"0,0891"
"0,2900";"0,0678";"0,0980"
"0,3000";"0,0727";"0,1172"
"0,3100";"0,0780";"0,1374"
"0,3200";"0,0833";"0,1520"
"0,3300";"0,0889";"0,1635"
"0,3400";"0,0947";"0,1763"
"0,3500";"0,1005";"0,1914"
"0,3600";"0,1064";"0,2052"
"0,3700";"0,1125";"0,2159"
"0,3800";"0,1189";"0,2235"
"0,3900";"0,1255";"0,2314"
"0,4000";"0,1320";"0,2401"
"0,4100";"0,1390";"0,2517"
"0,4200";"0,1459";"0,2684"
"0,4300";"0,1531";"0,2860"
"0,4400";"0,1603";"0,3028"
"0,4500";"0,1678";"0,3188"
"0,4600";"0,1754";"0,3367"
"0,4700";"0,1832";"0,3573"
"0,4800";"0,1911";"0,3774"
"0,4900";"0,1993";"0,3961"
"0,5000";"0,2075";"0,4126"
"0,5100";"0,2159";"0,4270"
"0,5200";"0,2244";"0,4393"
"0,5300";"0,2332";"0,4513"
"0,5400";"0,2421";"0,4660"
"0,5500";"0,2513";"0,4808"
"0,5600";"0,2608";"0,4940"
"0,5700";"0,2703";"0,5096"
"0,5800";"0,2801";"0,5306"
"0,5900";"0,2898";"0,5554"
"0,6000";"0,3000";"0,5798"
"0,6100";"0,3101";"0,6024"
"0,6200";"0,3204";"0,6243"
"0,6300";"0,3308";"0,6481"
"0,6400";"0,3413";"0,6712"
"0,6500";"0,3519";"0,6905"
"0,6600";"0,3627";"0,7050"
"0,6700";"0,3738";"0,7179"
"0,6800";"0,3851";"0,7331"
"0,6900";"0,3965";"0,7506"
"0,7000";"0,4082";"0,7682"
"0,7100";"0,4202";"0,7870"
"0,7200";"0,4322";"0,8091"
"0,7300";"0,4445";"0,8342"
"0,7400";"0,4568";"0,8612"
"0,7500";"0,4693";"0,8881"
"0,7600";"0,4818";"0,9130"
"0,7700";"0,4945";"0,9353"
"0,7800";"0,5074";"0,9560"
"0,7900";"0,5205";"0,9765"
"0,8000";"0,5338";"0,9955"
"0,8100";"0,5474";"1,0139"
"0,8200";"0,5610";"1,0333"
"0,8300";"0,5748";"1,0533"
"0,8400";"0,5886";"1,0750"
"0,8500";"0,6027";"1,0978"
"0,8600";"0,6170";"1,1227"
"0,8700";"0,6315";"1,1500"
"0,8800";"0,6460";"1,1777"
"0,8900";"0,6608";"1,2049"
"0,9000";"0,6756";"1,2303"
"0,9100";"0,6907";"1,2563"
"0,9200";"0,7060";"1,2816"
"0,9300";"0,7214";"1,3055"
"0,9400";"0,7371";"1,3279"
"0,9500";"0,7530";"1,3488"
"0,9600";"0,7689";"1,3690"
"0,9700";"0,7850";"1,3885"
"0,9800";"0,8014";"1,4113"
"0,9900";"0,8178";"1,4390"
"1,0000";"0,8344";"1,4686"
"1,0100";"0,8511";"1,4972"
"1,0200";"0,8681";"1,5254"
"1,0300";"0,8851";"1,5530"
"1,0400";"0,9021";"1,5822"
"1,0500";"0,9191";"1,6105"
"1,0600";"0,9358";"1,6343"
"1,0700";"0,9525";"1,6590"
"1,0800";"0,9692";"1,6832"
"1,0900";"0,9860";"1,7048"
"1,1000";"1,0029";"1,7232"
"1,1100";"1,0195";"1,7428"
"1,1200";"1,0363";"1,7654"
"1,1300";"1,0531";"1,7887"
"1,1400";"1,0696";"1,8131"
"1,1500";"1,0860";"1,8374"
"1,1600";"1,1028";"1,8635"
"1,1700";"1,1196";"1,8919"
"1,1800";"1,1364";"1,9183"
"1,1900";"1,1530";"1,9429"
"1,2000";"1,1699";"1,9662"
"1,2100";"1,1867";"1,9862"
"1,2200";"1,2032";"2,0042"
"1,2300";"1,2201";"2,0237"
"1,2400";"1,2369";"2,0455"
"1,2500";"1,2535";"2,0669"
"1,2600";"1,2702";"2,0876"
"1,2700";"1,2867";"2,1097"
"1,2800";"1,3035";"2,1343"
"1,2900";"1,3200";"2,1596"
"1,3000";"1,3366";"2,1830"
"1,3100";"1,3534";"2,2062"
"1,3200";"1,3702";"2,2305"
"1,3300";"1,3868";"2,2527"
"1,3400";"1,4034";"2,2725"
"1,3500";"1,4201";"2,2922"
"1,3600";"1,4366";"2,3120"
"1,3700";"1,4530";"2,3322"
"1,3800";"1,4696";"2,3495"
"1,3900";"1,4862";"2,3664"
"1,4000";"1,5030";"2,3851"
"1,4100";"1,5196";"2,4061"
"1,4200";"1,5364";"2,4286"
"1,4300";"1,5531";"2,4515"
"1,4400";"1,5699";"2,4750"
"1,4500";"1,5867";"2,4980"
"1,4600";"1,6033";"2,5207"
"1,4700";"1,6202";"2,5435"
"1,4800";"1,6368";"2,5644"
"1,4900";"1,6534";"2,5829"
"1,5000";"1,6701";"2,6005"
"1,5100";"1,6870";"2,6172"
"1,5200";"1,7037";"2,6353"
"1,5300";"1,7202";"2,6545"
"1,5400";"1,7371";"2,6747"
"1,5480";"1,7504";"2,6907"
"1,5500";"1,7537";"2,6947"
"1,5600";"1,7685";"2,7147"
"1,5700";"1,7771";"2,7263"
"1,5800";"1,7802";"2,7281"
"1,5880";"1,7803";"2,7287"
"1,5980";"1,7799";"2,7313"
"1,6080";"1,7797";"2,7319"
"1,6180";"1,7793";"2,7262"
"1,6280";"1,7786";"2,7136"
"1,6380";"1,7776";"2,6972"
"1,6480";"1,7760";"2,6812"
"1,6580";"1,7741";"2,6651"
"1,6680";"1,7719";"2,6489"
"1,6780";"1,7692";"2,6342"
"1,6880";"1,7663";"2,6217"
"1,6980";"1,7635";"2,6088"
"1,7080";"1,7609";"2,5968"
"1,7180";"1,7588";"2,5839"
"1,7280";"1,7569";"2,5727"
"1,7380";"1,7555";"2,5650"
"1,7480";"1,7543";"2,5552"
"1,7580";"1,7534";"2,5436"
"1,7680";"1,7527";"2,5330"
"1,7780";"1,7521";"2,5234"
"1,7880";"1,7516";"2,5139"
"1,7980";"1,7512";"2,5075"
"1,8080";"1,7509";"2,5019"
"1,8180";"1,7506";"2,4939"
"1,8280";"1,7504";"2,4857"
"1,8380";"1,7503";"2,4802"
"1,8480";"1,7502";"2,4787"
"1,8580";"1,7501";"2,4774"
"1,8680";"1,7499";"2,4732"
"1,8780";"1,7498";"2,4690"
"1,8880";"1,7498";"2,4660"
"1,8980";"1,7498";"2,4633"
"1,9080";"1,7497";"2,4598"
"1,9180";"1,7497";"2,4542"
"1,9280";"1,7497";"2,4479"
"1,9380";"1,7497";"2,4419"
"1,9480";"1,7497";"2,4370"
"1,9580";"1,7497";"2,4336"
"1,9680";"1,7497";"2,4314"
"1,9780";"1,7497";"2,4306"
"1,9880";"1,7497";"2,4288"
"1,9980";"1,7497";"2,4257"
"2,0080";"1,7497";"2,4246"
"2,0180";"1,7497";"2,4246"
"2,0280";"1,7497";"2,4215"
"2,0380";"1,7497";"2,4156"
"2,0480";"1,7497";"2,4106"
"2,0580";"1,7497";"2,4059"
"2,0680";"1,7497";"2,4018"
"2,0780";"1,7497";"2,3989"
"2,0880";"1,7497";"2,3968"
"2,0980";"1,7497";"2,3938"
"2,1080";"1,7497";"2,3908"
"2,1180";"1,7497";"2,3887"
"2,1280";"1,7497";"2,3873"
"2,1380";"1,7497";"2,3873"
"2,1480";"1,7497";"2,3863"
"2,1580";"1,7497";"2,3833"
"2,1680";"1,7497";"2,3805"
"2,1780";"1,7497";"2,3788"
"2,1880";"1,7497";"2,3779"
"2,1980";"1,7497";"2,3761"
"2,2080";"1,7497";"2,3733"
"2,2180";"1,7497";"2,3683"
"2,2280";"1,7497";"2,3626"
"2,2380";"1,7497";"2,3576"
"2,2480";"1,7497";"2,3533"
