Tempo;Spostamento;Forza
(s);(mm);(N)
"0,0000";"0,0000";"-0,0016"
"0,0100";"0,0046";"-0,0017"
"0,0200";"0,0273";"0,0265"
"0,0300";"0,0710";"0,0900"
"0,0400";"0,1301";"0,1727"
"0,0500";"0,1976";"0,2651"
"0,0600";"0,2682";"0,3650"
"0,0700";"0,3391";"0,4780"
"0,0800";"0,4084";"0,6061"
"0,0900";"0,4754";"0,7429"
"0,1000";"0,5402";"0,8802"
"0,1100";"0,6031";"1,0143"
"0,1200";"0,6647";"1,1446"
"0,1300";"0,7250";"1,2669"
"0,1400";"0,7845";"1,3796"
"0,1500";"0,8430";"1,4845"
"0,1600";"0,9009";"1,5846"
"0,1700";"0,9581";"1,6804"
"0,1800";"1,0152";"1,7732"
"0,1900";"1,0718";"1,8625"
"0,2000";"1,1283";"1,9484"
"0,2100";"1,1848";"2,0309"
"0,2200";"1,2416";"2,1121"
"0,2300";"1,2981";"2,1922"
"0,2400";"1,3543";"2,2727"
"0,2500";"1,4105";"2,3509"
"0,2600";"1,4668";"2,4242"
"0,2700";"1,5228";"2,4962"
"0,2800";"1,5788";"2,5686"
"0,2900";"1,6350";"2,6420"
"0,3000";"1,6911";"2,7155"
"0,3100";"1,7475";"2,7874"
"0,3200";"1,8034";"2,8571"
"0,3300";"1,8595";"2,9263"
"0,3400";"1,9155";"2,9950"
"0,3500";"1,9713";"3,0633"
"0,3600";"2,0271";"3,1316"
"0,3700";"2,0832";"3,1985"
"0,3800";"2,1394";"3,2627"
"0,3900";"2,1956";"3,3263"
"0,4000";"2,2516";"3,3908"
"0,4100";"2,3073";"3,4552"
"0,4200";"2,3631";"3,5173"
"0,4300";"2,4193";"3,5784"
"0,4400";"2,4754";"3,6409"
"0,4500";"2,5315";"3,7040"
"0,4600";"2,5875";"3,7655"
"0,4700";"2,6436";"3,8246"
"0,4800";"2,6996";"3,8846"
"0,4900";"2,7555";"3,9490"
"0,5000";"2,8116";"4,0120"
"0,5100";"2,8675";"4,0703"
"0,5200";"2,9233";"4,1260"
"0,5300";"2,9791";"4,1843"
"0,5400";"3,0352";"4,2441"
"0,5500";"3,0912";"4,3016"
"0,5600";"3,1472";"4,3583"
"0,5700";"3,2036";"4,4146"
"0,5800";"3,2600";"4,4716"
"0,5900";"3,3161";"4,5313"
"0,6000";"3,3719";"4,5906"
"0,6100";"3,4277";"4,6481"
"0,6200";"3,4835";"4,7031"
"0,6300";"3,5392";"4,7598"
"0,6400";"3,5950";"4,8188"
"0,6500";"3,6511";"4,8778"
"0,6600";"3,7074";"4,9338"
"0,6700";"3,7638";"4,9880"
"0,6800";"3,8199";"5,0430"
"0,6900";"3,8758";"5,0982"
"0,7000";"3,9316";"5,1524"
"0,7100";"3,9874";"5,2043"
"0,7200";"4,0434";"5,2581"
"0,7300";"4,0996";"5,3165"
"0,7400";"4,1559";"5,3760"
"0,7500";"4,2121";"5,4338"
"0,7600";"4,2679";"5,4896"
"0,7700";"4,3237";"5,5461"
"0,7800";"4,3794";"5,6027"
"0,7900";"4,4350";"5,6575"
"0,8000";"4,4907";"5,7118"
"0,8100";"4,5468";"5,7669"
"0,8200";"4,6030";"5,8223"
"0,8300";"4,6591";"5,8766"
"0,8400";"4,7150";"5,9308"
"0,8500";"4,7709";"5,9870"
"0,8600";"4,8266";"6,0439"
"0,8700";"4,8822";"6,1003"
"0,8800";"4,9384";"6,1589"
"0,8900";"4,9947";"6,2177"
"0,9000";"5,0511";"6,2752"
"0,9100";"5,1074";"6,3306"
"0,9200";"5,1636";"6,3851"
"0,9300";"5,2196";"6,4426"
"0,9400";"5,2753";"6,5000"
"0,9500";"5,3309";"6,5545"
"0,9600";"5,3868";"6,6088"
"0,9700";"5,4426";"6,6678"
"0,9800";"5,4987";"6,7291"
"0,9900";"5,5547";"6,7873"
"1,0000";"5,6109";"6,8428"
"1,0100";"5,6670";"6,8993"
"1,0200";"5,7230";"6,9592"
"1,0300";"5,7789";"7,0188"
"1,0400";"5,8348";"7,0760"
"1,0500";"5,8907";"7,1329"
"1,0600";"5,9469";"7,1916"
"1,0700";"6,0031";"7,2516"
"1,0800";"6,0594";"7,3109"
"1,0900";"6,1156";"7,3695"
"1,1000";"6,1716";"7,4301"
"1,1100";"6,2271";"7,4904"
"1,1200";"6,2826";"7,5484"
"1,1300";"6,3386";"7,6065"
"1,1400";"6,3950";"7,6657"
"1,1500";"6,4513";"7,7266"
"1,1600";"6,5073";"7,7893"
"1,1700";"6,5633";"7,8501"
"1,1800";"6,6188";"7,9107"
"1,1900";"6,6745";"7,9716"
"1,2000";"6,7303";"8,0339"
"1,2100";"6,7865";"8,0991"
"1,2200";"6,8427";"8,1633"
"1,2300";"6,8990";"8,2248"
"1,2400";"6,9554";"8,2830"
"1,2480";"7,0003";"8,3297"
"1,2500";"7,0116";"8,3418"
"1,2520";"7,0227";"8,3541"
"1,2620";"7,0622";"8,4054"
"1,2720";"7,0596";"8,3868"
"1,2820";"7,0256";"8,3262"
"1,2920";"6,9668";"8,2450"
"1,3020";"6,8918";"8,1510"
"1,3120";"6,8096";"8,0440"
"1,3220";"6,7261";"7,9160"
"1,3320";"6,6448";"7,7637"
"1,3420";"6,5673";"7,5954"
"1,3520";"6,4939";"7,4219"
"1,3620";"6,4240";"7,2507"
"1,3720";"6,3569";"7,0869"
"1,3820";"6,2921";"6,9338"
"1,3920";"6,2291";"6,7903"
"1,4020";"6,1680";"6,6553"
"1,4120";"6,1082";"6,5314"
"1,4220";"6,0490";"6,4177"
"1,4320";"5,9905";"6,3095"
"1,4420";"5,9325";"6,2037"
"1,4520";"5,8748";"6,1006"
"1,4620";"5,8173";"6,0009"
"1,4720";"5,7600";"5,9060"
"1,4820";"5,7033";"5,8124"
"1,4920";"5,6467";"5,7216"
"1,5020";"5,5903";"5,6330"
"1,5120";"5,5340";"5,5436"
"1,5220";"5,4777";"5,4544"
"1,5320";"5,4213";"5,3653"
"1,5420";"5,3650";"5,2799"
"1,5520";"5,3090";"5,2001"
"1,5620";"5,2529";"5,1198"
"1,5720";"5,1967";"5,0389"
"1,5820";"5,1407";"4,9565"
"1,5920";"5,0849";"4,8764"
"1,6020";"5,0289";"4,7987"
"1,6120";"4,9730";"4,7230"
"1,6220";"4,9169";"4,6459"
"1,6320";"4,8607";"4,5683"
"1,6420";"4,8045";"4,4906"
"1,6520";"4,7483";"4,4152"
"1,6620";"4,6924";"4,3442"
"1,6720";"4,6364";"4,2736"
"1,6820";"4,5806";"4,2007"
"1,6920";"4,5246";"4,1262"
"1,7020";"4,4688";"4,0534"
"1,7120";"4,4127";"3,9836"
"1,7220";"4,3565";"3,9149"
"1,7320";"4,3002";"3,8453"
"1,7420";"4,2443";"3,7767"
