Tempo;Spostamento;Forza
(s);(mm);(N)
"0,0000";"0,0001";"-0,0031"
"0,0100";"0,0001";"0,0018"
"0,0200";"0,0005";"0,0090"
"0,0300";"0,0011";"0,0143"
"0,0400";"0,0026";"0,0153"
"0,0500";"0,0052";"0,0117"
"0,0600";"0,0087";"0,0059"
"0,0700";"0,0129";"0,0014"
"0,0800";"0,0174";"-0,0015"
"0,0900";"0,0222";"-0,0023"
"0,1000";"0,0268";"-0,0038"
"0,1100";"0,0314";"-0,0066"
"0,1200";"0,0358";"-0,0085"
"0,1300";"0,0399";"-0,0067"
"0,1400";"0,0440";"-0,0014"
"0,1500";"0,0480";"0,0023"
"0,1600";"0,0519";"0,0037"
"0,1700";"0,0556";"0,0051"
"0,1800";"0,0593";"0,0047"
"0,1900";"0,0629";"0,0021"
"0,2000";"0,0665";"-0,0003"
"0,2100";"0,0700";"-0,0003"
"0,2200";"0,0734";"-0,0015"
"0,2300";"0,0769";"-0,0054"
"0,2400";"0,0803";"-0,0100"
"0,2500";"0,0836";"-0,0100"
"0,2600";"0,0870";"-0,0051"
"0,2700";"0,0904";"-0,0002"
"0,2800";"0,0939";"0,0023"
"0,2900";"0,0972";"0,0025"
"0,3000";"0,1005";"0,0032"
"0,3100";"0,1037";"0,0032"
"0,3200";"0,1070";"0,0028"
"0,3300";"0,1104";"0,0025"
"0,3400";"0,1139";"0,0016"
"0,3500";"0,1172";"-0,0006"
"0,3600";"0,1207";"-0,0033"
"0,3700";"0,1240";"-0,0040"
"0,3800";"0,1271";"-0,0036"
"0,3900";"0,1305";"-0,0058"
"0,4000";"0,1339";"-0,0074"
"0,4100";"0,1373";"-0,0055"
"0,4200";"0,1406";"-0,0017"
"0,4300";"0,1439";"0,0011"
"0,4400";"0,1473";"0,0019"
"0,4500";"0,1505";"0,0040"
"0,4600";"0,1539";"0,0054"
"0,4700";"0,1572";"0,0031"
"0,4800";"0,1606";"-0,0004"
"0,4900";"0,1639";"-0,0036"
"0,5000";"0,1672";"-0,0043"
"0,5100";"0,1705";"-0,0064"
"0,5200";"0,1738";"-0,0095"
"0,5300";"0,1772";"-0,0100"
"0,5400";"0,1806";"-0,0061"
