Tempo;Spostamento;Forza
(s);(mm);(N)
"0,0000";"0,0000";"0,0172"
"0,0100";"0,0000";"0,0227"
"0,0200";"0,0000";"0,0184"
"0,0300";"0,0000";"0,0094"
"0,0400";"0,0000";"0,0040"
"0,0500";"0,0000";"0,0040"
"0,0600";"0,0000";"0,0047"
"0,0700";"0,0000";"0,0013"
"0,0800";"0,0002";"-0,0031"
"0,0900";"0,0002";"-0,0029"
"0,1000";"0,0002";"0,0045"
"0,1100";"0,0002";"0,0138"
"0,1200";"0,0004";"0,0194"
"0,1300";"0,0005";"0,0189"
"0,1400";"0,0007";"0,0150"
"0,1500";"0,0011";"0,0125"
"0,1600";"0,0014";"0,0125"
"0,1700";"0,0020";"0,0134"
"0,1800";"0,0026";"0,0145"
"0,1900";"0,0033";"0,0137"
"0,2000";"0,0040";"0,0114"
"0,2100";"0,0046";"0,0096"
"0,2200";"0,0053";"0,0101"
"0,2300";"0,0059";"0,0148"
"0,2400";"0,0065";"0,0194"
"0,2500";"0,0071";"0,0209"
"0,2600";"0,0077";"0,0214"
"0,2700";"0,0083";"0,0244"
"0,2800";"0,0087";"0,0285"
"0,2900";"0,0092";"0,0321"
"0,3000";"0,0096";"0,0330"
"0,3100";"0,0099";"0,0313"
"0,3200";"0,0103";"0,0292"
"0,3300";"0,0106";"0,0284"
"0,3400";"0,0110";"0,0301"
"0,3500";"0,0113";"0,0317"
"0,3600";"0,0117";"0,0307"
"0,3700";"0,0120";"0,0307"
"0,3800";"0,0124";"0,0317"
"0,3900";"0,0127";"0,0346"
"0,4000";"0,0131";"0,0368"
"0,4100";"0,0135";"0,0383"
"0,4200";"0,0138";"0,0393"
"0,4300";"0,0142";"0,0414"
"0,4400";"0,0145";"0,0422"
"0,4500";"0,0149";"0,0416"
"0,4600";"0,0151";"0,0411"
"0,4700";"0,0153";"0,0406"
"0,4800";"0,0157";"0,0391"
"0,4900";"0,0161";"0,0377"
"0,5000";"0,0163";"0,0385"
"0,5100";"0,0168";"0,0416"
"0,5200";"0,0171";"0,0448"
"0,5300";"0,0175";"0,0464"
"0,5400";"0,0178";"0,0472"
"0,5500";"0,0182";"0,0489"
"0,5600";"0,0185";"0,0516"
"0,5700";"0,0190";"0,0539"
"0,5800";"0,0194";"0,0544"
"0,5900";"0,0197";"0,0538"
"0,6000";"0,0201";"0,0512"
"0,6100";"0,0203";"0,0487"
"0,6200";"0,0207";"0,0484"
"0,6300";"0,0209";"0,0483"
"0,6400";"0,0212";"0,0490"
"0,6500";"0,0215";"0,0496"
"0,6600";"0,0218";"0,0507"
"0,6700";"0,0222";"0,0536"
"0,6800";"0,0224";"0,0564"
"0,6900";"0,0228";"0,0583"
"0,7000";"0,0231";"0,0595"
"0,7100";"0,0235";"0,0599"
"0,7200";"0,0238";"0,0596"
"0,7300";"0,0242";"0,0567"
"0,7400";"0,0246";"0,0548"
"0,7500";"0,0249";"0,0544"
"0,7600";"0,0253";"0,0553"
"0,7700";"0,0255";"0,0563"
"0,7800";"0,0259";"0,0559"
"0,7900";"0,0262";"0,0567"
"0,8000";"0,0266";"0,0586"
"0,8100";"0,0268";"0,0611"
"0,8200";"0,0272";"0,0635"
"0,8300";"0,0274";"0,0663"
"0,8400";"0,0277";"0,0686"
"0,8500";"0,0281";"0,0698"
"0,8600";"0,0285";"0,0686"
"0,8700";"0,0288";"0,0671"
"0,8800";"0,0290";"0,0673"
"0,8900";"0,0294";"0,0670"
"0,9000";"0,0297";"0,0654"
"0,9100";"0,0301";"0,0638"
"0,9200";"0,0305";"0,0642"
"0,9300";"0,0308";"0,0672"
"0,9400";"0,0312";"0,0708"
"0,9500";"0,0315";"0,0730"
"0,9600";"0,0319";"0,0738"
"0,9700";"0,0321";"0,0748"
"0,9800";"0,0323";"0,0750"
"0,9900";"0,0327";"0,0741"
"1,0000";"0,0331";"0,0730"
"1,0100";"0,0333";"0,0718"
"1,0200";"0,0336";"0,0732"
"1,0300";"0,0340";"0,0749"
"1,0400";"0,0344";"0,0767"
"1,0500";"0,0347";"0,0772"
"1,0600";"0,0351";"0,0776"
"1,0700";"0,0355";"0,0792"
"1,0800";"0,0359";"0,0814"
"1,0900";"0,0362";"0,0831"
"1,1000";"0,0366";"0,0846"
"1,1100";"0,0370";"0,0842"
"1,1200";"0,0373";"0,0839"
"1,1300";"0,0377";"0,0830"
"1,1400";"0,0379";"0,0808"
"1,1500";"0,0382";"0,0791"
"1,1600";"0,0385";"0,0800"
"1,1700";"0,0387";"0,0816"
"1,1800";"0,0391";"0,0827"
"1,1900";"0,0394";"0,0833"
"1,2000";"0,0398";"0,0842"
"1,2100";"0,0401";"0,0848"
"1,2200";"0,0405";"0,0860"
"1,2300";"0,0408";"0,0868"
"1,2400";"0,0412";"0,0881"
"1,2500";"0,0416";"0,0885"
"1,2600";"0,0419";"0,0897"
"1,2700";"0,0423";"0,0909"
"1,2800";"0,0426";"0,0913"
"1,2900";"0,0430";"0,0918"
"1,3000";"0,0432";"0,0905"
"1,3100";"0,0436";"0,0900"
"1,3200";"0,0438";"0,0910"
"1,3300";"0,0442";"0,0914"
"1,3400";"0,0445";"0,0921"
"1,3500";"0,0449";"0,0940"
"1,3600";"0,0451";"0,0966"
"1,3700";"0,0455";"0,0977"
"1,3800";"0,0458";"0,0966"
"1,3900";"0,0462";"0,0949"
"1,4000";"0,0465";"0,0952"
"1,4100";"0,0469";"0,0965"
"1,4200";"0,0472";"0,0971"
"1,4300";"0,0476";"0,0971"
"1,4400";"0,0479";"0,0984"
"1,4500";"0,0483";"0,1010"
"1,4600";"0,0485";"0,1029"
"1,4700";"0,0489";"0,1039"
"1,4800";"0,0492";"0,1040"
"1,4900";"0,0495";"0,1033"
"1,5000";"0,0498";"0,1031"
"1,5100";"0,0501";"0,1023"
"1,5200";"0,0504";"0,1037"
"1,5300";"0,0508";"0,1067"
"1,5400";"0,0510";"0,1088"
"1,5500";"0,0514";"0,1094"
"1,5600";"0,0517";"0,1091"
"1,5700";"0,0521";"0,1081"
"1,5800";"0,0524";"0,1071"
"1,5900";"0,0528";"0,1066"
"1,6000";"0,0531";"0,1085"
"1,6100";"0,0535";"0,1116"
"1,6200";"0,0538";"0,1144"
"1,6300";"0,0542";"0,1154"
"1,6400";"0,0545";"0,1153"
"1,6500";"0,0548";"0,1157"
"1,6600";"0,0550";"0,1146"
"1,6700";"0,0554";"0,1135"
"1,6800";"0,0557";"0,1130"
"1,6900";"0,0560";"0,1134"
"1,7000";"0,0563";"0,1142"
"1,7100";"0,0567";"0,1163"
"1,7200";"0,0570";"0,1187"
"1,7300";"0,0574";"0,1193"
"1,7400";"0,0577";"0,1192"
"1,7500";"0,0582";"0,1202"
"1,7600";"0,0586";"0,1206"
"1,7700";"0,0589";"0,1190"
"1,7800";"0,0593";"0,1168"
"1,7900";"0,0596";"0,1171"
"1,8000";"0,0600";"0,1219"
"1,8100";"0,0603";"0,1256"
"1,8200";"0,0606";"0,1245"
"1,8300";"0,0608";"0,1217"
"1,8400";"0,0612";"0,1216"
"1,8500";"0,0614";"0,1245"
"1,8600";"0,0617";"0,1263"
"1,8700";"0,0621";"0,1264"
"1,8800";"0,0625";"0,1264"
"1,8900";"0,0629";"0,1280"
"1,9000";"0,0633";"0,1305"
"1,9100";"0,0636";"0,1303"
"1,9200";"0,0640";"0,1289"
"1,9300";"0,0643";"0,1291"
"1,9400";"0,0647";"0,1308"
"1,9500";"0,0650";"0,1340"
"1,9600";"0,0654";"0,1358"
"1,9700";"0,0656";"0,1346"
"1,9800";"0,0660";"0,1334"
"1,9900";"0,0663";"0,1322"
"2,0000";"0,0666";"0,1325"
"2,0100";"0,0669";"0,1323"
"2,0200";"0,0673";"0,1310"
"2,0300";"0,0675";"0,1303"
"2,0400";"0,0680";"0,1332"
"2,0500";"0,0684";"0,1369"
"2,0600";"0,0687";"0,1391"
"2,0700";"0,0691";"0,1384"
"2,0800";"0,0694";"0,1383"
"2,0900";"0,0698";"0,1394"
"2,1000";"0,0701";"0,1402"
"2,1100";"0,0705";"0,1390"
"2,1200";"0,0708";"0,1375"
"2,1300";"0,0711";"0,1377"
"2,1400";"0,0714";"0,1413"
"2,1500";"0,0718";"0,1444"
"2,1600";"0,0720";"0,1464"
"2,1700";"0,0724";"0,1460"
"2,1800";"0,0726";"0,1442"
"2,1900";"0,0730";"0,1441"
"2,2000";"0,0732";"0,1442"
"2,2100";"0,0735";"0,1454"
"2,2200";"0,0739";"0,1475"
"2,2300";"0,0741";"0,1500"
"2,2400";"0,0745";"0,1507"
"2,2500";"0,0748";"0,1508"
"2,2600";"0,0751";"0,1505"
"2,2700";"0,0754";"0,1492"
"2,2800";"0,0758";"0,1478"
"2,2900";"0,0761";"0,1464"
"2,3000";"0,0766";"0,1467"
"2,3100";"0,0770";"0,1468"
"2,3200";"0,0772";"0,1481"
"2,3300";"0,0774";"0,1507"
"2,3400";"0,0778";"0,1539"
"2,3500";"0,0780";"0,1556"
"2,3600";"0,0784";"0,1544"
"2,3700";"0,0787";"0,1537"
"2,3800";"0,0790";"0,1556"
"2,3900";"0,0793";"0,1581"
"2,4000";"0,0798";"0,1592"
"2,4100";"0,0802";"0,1573"
"2,4200";"0,0805";"0,1555"
"2,4300";"0,0809";"0,1561"
"2,4400";"0,0812";"0,1577"
"2,4500";"0,0816";"0,1584"
"2,4600";"0,0819";"0,1596"
"2,4700";"0,0823";"0,1600"
"2,4800";"0,0826";"0,1604"
"2,4900";"0,0829";"0,1610"
"2,5000";"0,0831";"0,1626"
"2,5100";"0,0835";"0,1641"
"2,5200";"0,0837";"0,1635"
"2,5300";"0,0841";"0,1618"
"2,5400";"0,0844";"0,1621"
"2,5500";"0,0848";"0,1642"
"2,5600";"0,0852";"0,1663"
"2,5700";"0,0856";"0,1664"
"2,5800";"0,0859";"0,1659"
"2,5900";"0,0864";"0,1667"
"2,6000";"0,0868";"0,1663"
"2,6100";"0,0871";"0,1654"
"2,6200";"0,0875";"0,1665"
"2,6300";"0,0878";"0,1693"
"2,6400";"0,0882";"0,1720"
"2,6500";"0,0884";"0,1729"
"2,6600";"0,0888";"0,1728"
"2,6700";"0,0890";"0,1730"
"2,6800";"0,0894";"0,1743"
"2,6900";"0,0896";"0,1742"
"2,7000";"0,0900";"0,1739"
"2,7100";"0,0903";"0,1725"
"2,7200";"0,0907";"0,1724"
"2,7300";"0,0910";"0,1744"
"2,7400";"0,0914";"0,1760"
"2,7500";"0,0918";"0,1759"
"2,7600";"0,0922";"0,1750"
"2,7700";"0,0926";"0,1763"
"2,7800";"0,0929";"0,1798"
"2,7900";"0,0933";"0,1832"
"2,8000";"0,0936";"0,1829"
"2,8100";"0,0939";"0,1819"
"2,8200";"0,0942";"0,1820"
"2,8300";"0,0944";"0,1833"
"2,8400";"0,0947";"0,1830"
"2,8500";"0,0950";"0,1803"
"2,8600";"0,0953";"0,1782"
"2,8700";"0,0956";"0,1784"
"2,8800";"0,0959";"0,1788"
"2,8900";"0,0962";"0,1800"
"2,9000";"0,0966";"0,1825"
"2,9100";"0,0968";"0,1850"
"2,9200";"0,0972";"0,1873"
"2,9300";"0,0975";"0,1872"
"2,9400";"0,0979";"0,1866"
"2,9500";"0,0982";"0,1878"
"2,9600";"0,0986";"0,1885"
"2,9700";"0,0989";"0,1899"
"2,9800";"0,0993";"0,1901"
"2,9900";"0,0996";"0,1895"
"3,0000";"0,0999";"0,1890"
"3,0100";"0,1001";"0,1905"
"3,0200";"0,1005";"0,1934"
"3,0300";"0,1008";"0,1945"
"3,0400";"0,1011";"0,1924"
"3,0500";"0,1014";"0,1894"
"3,0600";"0,1018";"0,1896"
"3,0700";"0,1021";"0,1932"
"3,0800";"0,1025";"0,1958"
"3,0900";"0,1028";"0,1960"
"3,1000";"0,1032";"0,1945"
"3,1100";"0,1035";"0,1941"
"3,1200";"0,1039";"0,1962"
"3,1300";"0,1042";"0,1967"
"3,1400";"0,1046";"0,1951"
"3,1500";"0,1050";"0,1939"
"3,1600";"0,1053";"0,1947"
"3,1700";"0,1055";"0,1968"
"3,1800";"0,1058";"0,1991"
"3,1900";"0,1061";"0,2013"
"3,2000";"0,1065";"0,2020"
"3,2100";"0,1068";"0,2014"
"3,2200";"0,1072";"0,2004"
"3,2300";"0,1075";"0,2006"
"3,2400";"0,1079";"0,2014"
"3,2500";"0,1083";"0,2029"
"3,2600";"0,1086";"0,2046"
"3,2700";"0,1090";"0,2048"
"3,2800";"0,1093";"0,2048"
"3,2900";"0,1097";"0,2053"
"3,3000";"0,1100";"0,2071"
"3,3100";"0,1104";"0,2100"
"3,3200";"0,1107";"0,2111"
"3,3300";"0,1111";"0,2100"
"3,3400";"0,1113";"0,2090"
"3,3500";"0,1117";"0,2091"
"3,3600";"0,1119";"0,2094"
"3,3700";"0,1123";"0,2100"
"3,3800";"0,1126";"0,2097"
"3,3900";"0,1130";"0,2087"
"3,4000";"0,1133";"0,2089"
"3,4100";"0,1137";"0,2115"
"3,4200";"0,1140";"0,2131"
"3,4300";"0,1144";"0,2131"
"3,4400";"0,1147";"0,2142"
"3,4500";"0,1151";"0,2154"
"3,4600";"0,1155";"0,2152"
"3,4700";"0,1159";"0,2146"
"3,4800";"0,1162";"0,2147"
"3,4900";"0,1165";"0,2151"
"3,5000";"0,1169";"0,2155"
"3,5100";"0,1170";"0,2174"
"3,5200";"0,1173";"0,2197"
"3,5300";"0,1176";"0,2201"
"3,5400";"0,1179";"0,2183"
"3,5500";"0,1183";"0,2162"
"3,5600";"0,1185";"0,2175"
"3,5700";"0,1189";"0,2195"
"3,5800";"0,1192";"0,2210"
"3,5900";"0,1195";"0,2218"
"3,6000";"0,1198";"0,2228"
"3,6100";"0,1202";"0,2230"
"3,6200";"0,1205";"0,2218"
"3,6300";"0,1209";"0,2201"
"3,6400";"0,1212";"0,2204"
"3,6500";"0,1216";"0,2229"
"3,6600";"0,1218";"0,2234"
"3,6700";"0,1222";"0,2220"
"3,6800";"0,1224";"0,2224"
"3,6900";"0,1228";"0,2241"
"3,7000";"0,1230";"0,2260"
"3,7100";"0,1234";"0,2267"
"3,7200";"0,1237";"0,2264"
"3,7300";"0,1241";"0,2253"
"3,7400";"0,1244";"0,2259"
"3,7500";"0,1248";"0,2291"
"3,7600";"0,1251";"0,2327"
"3,7700";"0,1255";"0,2335"
"3,7800";"0,1258";"0,2321"
"3,7900";"0,1263";"0,2312"
"3,8000";"0,1266";"0,2317"
"3,8100";"0,1270";"0,2324"
"3,8200";"0,1273";"0,2324"
"3,8300";"0,1276";"0,2316"
"3,8400";"0,1279";"0,2321"
"3,8500";"0,1282";"0,2331"
"3,8600";"0,1284";"0,2345"
"3,8700";"0,1288";"0,2347"
"3,8800";"0,1292";"0,2346"
"3,8900";"0,1294";"0,2353"
"3,9000";"0,1299";"0,2358"
"3,9100";"0,1302";"0,2365"
"3,9200";"0,1306";"0,2372"
"3,9300";"0,1309";"0,2386"
"3,9400";"0,1313";"0,2412"
"3,9500";"0,1316";"0,2419"
"3,9600";"0,1321";"0,2406"
"3,9700";"0,1323";"0,2396"
"3,9800";"0,1327";"0,2397"
"3,9900";"0,1329";"0,2410"
"4,0000";"0,1333";"0,2429"
"4,0100";"0,1336";"0,2434"
"4,0200";"0,1339";"0,2426"
"4,0300";"0,1342";"0,2432"
"4,0400";"0,1345";"0,2456"
"4,0500";"0,1348";"0,2482"
"4,0600";"0,1352";"0,2474"
"4,0700";"0,1355";"0,2458"
"4,0800";"0,1359";"0,2459"
"4,0900";"0,1362";"0,2472"
"4,1000";"0,1366";"0,2476"
"4,1100";"0,1369";"0,2473"
"4,1200";"0,1374";"0,2475"
"4,1300";"0,1378";"0,2497"
"4,1400";"0,1381";"0,2521"
"4,1500";"0,1385";"0,2527"
"4,1600";"0,1388";"0,2514"
"4,1700";"0,1392";"0,2505"
"4,1800";"0,1394";"0,2513"
"4,1900";"0,1398";"0,2512"
"4,2000";"0,1400";"0,2506"
"4,2100";"0,1404";"0,2513"
"4,2200";"0,1406";"0,2536"
"4,2300";"0,1410";"0,2563"
"4,2400";"0,1413";"0,2570"
"4,2500";"0,1415";"0,2564"
"4,2600";"0,1419";"0,2554"
"4,2700";"0,1423";"0,2552"
"4,2800";"0,1426";"0,2558"
"4,2900";"0,1430";"0,2573"
"4,3000";"0,1433";"0,2583"
"4,3100";"0,1437";"0,2582"
"4,3200";"0,1440";"0,2583"
"4,3300";"0,1444";"0,2602"
"4,3400";"0,1447";"0,2605"
"4,3500";"0,1450";"0,2592"
"4,3600";"0,1452";"0,2589"
"4,3700";"0,1456";"0,2611"
"4,3800";"0,1458";"0,2626"
"4,3900";"0,1462";"0,2621"
"4,4000";"0,1465";"0,2616"
"4,4100";"0,1469";"0,2624"
"4,4200";"0,1471";"0,2647"
"4,4300";"0,1475";"0,2657"
"4,4400";"0,1478";"0,2653"
"4,4500";"0,1483";"0,2653"
"4,4600";"0,1486";"0,2653"
"4,4700";"0,1490";"0,2654"
"4,4800";"0,1493";"0,2651"
"4,4900";"0,1497";"0,2646"
"4,5000";"0,1500";"0,2642"
"4,5100";"0,1503";"0,2651"
"4,5200";"0,1505";"0,2672"
"4,5300";"0,1509";"0,2701"
"4,5400";"0,1511";"0,2705"
"4,5500";"0,1515";"0,2683"
"4,5600";"0,1518";"0,2670"
"4,5700";"0,1522";"0,2669"
"4,5800";"0,1525";"0,2680"
"4,5900";"0,1529";"0,2700"
"4,6000";"0,1532";"0,2729"
"4,6100";"0,1536";"0,2760"
"4,6200";"0,1539";"0,2790"
"4,6300";"0,1544";"0,2798"
"4,6400";"0,1548";"0,2765"
"4,6500";"0,1551";"0,2731"
"4,6600";"0,1554";"0,2722"
"4,6700";"0,1557";"0,2746"
"4,6800";"0,1560";"0,2776"
"4,6900";"0,1563";"0,2791"
"4,7000";"0,1565";"0,2799"
"4,7100";"0,1569";"0,2815"
"4,7200";"0,1572";"0,2827"
"4,7300";"0,1576";"0,2819"
"4,7400";"0,1580";"0,2800"
"4,7500";"0,1583";"0,2783"
"4,7600";"0,1587";"0,2787"
"4,7700";"0,1590";"0,2806"
"4,7800";"0,1594";"0,2827"
"4,7900";"0,1597";"0,2834"
"4,8000";"0,1601";"0,2831"
"4,8100";"0,1604";"0,2856"
"4,8200";"0,1608";"0,2863"
"4,8300";"0,1611";"0,2854"
"4,8400";"0,1615";"0,2836"
"4,8500";"0,1617";"0,2835"
"4,8600";"0,1621";"0,2857"
"4,8700";"0,1623";"0,2883"
"4,8800";"0,1626";"0,2892"
"4,8900";"0,1629";"0,2887"
"4,9000";"0,1632";"0,2893"
"4,9100";"0,1635";"0,2893"
"4,9200";"0,1639";"0,2871"
"4,9300";"0,1642";"0,2844"
"4,9400";"0,1646";"0,2842"
"4,9500";"0,1648";"0,2857"
"4,9600";"0,1652";"0,2885"
"4,9700";"0,1655";"0,2912"
"4,9800";"0,1659";"0,2937"
"4,9900";"0,1662";"0,2952"
"5,0000";"0,1666";"0,2949"
"5,0100";"0,1669";"0,2937"
"5,0200";"0,1672";"0,2917"
"5,0300";"0,1674";"0,2904"
"5,0400";"0,1678";"0,2913"
"5,0500";"0,1680";"0,2936"
"5,0600";"0,1683";"0,2969"
"5,0700";"0,1687";"0,2982"
"5,0800";"0,1691";"0,2981"
"5,0900";"0,1694";"0,2988"
"5,1000";"0,1698";"0,2998"
"5,1100";"0,1701";"0,2987"
"5,1200";"0,1705";"0,2969"
"5,1300";"0,1709";"0,2957"
"5,1400";"0,1712";"0,2964"
"5,1500";"0,1717";"0,2995"
"5,1600";"0,1720";"0,3005"
"5,1700";"0,1724";"0,3002"
"5,1800";"0,1726";"0,3003"
"5,1900";"0,1728";"0,3016"
"5,2000";"0,1732";"0,3023"
"5,2100";"0,1735";"0,3018"
"5,2200";"0,1738";"0,3007"
"5,2300";"0,1741";"0,3015"
"5,2400";"0,1745";"0,3033"
"5,2500";"0,1748";"0,3051"
"5,2600";"0,1752";"0,3064"
"5,2700";"0,1755";"0,3077"
"5,2800";"0,1759";"0,3070"
"5,2900";"0,1764";"0,3059"
"5,3000";"0,1767";"0,3056"
"5,3100";"0,1771";"0,3061"
"5,3200";"0,1774";"0,3063"
"5,3300";"0,1777";"0,3060"
"5,3400";"0,1780";"0,3066"
"5,3500";"0,1783";"0,3092"
"5,3600";"0,1786";"0,3117"
"5,3700";"0,1789";"0,3134"
"5,3800";"0,1792";"0,3128"
"5,3900";"0,1796";"0,3115"
"5,4000";"0,1799";"0,3106"
"5,4100";"0,1803";"0,3116"
"5,4200";"0,1806";"0,3139"
"5,4300";"0,1810";"0,3157"
"5,4400";"0,1813";"0,3163"
"5,4500";"0,1817";"0,3163"
"5,4600";"0,1820";"0,3168"
"5,4700";"0,1824";"0,3166"
"5,4800";"0,1827";"0,3169"
"5,4900";"0,1831";"0,3164"
"5,5000";"0,1835";"0,3157"
"5,5100";"0,1838";"0,3163"
"5,5200";"0,1842";"0,3167"
