Tempo;Spostamento;Forza
(s);(mm);(N)
"0,0000";"0,0000";"0,0038"
"0,0100";"0,0000";"0,0071"
"0,0200";"0,0000";"0,0085"
"0,0300";"0,0000";"0,0042"
"0,0400";"0,0001";"-0,0034"
"0,0500";"0,0001";"-0,0084"
"0,0600";"0,0001";"-0,0084"
"0,0700";"0,0002";"-0,0076"
"0,0800";"0,0002";"-0,0067"
"0,0900";"0,0004";"-0,0053"
"0,1000";"0,0006";"-0,0015"
"0,1100";"0,0013";"0,0046"
"0,1200";"0,0026";"0,0119"
"0,1300";"0,0046";"0,0168"
"0,1400";"0,0071";"0,0182"
"0,1500";"0,0102";"0,0172"
"0,1600";"0,0136";"0,0193"
"0,1700";"0,0171";"0,0258"
"0,1800";"0,0210";"0,0327"
"0,1900";"0,0250";"0,0372"
"0,2000";"0,0289";"0,0421"
"0,2100";"0,0329";"0,0507"
"0,2200";"0,0370";"0,0635"
"0,2300";"0,0411";"0,0774"
"0,2400";"0,0453";"0,0891"
"0,2500";"0,0498";"0,0987"
"0,2600";"0,0543";"0,1092"
"0,2700";"0,0588";"0,1203"
"0,2800";"0,0635";"0,1300"
"0,2900";"0,0685";"0,1419"
"0,3000";"0,0734";"0,1560"
"0,3100";"0,0785";"0,1678"
"0,3200";"0,0838";"0,1763"
"0,3300";"0,0894";"0,1866"
"0,3400";"0,0950";"0,1998"
"0,3500";"0,1008";"0,2133"
"0,3600";"0,1067";"0,2266"
"0,3700";"0,1129";"0,2405"
"0,3800";"0,1192";"0,2559"
"0,3900";"0,1255";"0,2727"
"0,4000";"0,1321";"0,2891"
"0,4100";"0,1390";"0,3069"
"0,4200";"0,1458";"0,3260"
"0,4300";"0,1530";"0,3447"
"0,4400";"0,1604";"0,3615"
"0,4500";"0,1678";"0,3768"
"0,4600";"0,1754";"0,3922"
"0,4700";"0,1832";"0,4096"
"0,4800";"0,1914";"0,4274"
"0,4900";"0,1995";"0,4461"
"0,5000";"0,2079";"0,4671"
"0,5100";"0,2164";"0,4892"
"0,5200";"0,2251";"0,5114"
"0,5300";"0,2337";"0,5334"
"0,5400";"0,2427";"0,5554"
"0,5500";"0,2516";"0,5779"
"0,5600";"0,2608";"0,5991"
"0,5700";"0,2702";"0,6193"
"0,5800";"0,2799";"0,6380"
"0,5900";"0,2897";"0,6577"
"0,6000";"0,2997";"0,6795"
"0,6100";"0,3098";"0,7033"
"0,6200";"0,3200";"0,7281"
"0,6300";"0,3307";"0,7521"
"0,6400";"0,3413";"0,7761"
"0,6500";"0,3522";"0,8014"
"0,6600";"0,3630";"0,8281"
"0,6700";"0,3740";"0,8554"
"0,6800";"0,3852";"0,8799"
"0,6900";"0,3965";"0,9043"
"0,7000";"0,4082";"0,9287"
"0,7100";"0,4200";"0,9538"
"0,7200";"0,4320";"0,9794"
"0,7300";"0,4440";"1,0056"
"0,7400";"0,4562";"1,0318"
"0,7500";"0,4687";"1,0574"
"0,7600";"0,4813";"1,0820"
"0,7700";"0,4942";"1,1077"
"0,7800";"0,5072";"1,1385"
"0,7900";"0,5203";"1,1710"
"0,8000";"0,5336";"1,1996"
"0,8100";"0,5472";"1,2249"
"0,8200";"0,5609";"1,2537"
"0,8300";"0,5747";"1,2877"
"0,8400";"0,5886";"1,3209"
"0,8500";"0,6028";"1,3486"
"0,8600";"0,6171";"1,3736"
"0,8700";"0,6314";"1,4016"
"0,8800";"0,6458";"1,4344"
"0,8900";"0,6605";"1,4666"
"0,9000";"0,6755";"1,4950"
"0,9100";"0,6909";"1,5213"
"0,9200";"0,7062";"1,5496"
"0,9300";"0,7216";"1,5821"
"0,9400";"0,7373";"1,6179"
"0,9500";"0,7530";"1,6527"
"0,9600";"0,7688";"1,6836"
"0,9700";"0,7850";"1,7131"
"0,9800";"0,8014";"1,7454"
"0,9900";"0,8177";"1,7794"
"1,0000";"0,8342";"1,8131"
"1,0100";"0,8511";"1,8440"
"1,0200";"0,8681";"1,8749"
"1,0300";"0,8849";"1,9080"
"1,0400";"0,9018";"1,9420"
"1,0500";"0,9188";"1,9736"
"1,0600";"0,9358";"2,0035"
"1,0700";"0,9525";"2,0326"
"1,0800";"0,9691";"2,0645"
"1,0900";"0,9860";"2,0970"
"1,1000";"1,0029";"2,1293"
"1,1100";"1,0195";"2,1620"
"1,1200";"1,0363";"2,1936"
"1,1300";"1,0533";"2,2243"
"1,1400";"1,0699";"2,2527"
"1,1500";"1,0865";"2,2802"
"1,1600";"1,1032";"2,3075"
"1,1700";"1,1200";"2,3335"
"1,1800";"1,1366";"2,3599"
"1,1900";"1,1533";"2,3881"
"1,2000";"1,1700";"2,4193"
"1,2100";"1,1868";"2,4505"
"1,2200";"1,2033";"2,4801"
"1,2300";"1,2200";"2,5089"
"1,2400";"1,2366";"2,5360"
"1,2500";"1,2533";"2,5618"
"1,2520";"1,2566";"2,5667"
"1,2620";"1,2700";"2,5909"
"1,2720";"1,2774";"2,6065"
"1,2820";"1,2796";"2,6130"
"1,2900";"1,2794";"2,6126"
"1,3000";"1,2792";"2,6095"
"1,3100";"1,2789";"2,6043"
"1,3200";"1,2785";"2,5957"
"1,3300";"1,2778";"2,5817"
"1,3400";"1,2769";"2,5619"
"1,3500";"1,2755";"2,5424"
"1,3600";"1,2737";"2,5263"
"1,3700";"1,2713";"2,5116"
"1,3800";"1,2686";"2,4965"
"1,3900";"1,2659";"2,4785"
"1,4000";"1,2632";"2,4598"
"1,4100";"1,2607";"2,4412"
"1,4200";"1,2586";"2,4243"
"1,4300";"1,2568";"2,4117"
"1,4400";"1,2554";"2,4011"
"1,4500";"1,2542";"2,3891"
"1,4600";"1,2534";"2,3766"
"1,4700";"1,2527";"2,3658"
"1,4800";"1,2521";"2,3571"
"1,4900";"1,2515";"2,3507"
"1,5000";"1,2510";"2,3431"
"1,5100";"1,2508";"2,3362"
"1,5200";"1,2506";"2,3308"
"1,5300";"1,2503";"2,3248"
"1,5400";"1,2502";"2,3180"
"1,5500";"1,2501";"2,3141"
"1,5600";"1,2500";"2,3119"
"1,5700";"1,2500";"2,3082"
"1,5800";"1,2499";"2,3022"
"1,5900";"1,2499";"2,2967"
"1,6000";"1,2499";"2,2938"
"1,6100";"1,2497";"2,2914"
