Tempo;Spostamento;Forza
(s);(mm);(N)
"0,0000";"0,0000";"0,0030"
"0,0100";"0,0094";"0,0084"
"0,0200";"0,0541";"0,0639"
"0,0300";"0,1368";"0,1711"
"0,0400";"0,2460";"0,3075"
"0,0500";"0,3687";"0,4662"
"0,0600";"0,4944";"0,6511"
"0,0700";"0,6186";"0,8669"
"0,0800";"0,7403";"1,1190"
"0,0900";"0,8584";"1,3996"
"0,1000";"0,9718";"1,6877"
"0,1100";"1,0821";"1,9677"
"0,1200";"1,1906";"2,2307"
"0,1300";"1,2977";"2,4740"
"0,1400";"1,4025";"2,6988"
"0,1500";"1,5058";"2,9105"
"0,1600";"1,6086";"3,1088"
"0,1700";"1,7113";"3,2936"
"0,1800";"1,8136";"3,4683"
"0,1900";"1,9147";"3,6367"
"0,2000";"2,0156";"3,8051"
"0,2100";"2,1167";"3,9720"
"0,2200";"2,2179";"4,1322"
"0,2300";"2,3185";"4,2839"
"0,2400";"2,4184";"4,4336"
"0,2500";"2,5180";"4,5835"
"0,2600";"2,6185";"4,7315"
"0,2700";"2,7195";"4,8778"
"0,2800";"2,8198";"5,0217"
"0,2900";"2,9195";"5,1643"
"0,3000";"3,0194";"5,3075"
"0,3100";"3,1201";"5,4486"
"0,3200";"3,2204";"5,5874"
"0,3300";"3,3202";"5,7248"
"0,3400";"3,4197";"5,8635"
"0,3500";"3,5199";"6,0036"
"0,3600";"3,6204";"6,1415"
"0,3700";"3,7209";"6,2793"
"0,3800";"3,8204";"6,4172"
"0,3900";"3,9204";"6,5569"
"0,4000";"4,0207";"6,6972"
"0,4100";"4,1216";"6,8353"
"0,4200";"4,2214";"6,9693"
"0,4300";"4,3207";"7,1040"
"0,4400";"4,4205";"7,2448"
"0,4500";"4,5208";"7,3876"
"0,4600";"4,6210";"7,5313"
"0,4700";"4,7207";"7,6724"
"0,4800";"4,8201";"7,8141"
"0,4900";"4,9198";"7,9585"
"0,4980";"5,0001";"8,0754"
"0,5000";"5,0202";"8,1044"
"0,5020";"5,0401";"8,1331"
"0,5120";"5,1116";"8,2568"
"0,5220";"5,1054";"8,2523"
"0,5320";"5,0352";"8,1516"
"0,5420";"4,9193";"7,9940"
"0,5520";"4,7789";"7,7919"
"0,5620";"4,6291";"7,5501"
"0,5720";"4,4813";"7,2673"
"0,5820";"4,3409";"6,9417"
"0,5920";"4,2068";"6,5874"
"0,6020";"4,0788";"6,2342"
"0,6120";"3,9576";"5,9076"
"0,6220";"3,8415";"5,6071"
"0,6320";"3,7278";"5,3265"
"0,6420";"3,6169";"5,0642"
"0,6520";"3,5090";"4,8216"
"0,6620";"3,4031";"4,5986"
"0,6720";"3,2980";"4,3894"
"0,6820";"3,1938";"4,1927"
"0,6920";"3,0914";"4,0023"
"0,7020";"2,9899";"3,8186"
"0,7120";"2,8881";"3,6391"
"0,7220";"2,7859";"3,4669"
"0,7320";"2,6843";"3,3003"
"0,7420";"2,5840";"3,1331"
"0,7520";"2,4837";"2,9657"
"0,7620";"2,3827";"2,7993"
"0,7720";"2,2817";"2,6364"
"0,7820";"2,1812";"2,4747"
"0,7920";"2,0816";"2,3150"
"0,8020";"1,9817";"2,1585"
"0,8120";"1,8811";"2,0002"
"0,8220";"1,7804";"1,8408"
"0,8320";"1,6803";"1,6824"
"0,8420";"1,5804";"1,5273"
"0,8520";"1,4805";"1,3755"
"0,8620";"1,3803";"1,2177"
"0,8720";"1,2800";"1,0558"
"0,8820";"1,1800";"0,8942"
"0,8920";"1,0803";"0,7437"
"0,9020";"0,9803";"0,6002"
"0,9120";"0,8800";"0,4580"
"0,9220";"0,7795";"0,3159"
"0,9320";"0,6794";"0,1804"
"0,9420";"0,5798";"0,0618"
"0,9520";"0,4797";"-0,0428"
"0,9620";"0,3791";"-0,1325"
"0,9720";"0,2788";"-0,2086"
"0,9820";"0,1792";"-0,2692"
"0,9920";"0,0797";"-0,3160"
"1,0000";"0,0000";"-0,3421"
"1,0020";"-0,0200";"-0,3472"
"1,0060";"-0,0597";"-0,3556"
"1,0160";"-0,1305";"-0,3487"
"1,0260";"-0,1270";"-0,2222"
"1,0360";"-0,0660";"-0,0799"
"1,0460";"0,0412";"0,0149"
"1,0560";"0,1761";"0,0356"
"1,0660";"0,3232";"0,0027"
"1,0760";"0,4703";"-0,0255"
"1,0860";"0,6119";"-0,0008"
"1,0960";"0,7475";"0,1027"
"1,1060";"0,8766";"0,2855"
"1,1160";"0,9986";"0,5273"
"1,1260";"1,1160";"0,8047"
"1,1360";"1,2301";"1,0982"
"1,1460";"1,3411";"1,3890"
"1,1560";"1,4491";"1,6611"
"1,1660";"1,5553";"1,9132"
"1,1760";"1,6607";"2,1462"
"1,1860";"1,7652";"2,3657"
"1,1960";"1,8683";"2,5688"
"1,2060";"1,9705";"2,7588"
"1,2160";"2,0723";"2,9437"
"1,2260";"2,1745";"3,1246"
"1,2360";"2,2760";"3,2973"
"1,2460";"2,3766";"3,4657"
"1,2560";"2,4768";"3,6375"
"1,2660";"2,5770";"3,8126"
"1,2760";"2,6777";"3,9833"
"1,2860";"2,7784";"4,1447"
"1,2960";"2,8787";"4,3010"
"1,3060";"2,9784";"4,4646"
"1,3160";"3,0788";"4,6348"
"1,3260";"3,1791";"4,8027"
"1,3360";"3,2795";"4,9630"
"1,3460";"3,3795";"5,1149"
"1,3560";"3,4793";"5,2649"
"1,3660";"3,5798";"5,4208"
"1,3760";"3,6804";"5,5843"
"1,3860";"3,7806";"5,7454"
"1,3960";"3,8802";"5,9012"
"1,4060";"3,9802";"6,0555"
"1,4160";"4,0807";"6,2163"
"1,4260";"4,1813";"6,3844"
"1,4360";"4,2810";"6,5499"
"1,4460";"4,3803";"6,7105"
"1,4560";"4,4804";"6,8664"
"1,4660";"4,5810";"7,0257"
"1,4760";"4,6811";"7,1871"
"1,4860";"4,7805";"7,3511"
"1,4960";"4,8798";"7,5131"
"1,5060";"4,9802";"7,6751"
"1,5080";"5,0002";"7,7077"
"1,5100";"5,0203";"7,7402"
"1,5120";"5,0401";"7,7726"
"1,5220";"5,1117";"7,9172"
"1,5320";"5,1054";"7,9359"
"1,5420";"5,0354";"7,8582"
"1,5520";"4,9195";"7,7181"
"1,5620";"4,7789";"7,5274"
"1,5720";"4,6290";"7,2945"
"1,5820";"4,4812";"7,0211"
"1,5920";"4,3408";"6,7079"
"1,6020";"4,2063";"6,3643"
"1,6120";"4,0785";"6,0178"
"1,6220";"3,9580";"5,6908"
"1,6320";"3,8416";"5,3864"
"1,6420";"3,7280";"5,1053"
"1,6520";"3,6170";"4,8476"
"1,6620";"3,5092";"4,6122"
"1,6720";"3,4033";"4,3944"
"1,6820";"3,2981";"4,1871"
"1,6920";"3,1939";"3,9893"
"1,7020";"3,0916";"3,8027"
"1,7120";"2,9901";"3,6256"
"1,7220";"2,8883";"3,4512"
"1,7320";"2,7859";"3,2750"
"1,7420";"2,6843";"3,1023"
"1,7520";"2,5838";"2,9344"
"1,7620";"2,4833";"2,7720"
"1,7720";"2,3825";"2,6119"
"1,7820";"2,2817";"2,4495"
"1,7920";"2,1815";"2,2873"
"1,8020";"2,0816";"2,1263"
"1,8120";"1,9814";"1,9680"
"1,8220";"1,8807";"1,8140"
"1,8320";"1,7802";"1,6610"
"1,8420";"1,6800";"1,5055"
"1,8520";"1,5804";"1,3489"
"1,8620";"1,4805";"1,1949"
"1,8720";"1,3804";"1,0423"
"1,8820";"1,2800";"0,8875"
"1,8920";"1,1800";"0,7309"
"1,9020";"1,0802";"0,5773"
"1,9120";"0,9803";"0,4312"
"1,9220";"0,8800";"0,2932"
"1,9320";"0,7794";"0,1644"
"1,9420";"0,6794";"0,0470"
"1,9520";"0,5798";"-0,0533"
"1,9620";"0,4798";"-0,1394"
"1,9720";"0,3791";"-0,2109"
"1,9820";"0,2788";"-0,2674"
