Tempo;Spostamento;Forza
(s);(mm);(N)
"0,0000";"0,0001";"-0,0017"
"0,0100";"0,0001";"-0,0057"
"0,0200";"0,0004";"-0,0010"
"0,0300";"0,0011";"0,0072"
"0,0400";"0,0027";"0,0145"
"0,0500";"0,0054";"0,0185"
"0,0600";"0,0091";"0,0187"
"0,0700";"0,0133";"0,0187"
"0,0800";"0,0179";"0,0194"
"0,0900";"0,0228";"0,0230"
"0,1000";"0,0276";"0,0280"
"0,1100";"0,0321";"0,0365"
"0,1200";"0,0364";"0,0493"
"0,1300";"0,0405";"0,0637"
"0,1400";"0,0445";"0,0765"
"0,1500";"0,0484";"0,0836"
"0,1600";"0,0522";"0,0858"
"0,1700";"0,0558";"0,0874"
"0,1800";"0,0594";"0,0920"
"0,1900";"0,0629";"0,0987"
"0,2000";"0,0665";"0,1051"
"0,2100";"0,0700";"0,1116"
"0,2200";"0,0734";"0,1197"
"0,2300";"0,0769";"0,1279"
"0,2400";"0,0803";"0,1353"
"0,2500";"0,0837";"0,1414"
"0,2600";"0,0871";"0,1474"
"0,2700";"0,0905";"0,1531"
"0,2800";"0,0940";"0,1578"
"0,2900";"0,0973";"0,1619"
"0,3000";"0,1005";"0,1674"
"0,3100";"0,1037";"0,1735"
"0,3200";"0,1070";"0,1813"
"0,3300";"0,1104";"0,1874"
"0,3400";"0,1138";"0,1926"
"0,3500";"0,1171";"0,1983"
"0,3600";"0,1204";"0,2041"
"0,3700";"0,1237";"0,2106"
"0,3800";"0,1270";"0,2180"
"0,3900";"0,1303";"0,2251"
"0,4000";"0,1338";"0,2303"
"0,4100";"0,1373";"0,2364"
"0,4200";"0,1406";"0,2436"
"0,4300";"0,1440";"0,2517"
"0,4400";"0,1473";"0,2564"
"0,4500";"0,1506";"0,2597"
"0,4600";"0,1541";"0,2656"
"0,4700";"0,1575";"0,2720"
"0,4800";"0,1608";"0,2780"
"0,4900";"0,1641";"0,2835"
"0,5000";"0,1673";"0,2888"
"0,5100";"0,1706";"0,2962"
"0,5200";"0,1739";"0,3029"
"0,5300";"0,1772";"0,3100"
"0,5400";"0,1806";"0,3196"
"0,5500";"0,1840";"0,3279"
"0,5600";"0,1874";"0,3349"
"0,5700";"0,1905";"0,3394"
"0,5800";"0,1938";"0,3430"
"0,5900";"0,1973";"0,3475"
"0,6000";"0,2007";"0,3531"
"0,6100";"0,2041";"0,3585"
"0,6200";"0,2074";"0,3657"
"0,6300";"0,2108";"0,3755"
"0,6400";"0,2142";"0,3848"
"0,6500";"0,2175";"0,3933"
"0,6600";"0,2208";"0,4003"
"0,6700";"0,2241";"0,4058"
"0,6800";"0,2274";"0,4113"
"0,6900";"0,2306";"0,4156"
"0,7000";"0,2337";"0,4209"
"0,7100";"0,2371";"0,4283"
"0,7200";"0,2404";"0,4352"
"0,7300";"0,2437";"0,4410"
"0,7400";"0,2471";"0,4461"
"0,7500";"0,2504";"0,4507"
"0,7600";"0,2538";"0,4561"
"0,7700";"0,2572";"0,4607"
"0,7800";"0,2607";"0,4679"
"0,7900";"0,2641";"0,4776"
"0,8000";"0,2675";"0,4873"
"0,8100";"0,2708";"0,4937"
"0,8200";"0,2741";"0,4988"
"0,8300";"0,2775";"0,5055"
"0,8400";"0,2809";"0,5132"
"0,8500";"0,2842";"0,5190"
"0,8600";"0,2875";"0,5230"
"0,8700";"0,2908";"0,5276"
"0,8800";"0,2941";"0,5342"
"0,8900";"0,2974";"0,5400"
"0,9000";"0,3007";"0,5462"
"0,9100";"0,3040";"0,5541"
"0,9200";"0,3073";"0,5623"
"0,9300";"0,3106";"0,5691"
"0,9400";"0,3139";"0,5731"
"0,9500";"0,3173";"0,5772"
"0,9600";"0,3206";"0,5840"
"0,9700";"0,3239";"0,5919"
"0,9800";"0,3272";"0,5997"
"0,9900";"0,3307";"0,6065"
"1,0000";"0,3340";"0,6126"
"1,0100";"0,3374";"0,6181"
"1,0200";"0,3407";"0,6228"
"1,0300";"0,3440";"0,6285"
"1,0400";"0,3473";"0,6340"
"1,0500";"0,3506";"0,6394"
"1,0600";"0,3539";"0,6450"
"1,0700";"0,3574";"0,6545"
"1,0800";"0,3608";"0,6658"
"1,0900";"0,3641";"0,6729"
"1,1000";"0,3673";"0,6762"
"1,1100";"0,3707";"0,6805"
"1,1200";"0,3740";"0,6864"
"1,1300";"0,3773";"0,6931"
"1,1400";"0,3807";"0,6985"
"1,1500";"0,3840";"0,7028"
"1,1600";"0,3873";"0,7084"
"1,1700";"0,3906";"0,7155"
"1,1800";"0,3940";"0,7234"
"1,1900";"0,3973";"0,7311"
"1,2000";"0,4006";"0,7393"
"1,2100";"0,4039";"0,7435"
"1,2200";"0,4073";"0,7440"
"1,2300";"0,4106";"0,7471"
"1,2400";"0,4138";"0,7580"
"1,2500";"0,4170";"0,7708"
"1,2600";"0,4203";"0,7777"
"1,2700";"0,4237";"0,7794"
"1,2800";"0,4271";"0,7813"
"1,2900";"0,4304";"0,7881"
"1,3000";"0,4337";"0,7979"
"1,3100";"0,4370";"0,8066"
"1,3200";"0,4403";"0,8099"
"1,3300";"0,4438";"0,8102"
"1,3400";"0,4472";"0,8144"
"1,3500";"0,4506";"0,8244"
"1,3600";"0,4540";"0,8358"
"1,3700";"0,4575";"0,8429"
"1,3800";"0,4608";"0,8443"
"1,3900";"0,4641";"0,8453"
"1,4000";"0,4675";"0,8520"
"1,4100";"0,4708";"0,8633"
"1,4200";"0,4741";"0,8730"
"1,4300";"0,4774";"0,8787"
"1,4400";"0,4807";"0,8838"
"1,4500";"0,4840";"0,8899"
"1,4600";"0,4873";"0,8956"
"1,4700";"0,4906";"0,9008"
"1,4800";"0,4941";"0,9050"
"1,4900";"0,4974";"0,9093"
"1,5000";"0,5007";"0,9143"
"1,5100";"0,5040";"0,9217"
"1,5200";"0,5073";"0,9311"
"1,5300";"0,5107";"0,9390"
"1,5400";"0,5141";"0,9450"
"1,5500";"0,5176";"0,9490"
"1,5600";"0,5210";"0,9530"
"1,5700";"0,5244";"0,9590"
"1,5800";"0,5277";"0,9658"
"1,5900";"0,5310";"0,9727"
"1,6000";"0,5343";"0,9790"
"1,6100";"0,5376";"0,9852"
"1,6200";"0,5409";"0,9896"
"1,6300";"0,5442";"0,9936"
"1,6400";"0,5474";"0,9996"
"1,6500";"0,5506";"1,0072"
"1,6600";"0,5539";"1,0125"
"1,6700";"0,5572";"1,0145"
"1,6800";"0,5605";"1,0195"
"1,6900";"0,5638";"1,0285"
"1,7000";"0,5673";"1,0366"
"1,7100";"0,5706";"1,0435"
"1,7200";"0,5737";"1,0483"
"1,7300";"0,5772";"1,0544"
"1,7400";"0,5805";"1,0598"
"1,7500";"0,5840";"1,0658"
"1,7600";"0,5874";"1,0707"
"1,7700";"0,5907";"1,0769"
"1,7800";"0,5941";"1,0824"
"1,7900";"0,5974";"1,0854"
"1,8000";"0,6007";"1,0891"
"1,8100";"0,6039";"1,0949"
"1,8200";"0,6073";"1,1037"
"1,8300";"0,6106";"1,1107"
"1,8400";"0,6139";"1,1174"
"1,8500";"0,6171";"1,1251"
"1,8600";"0,6203";"1,1327"
"1,8700";"0,6236";"1,1381"
"1,8800";"0,6269";"1,1419"
"1,8900";"0,6303";"1,1455"
"1,9000";"0,6336";"1,1493"
"1,9100";"0,6370";"1,1518"
"1,9200";"0,6403";"1,1551"
"1,9300";"0,6438";"1,1602"
"1,9400";"0,6472";"1,1682"
"1,9500";"0,6507";"1,1755"
"1,9600";"0,6541";"1,1834"
"1,9700";"0,6576";"1,1913"
"1,9800";"0,6609";"1,1988"
"1,9900";"0,6642";"1,2035"
"2,0000";"0,6676";"1,2077"
"2,0100";"0,6710";"1,2128"
"2,0200";"0,6745";"1,2194"
"2,0300";"0,6776";"1,2253"
"2,0400";"0,6808";"1,2311"
"2,0500";"0,6840";"1,2366"
"2,0600";"0,6873";"1,2414"
"2,0700";"0,6905";"1,2458"
"2,0800";"0,6938";"1,2515"
"2,0900";"0,6972";"1,2574"
"2,1000";"0,7005";"1,2641"
"2,1100";"0,7040";"1,2703"
"2,1200";"0,7073";"1,2749"
"2,1300";"0,7106";"1,2802"
"2,1400";"0,7140";"1,2869"
"2,1500";"0,7174";"1,2925"
"2,1600";"0,7207";"1,2966"
"2,1700";"0,7240";"1,3008"
"2,1800";"0,7273";"1,3070"
"2,1900";"0,7306";"1,3132"
"2,2000";"0,7338";"1,3189"
"2,2100";"0,7371";"1,3250"
"2,2200";"0,7404";"1,3308"
"2,2300";"0,7436";"1,3361"
"2,2400";"0,7469";"1,3402"
"2,2500";"0,7502";"1,3455"
"2,2600";"0,7535";"1,3515"
"2,2700";"0,7570";"1,3566"
"2,2800";"0,7604";"1,3619"
"2,2900";"0,7638";"1,3685"
"2,3000";"0,7672";"1,3736"
"2,3100";"0,7707";"1,3762"
"2,3200";"0,7741";"1,3783"
"2,3300";"0,7775";"1,3823"
"2,3400";"0,7809";"1,3892"
"2,3500";"0,7844";"1,3969"
"2,3600";"0,7877";"1,4049"
"2,3700";"0,7910";"1,4123"
"2,3800";"0,7943";"1,4216"
"2,3900";"0,7976";"1,4290"
"2,4000";"0,8008";"1,4337"
"2,4100";"0,8041";"1,4364"
"2,4200";"0,8074";"1,4400"
"2,4300";"0,8106";"1,4436"
"2,4400";"0,8139";"1,4477"
"2,4500";"0,8171";"1,4528"
"2,4600";"0,8204";"1,4581"
"2,4700";"0,8237";"1,4617"
"2,4800";"0,8270";"1,4653"
"2,4900";"0,8305";"1,4703"
"2,5000";"0,8338";"1,4761"
"2,5100";"0,8372";"1,4821"
"2,5200";"0,8406";"1,4880"
"2,5300";"0,8440";"1,4955"
"2,5400";"0,8474";"1,5031"
"2,5500";"0,8507";"1,5093"
"2,5600";"0,8541";"1,5135"
"2,5700";"0,8574";"1,5186"
"2,5800";"0,8607";"1,5248"
"2,5900";"0,8640";"1,5293"
"2,6000";"0,8672";"1,5313"
"2,6100";"0,8705";"1,5346"
"2,6200";"0,8738";"1,5417"
"2,6300";"0,8772";"1,5497"
"2,6400";"0,8805";"1,5554"
"2,6500";"0,8838";"1,5588"
"2,6600";"0,8871";"1,5635"
"2,6700";"0,8905";"1,5713"
"2,6800";"0,8939";"1,5772"
"2,6900";"0,8975";"1,5824"
"2,7000";"0,9010";"1,5878"
"2,7100";"0,9044";"1,5933"
"2,7200";"0,9078";"1,5983"
"2,7300";"0,9112";"1,6031"
"2,7400";"0,9143";"1,6079"
"2,7500";"0,9176";"1,6132"
"2,7600";"0,9210";"1,6169"
"2,7700";"0,9243";"1,6203"
"2,7800";"0,9274";"1,6251"
"2,7900";"0,9305";"1,6315"
"2,8000";"0,9337";"1,6350"
"2,8100";"0,9370";"1,6388"
"2,8200";"0,9402";"1,6460"
"2,8300";"0,9436";"1,6547"
"2,8400";"0,9469";"1,6616"
"2,8500";"0,9502";"1,6661"
"2,8600";"0,9535";"1,6695"
"2,8700";"0,9568";"1,6730"
"2,8800";"0,9603";"1,6779"
"2,8900";"0,9639";"1,6838"
"2,9000";"0,9675";"1,6904"
"2,9100";"0,9710";"1,6953"
"2,9200";"0,9744";"1,6989"
"2,9300";"0,9777";"1,7021"
"2,9400";"0,9809";"1,7072"
"2,9500";"0,9842";"1,7155"
"2,9600";"0,9877";"1,7240"
"2,9700";"0,9908";"1,7314"
"2,9800";"0,9941";"1,7372"
"2,9900";"0,9973";"1,7405"
"3,0000";"1,0004";"1,7429"
"3,0100";"1,0036";"1,7456"
"3,0200";"1,0069";"1,7507"
"3,0300";"1,0103";"1,7563"
"3,0400";"1,0136";"1,7599"
"3,0500";"1,0170";"1,7613"
"3,0600";"1,0204";"1,7644"
"3,0700";"1,0239";"1,7725"
"3,0800";"1,0273";"1,7825"
"3,0900";"1,0310";"1,7897"
"3,1000";"1,0344";"1,7942"
"3,1100";"1,0377";"1,7989"
"3,1200";"1,0410";"1,8048"
"3,1300";"1,0443";"1,8100"
"3,1400";"1,0475";"1,8161"
"3,1500";"1,0508";"1,8218"
"3,1600";"1,0541";"1,8251"
"3,1700";"1,0574";"1,8253"
"3,1800";"1,0607";"1,8261"
"3,1900";"1,0639";"1,8307"
"3,2000";"1,0672";"1,8383"
"3,2100";"1,0704";"1,8442"
"3,2200";"1,0737";"1,8497"
"3,2300";"1,0771";"1,8545"
"3,2400";"1,0806";"1,8585"
"3,2500";"1,0841";"1,8630"
"3,2600";"1,0875";"1,8729"
"3,2700";"1,0910";"1,8916"
"3,2800";"1,0944";"1,8967"
"3,2900";"1,0977";"1,8845"
"3,3000";"1,1010";"1,8775"
"3,3100";"1,1043";"1,8901"
"3,3200";"1,1076";"1,9084"
"3,3300";"1,1108";"1,9162"
"3,3400";"1,1140";"1,9095"
"3,3500";"1,1173";"1,9024"
"3,3600";"1,1206";"1,9056"
"3,3700";"1,1240";"1,9181"
"3,3800";"1,1273";"1,9298"
"3,3900";"1,1305";"1,9374"
"3,4000";"1,1338";"1,9412"
"3,4100";"1,1370";"1,9439"
"3,4200";"1,1404";"1,9478"
"3,4300";"1,1438";"1,9547"
"3,4400";"1,1474";"1,9620"
"3,4500";"1,1508";"1,9667"
"3,4600";"1,1542";"1,9677"
"3,4700";"1,1575";"1,9688"
"3,4800";"1,1610";"1,9724"
"3,4900";"1,1643";"1,9780"
"3,5000";"1,1677";"1,9855"
"3,5100";"1,1709";"1,9912"
"3,5200";"1,1742";"1,9922"
"3,5300";"1,1774";"1,9923"
"3,5400";"1,1806";"1,9989"
"3,5500";"1,1839";"2,0127"
"3,5600";"1,1870";"2,0262"
"3,5700";"1,1904";"2,0318"
"3,5800";"1,1937";"2,0293"
"3,5900";"1,1970";"2,0273"
"3,6000";"1,2003";"2,0320"
"3,6100";"1,2037";"2,0388"
"3,6200";"1,2072";"2,0422"
"3,6300";"1,2108";"2,0421"
"3,6400";"1,2142";"2,0444"
"3,6500";"1,2176";"2,0520"
"3,6600";"1,2209";"2,0635"
"3,6700";"1,2242";"2,0740"
"3,6800";"1,2275";"2,0785"
"3,6900";"1,2308";"2,0793"
"3,7000";"1,2343";"2,0807"
"3,7100";"1,2375";"2,0881"
"3,7200";"1,2408";"2,0982"
"3,7300";"1,2440";"2,1050"
"3,7400";"1,2471";"2,1057"
"3,7500";"1,2504";"2,1038"
"3,7600";"1,2536";"2,1054"
"3,7700";"1,2569";"2,1102"
"3,7800";"1,2602";"2,1166"
