Tempo;Spostamento;Forza
(s);(mm);(N)
"0,0000";"0,0000";"-0,0038"
"0,0100";"0,0000";"-0,0045"
"0,0200";"0,0000";"0,0009"
"0,0300";"0,0002";"0,0053"
"0,0400";"0,0007";"0,0046"
"0,0500";"0,0017";"0,0014"
"0,0600";"0,0032";"0,0017"
"0,0700";"0,0054";"0,0071"
"0,0800";"0,0081";"0,0113"
"0,0900";"0,0112";"0,0105"
"0,1000";"0,0142";"0,0040"
"0,1100";"0,0171";"-0,0018"
"0,1200";"0,0200";"-0,0045"
"0,1300";"0,0227";"-0,0024"
"0,1400";"0,0253";"-0,0004"
"0,1500";"0,0279";"0,0000"
"0,1600";"0,0303";"-0,0009"
"0,1700";"0,0328";"-0,0002"
"0,1800";"0,0351";"0,0026"
"0,1900";"0,0373";"0,0058"
"0,2000";"0,0394";"0,0062"
"0,2100";"0,0414";"0,0029"
"0,2200";"0,0436";"-0,0014"
"0,2300";"0,0456";"-0,0039"
"0,2400";"0,0477";"-0,0026"
"0,2500";"0,0498";"-0,0009"
"0,2600";"0,0519";"0,0010"
"0,2700";"0,0541";"0,0002"
"0,2800";"0,0561";"-0,0009"
"0,2900";"0,0581";"0,0001"
"0,3000";"0,0601";"0,0032"
"0,3100";"0,0620";"0,0056"
"0,3200";"0,0639";"0,0044"
"0,3300";"0,0659";"0,0021"
"0,3400";"0,0679";"0,0001"
"0,3500";"0,0699";"0,0020"
"0,3600";"0,0719";"0,0041"
"0,3700";"0,0740";"0,0044"
"0,3800";"0,0760";"0,0023"
"0,3900";"0,0782";"-0,0013"
"0,4000";"0,0800";"-0,0042"
"0,4100";"0,0820";"-0,0039"
"0,4200";"0,0839";"-0,0025"
"0,4300";"0,0859";"0,0008"
"0,4400";"0,0880";"0,0032"
"0,4500";"0,0900";"0,0036"
"0,4600";"0,0920";"0,0046"
"0,4700";"0,0941";"0,0060"
"0,4800";"0,0961";"0,0058"
"0,4900";"0,0982";"0,0038"
"0,5000";"0,1002";"0,0020"
"0,5100";"0,1024";"0,0012"
"0,5200";"0,1044";"0,0014"
"0,5300";"0,1062";"0,0009"
"0,5400";"0,1083";"0,0009"
"0,5500";"0,1103";"0,0012"
"0,5600";"0,1123";"-0,0003"
"0,5700";"0,1144";"-0,0007"
"0,5800";"0,1164";"0,0003"
"0,5900";"0,1184";"0,0033"
"0,6000";"0,1204";"0,0055"
"0,6100";"0,1224";"0,0057"
"0,6200";"0,1245";"0,0049"
"0,6300";"0,1266";"0,0037"
"0,6400";"0,1284";"0,0036"
"0,6500";"0,1305";"0,0034"
"0,6600";"0,1323";"0,0028"
"0,6700";"0,1342";"0,0018"
"0,6800";"0,1362";"0,0013"
"0,6900";"0,1382";"-0,0003"
"0,7000";"0,1402";"-0,0017"
"0,7100";"0,1423";"-0,0008"
"0,7200";"0,1443";"0,0011"
"0,7300";"0,1462";"0,0023"
"0,7400";"0,1482";"0,0040"
"0,7500";"0,1500";"0,0057"
"0,7600";"0,1519";"0,0063"
"0,7700";"0,1541";"0,0051"
"0,7800";"0,1561";"0,0020"
"0,7900";"0,1581";"0,0004"
"0,8000";"0,1602";"-0,0011"
"0,8100";"0,1621";"-0,0009"
"0,8200";"0,1642";"-0,0006"
"0,8300";"0,1662";"-0,0004"
"0,8400";"0,1683";"0,0011"
"0,8500";"0,1704";"0,0009"
"0,8600";"0,1724";"0,0007"
"0,8700";"0,1742";"0,0029"
"0,8800";"0,1763";"0,0045"
"0,8900";"0,1781";"0,0054"
"0,9000";"0,1802";"0,0042"
"0,9100";"0,1822";"0,0021"
"0,9200";"0,1843";"0,0005"
"0,9300";"0,1863";"-0,0012"
"0,9400";"0,1884";"-0,0003"
"0,9500";"0,1904";"0,0018"
"0,9600";"0,1924";"0,0025"
"0,9700";"0,1943";"0,0014"
"0,9800";"0,1962";"0,0009"
"0,9900";"0,1982";"0,0010"
"1,0000";"0,2002";"0,0014"
"1,0100";"0,2021";"0,0022"
"1,0200";"0,2041";"0,0030"
"1,0300";"0,2060";"0,0032"
"1,0400";"0,2080";"0,0042"
"1,0500";"0,2100";"0,0051"
"1,0600";"0,2121";"0,0037"
"1,0700";"0,2142";"0,0007"
"1,0800";"0,2162";"-0,0018"
"1,0900";"0,2182";"-0,0015"
"1,1000";"0,2202";"0,0012"
"1,1100";"0,2221";"0,0044"
"1,1200";"0,2241";"0,0053"
"1,1300";"0,2261";"0,0040"
"1,1400";"0,2281";"0,0029"
"1,1500";"0,2301";"0,0017"
"1,1600";"0,2322";"0,0009"
"1,1700";"0,2342";"0,0010"
"1,1800";"0,2362";"0,0011"
"1,1900";"0,2382";"0,0004"
"1,2000";"0,2402";"0,0005"
"1,2100";"0,2421";"0,0016"
"1,2200";"0,2441";"0,0021"
"1,2300";"0,2460";"0,0018"
"1,2400";"0,2480";"0,0005"
"1,2500";"0,2500";"-0,0006"
"1,2600";"0,2522";"0,0001"
"1,2700";"0,2542";"0,0029"
"1,2800";"0,2563";"0,0064"
"1,2900";"0,2583";"0,0079"
"1,3000";"0,2603";"0,0057"
"1,3100";"0,2622";"0,0041"
"1,3200";"0,2641";"0,0040"
"1,3300";"0,2661";"0,0047"
"1,3400";"0,2681";"0,0048"
"1,3500";"0,2701";"0,0038"
"1,3600";"0,2722";"0,0006"
"1,3700";"0,2742";"-0,0002"
"1,3800";"0,2764";"0,0016"
"1,3900";"0,2784";"0,0033"
"1,4000";"0,2804";"0,0031"
"1,4100";"0,2824";"0,0025"
"1,4200";"0,2845";"0,0017"
"1,4300";"0,2864";"0,0012"
"1,4400";"0,2884";"0,0027"
"1,4500";"0,2904";"0,0031"
"1,4600";"0,2923";"0,0025"
"1,4700";"0,2943";"0,0015"
"1,4800";"0,2963";"0,0008"
"1,4900";"0,2982";"0,0011"
"1,5000";"0,3003";"0,0032"
"1,5100";"0,3023";"0,0048"
"1,5200";"0,3042";"0,0048"
"1,5300";"0,3062";"0,0039"
"1,5400";"0,3081";"0,0038"
"1,5500";"0,3100";"0,0029"
"1,5600";"0,3120";"0,0027"
"1,5700";"0,3140";"0,0023"
"1,5800";"0,3162";"0,0024"
"1,5900";"0,3182";"0,0025"
"1,6000";"0,3202";"0,0029"
