Tempo;Spostamento;Forza
(s);(mm);(N)
"0,0000";"0,0000";"-0,0149"
"0,0100";"0,0000";"-0,0087"
"0,0200";"0,0000";"-0,0058"
"0,0300";"0,0000";"-0,0097"
"0,0400";"0,0000";"-0,0120"
"0,0500";"0,0000";"-0,0043"
"0,0600";"0,0000";"0,0059"
"0,0700";"0,0000";"0,0069"
"0,0800";"0,0002";"-0,0008"
"0,0900";"0,0002";"-0,0095"
"0,1000";"0,0002";"-0,0120"
"0,1100";"0,0004";"-0,0115"
"0,1200";"0,0005";"-0,0109"
"0,1300";"0,0006";"-0,0106"
"0,1400";"0,0007";"-0,0106"
"0,1500";"0,0009";"-0,0064"
"0,1600";"0,0012";"-0,0010"
"0,1700";"0,0015";"0,0053"
"0,1800";"0,0018";"0,0079"
"0,1900";"0,0020";"0,0053"
"0,2000";"0,0024";"-0,0007"
"0,2100";"0,0027";"-0,0036"
"0,2200";"0,0031";"-0,0022"
"0,2300";"0,0035";"0,0000"
"0,2400";"0,0040";"0,0008"
"0,2500";"0,0045";"0,0003"
"0,2600";"0,0051";"0,0016"
"0,2700";"0,0057";"0,0032"
"0,2800";"0,0061";"0,0059"
"0,2900";"0,0067";"0,0096"
"0,3000";"0,0072";"0,0118"
"0,3100";"0,0078";"0,0123"
"0,3200";"0,0084";"0,0125"
"0,3300";"0,0091";"0,0148"
"0,3400";"0,0097";"0,0181"
"0,3500";"0,0103";"0,0207"
"0,3600";"0,0109";"0,0223"
"0,3700";"0,0115";"0,0243"
"0,3800";"0,0119";"0,0267"
"0,3900";"0,0123";"0,0267"
"0,4000";"0,0127";"0,0243"
"0,4100";"0,0131";"0,0232"
"0,4200";"0,0136";"0,0249"
"0,4300";"0,0139";"0,0273"
"0,4400";"0,0143";"0,0287"
"0,4500";"0,0148";"0,0317"
"0,4600";"0,0151";"0,0353"
"0,4700";"0,0155";"0,0357"
"0,4800";"0,0159";"0,0348"
"0,4900";"0,0163";"0,0350"
"0,5000";"0,0166";"0,0387"
"0,5100";"0,0170";"0,0398"
"0,5200";"0,0174";"0,0354"
"0,5300";"0,0176";"0,0306"
"0,5400";"0,0179";"0,0324"
"0,5500";"0,0182";"0,0379"
"0,5600";"0,0185";"0,0407"
"0,5700";"0,0188";"0,0416"
"0,5800";"0,0190";"0,0434"
"0,5900";"0,0194";"0,0465"
"0,6000";"0,0197";"0,0483"
"0,6100";"0,0200";"0,0480"
"0,6200";"0,0203";"0,0481"
"0,6300";"0,0207";"0,0478"
"0,6400";"0,0211";"0,0463"
"0,6500";"0,0215";"0,0443"
"0,6600";"0,0218";"0,0437"
"0,6700";"0,0222";"0,0450"
"0,6800";"0,0225";"0,0466"
"0,6900";"0,0229";"0,0480"
"0,7000";"0,0233";"0,0493"
"0,7100";"0,0235";"0,0498"
"0,7200";"0,0238";"0,0505"
"0,7300";"0,0242";"0,0516"
"0,7400";"0,0246";"0,0535"
"0,7500";"0,0248";"0,0552"
"0,7600";"0,0251";"0,0554"
"0,7700";"0,0255";"0,0554"
"0,7800";"0,0259";"0,0562"
"0,7900";"0,0262";"0,0562"
"0,8000";"0,0266";"0,0552"
"0,8100";"0,0270";"0,0542"
"0,8200";"0,0274";"0,0548"
"0,8300";"0,0277";"0,0572"
"0,8400";"0,0281";"0,0586"
"0,8500";"0,0285";"0,0597"
"0,8600";"0,0288";"0,0614"
"0,8700";"0,0290";"0,0638"
"0,8800";"0,0293";"0,0657"
"0,8900";"0,0296";"0,0667"
"0,9000";"0,0300";"0,0692"
"0,9100";"0,0302";"0,0715"
"0,9200";"0,0306";"0,0694"
"0,9300";"0,0310";"0,0636"
"0,9400";"0,0314";"0,0607"
"0,9500";"0,0318";"0,0627"
"0,9600";"0,0321";"0,0646"
"0,9700";"0,0325";"0,0645"
"0,9800";"0,0328";"0,0647"
"0,9900";"0,0332";"0,0679"
"1,0000";"0,0335";"0,0724"
"1,0100";"0,0339";"0,0759"
"1,0200";"0,0341";"0,0779"
"1,0300";"0,0344";"0,0787"
"1,0400";"0,0347";"0,0782"
"1,0500";"0,0349";"0,0761"
"1,0600";"0,0353";"0,0758"
"1,0700";"0,0357";"0,0772"
"1,0800";"0,0360";"0,0783"
"1,0900";"0,0364";"0,0773"
"1,1000";"0,0367";"0,0754"
"1,1100";"0,0371";"0,0750"
"1,1200";"0,0374";"0,0773"
